category,district,total_price,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_area_estimated,luxury_score,price_segment,is_incomplete_listing,log_land,log_build_up,neighborhood_encoded
0,2,64000000.0,7.0,4192.56,2.5,0,26.0,4.0,4.0,3.0,0.0,7.0,0,11,0,1,1,0,1,0,0,1,3,4,0,2.0794415416798357,8.341305294179508,17.598201792760147
0,2,35000000.0,4.0,2395.75,2.5,1,20.0,3.0,4.0,0.0,0.0,2.0,0,11,0,1,0,0,1,0,0,1,2,3,0,1.6094379124341003,7.781868931957106,17.367011640398616
0,1,22000000.0,3.0,1796.81,2.5,4,16.0,6.0,5.0,1.0,2.0,4.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.3862943611198906,7.4943245364778175,17.02931363023951
0,2,37500000.0,3.0,1796.81,2.5,4,16.0,4.0,4.0,0.0,0.0,4.0,0,11,1,1,0,0,1,0,0,1,3,3,0,1.3862943611198906,7.4943245364778175,17.654503825833697
0,2,80000000.0,6.0,2874.9,2.0,4,20.0,5.0,4.0,0.0,3.0,4.0,0,11,1,1,0,0,1,0,0,1,3,4,0,1.9459101490553132,7.964120947721826,17.378252251811972
0,2,55000000.0,4.2,3521.75,3.5,5,13.0,6.0,7.0,0.0,0.0,5.0,0,11,1,1,0,0,1,0,0,1,3,4,0,1.6486586255873816,8.166997213575215,17.512457391695445
0,2,55000000.0,3.3,2060.0,2.5,6,13.0,4.0,4.0,1.0,5.0,7.0,0,11,1,1,0,0,1,0,0,0,3,4,0,1.4586150226995167,7.630946580890459,17.598201792760147
0,2,77500000.0,9.0,2500.0,2.5,6,20.0,5.0,5.0,0.0,0.0,4.0,0,11,1,0,0,0,1,0,0,0,2,4,0,2.302585092994046,7.824445930877619,18.104619006716966
0,1,160000000.0,12.0,3500.0,2.5,1,13.0,7.0,7.0,0.0,0.0,8.0,0,11,0,1,1,0,1,1,0,0,4,4,0,2.5649493574615367,8.160803920954665,17.66719878919104
0,2,31900000.0,4.1,2455.64,2.5,4,13.0,5.0,3.0,0.0,0.0,4.0,0,11,0,0,1,0,1,0,0,1,2,2,0,1.62924053973028,7.806549841639534,17.136122222322758
