ad_id,Type,Title,location,Price,Land_Size,Road_Type,Road_Size
HB-449254,Land - Commercial Use,commercial land for sale in tokha,"Tokha-3, Kathmandu, Bagmati Pradesh",7000000.0,3.0,Pitched,Above 20 Ft.
HB-DC6CF2,LandIndividual,Land for sale near kmc hospital,"Kmc Hospital, Changunarayan-2, Bhaktapur",6500000.0,3.0,Others,ThirteenToTwentyFeet
HB-72A275,Land - Individual,10 Aana Land On Sale At Shivapuri Colony.,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",5300000.0,10.0,Pitched,13 - 20 Ft.
HB-6CE9DF,3.5 Aana,Land on sale,"Godawari Bridge, Gwarko-Lamatar, Mahalaxmi-8, Lalitpur",3000000.0,3.5,111.29 sq. meter,LandIndividual
HB-5E933A,Land - Individual,15 Aana Land On Sale Near Lemon Tree Hotel.,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",4500000.0,15.0,Pitched,13 - 20 Ft.
HB-B4FBC4,Non,Kapan Tenzin Chok Ma 6anna Jagga Sell Ma,"F84, Tenzing Chok, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",6000000.0,6.0,13 - 20 Ft.,Land - Commercial Use
HB-3A8E36,LandPlotted,Land For Sale At Chandragiri,"Matatirtha, Chandragiri-6, Kathmandu, Bagmati Pradesh",2500000.0,6.0,Gravel,ThirteenToTwentyFeet
HB-500628,Land - Individual,land for sale bhanimandal lalitpur 10 aana,"DAV Sushil Kedia Vishwa Bharati School, दमकल सुन्दरीघाट मार्ग, Dhobighat, Lalitpur, Lalitpur Metropolitan City, Lalitpur",1050000.0,10.0,Pitched,Above 20 Ft.
HB-6E7D12,LandPlotted,6 aana perfect land on sale near Metro apartment,"Swastik Marg, Kathmandu-14, Kathmandu, Bagmati Pradesh",9000000.0,6.0,"Metro apartment, Balkhu chok, Kuleshwor awash",ThirteenToTwentyFeet
HB-D76F6F,Land - Commercial Use,land for sale jawalakhel lalitpur 6 aana,"Damodar Marga, Ekantakuna, Lalitpur, Lalitpur Metropolitan City, Lalitpur",11000000.0,6.0,Pitched,Above 20 Ft.
HB-3865E4,LandIndividual,Land for Sale at Dhapakhel,"Dhapakhel Hp, Lalitpur-15, Lalitpur",3500000.0,10.0,Pitched,AboveTwentyFeet
HB-589245,LandPlotted,Land for Sale Kirtipur Near Jal Binayak Colony!,"Jalbinayak Colony, Kirtipur-6, Kathmandu",3200000.0,3.0,Others,ThirteenToTwentyFeet
HB-1DCC5E,LandIndividual,"Land On Sale At Pasikot, Budhanilkantha","Pasikot, Budhanilakantha-4, Kathmandu",4400000.0,4.5,Pitched,ThirteenToTwentyFeet
HB-8CE6AE,Land - Individual,land for sale kupandol lalitpur 17 aana,"Upendra Marg, Lalitpur, Lalitpur Metropolitan City, Lalitpur",6500000.0,17.0,Pitched,9 - 12 Ft.
HB-CEFBE8,LandIndividual,Land On Sale At Baluwatar,"Baluwatar-4, Kathmandu-4, Kathmandu",6500000.0,4.5,Pitched,ThirteenToTwentyFeet
HB-A58F36,LandPlotted,Residential Land for Sale Old Naikap Near Kalanki,"Kalanki-14 Khadkagau, Chandragiri-13, Kathmandu",2700000.0,3.5,Others,ThirteenToTwentyFeet
HB-FDCD05,LandPlotted,"Land On Sale At Pasikot, Budhanilkantha","Pasikot Futsal, Budhanilakantha-4, Kathmandu",4500000.0,4.59,Gravel,ThirteenToTwentyFeet
HB-B2562A,LandPlotted,Land for sale in bramakhal Kathmandu,"Bramhakhel Dhunge Dhara, Kageshwori Manahora-4, Kathmandu",2500000.0,4.75,Gravel,AboveTwentyFeet
HB-93CC27,LandPlotted,"RESIDENTIAL LAND ON SALE AT DHAPA VALLEY, Dhapakhe","Dhapa Valley, Lalitpur-24, Lalitpur",3250000.0,5.0,Others,ThirteenToTwentyFeet
HB-A76854,Land - Plotted,land sale,"Chandragiri-2, Kathmandu, Bagmati Pradesh",2000000.0,3.0,Gravel,13 - 20 Ft.
HB-A9E7DD,LandIndividual,Land On Sale At Budhanilkantha,"Budhanilkantha, Budhanilakantha-2, Kathmandu",2500000.0,6.5,Gravel,ThirteenToTwentyFeet
HB-7A0D68,Land - Plotted,4 Anna Land For Sale Very Reasonable Price,"Nagarjun, Nagarjun Municipality, Kathmandu",3800000.0,4.0,Pitched,13 - 20 Ft.
HB-384C1B,Land - Individual,बालुवाटारमा ४.५ आना जग्गा तुरुन्त बिक्रीमा,"Baluwatar, Kathmandu-4, Kathmandu, Bagmati Pradesh",6300000.0,4.0,Pitched,9 - 12 Ft.
HB-629CF4,Non,JHAMSIKHEL – 10 AANA SEMI-COMMERCIAL LAND,"Jhamsikhel, Lalitpur-3, Lalitpur",100000000.0,10.0,ThirteenToTwentyFeet,LandIndividual
HB-177CBD,8,Land & House On Sell,"Khadka Bhadrakali, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",100.0,10.226442658875092,Land - Individual,Full
HB-486543,LandIndividual,"Commercial Land On Sale At Dhapakhel, Lalitpur.","Dhapakhel Hp, Lalitpur-15, Lalitpur",5500000.0,4.0,Pitched,AboveTwentyFeet
HB-E9A7F8,LandPlotted,5.5 Aana @ Sankhu- Near Malpot - @18 lacs/ Aana,"Sankhu Malpot Office, salinadi road, Shankharapur-6, Kathmandu",1800000.0,5.5,Near Sankhu Malpot,ThirteenToTwentyFeet
HB-AD8D5A,7,7.1 Aana Land On Sale At Dhumbarahi Hams Hospital,"Dhumbarahi, Kathmandu",48500000.0,7.1,13 - 20 Ft.,Land - Individual
HB-FE0EB3,4,4.1 Aana Land On Sale At Sukedhara Area,"Sukedhara Area, Kathmandu",30000000.0,4.1,13 - 20 Ft.,Land - Plotted
HB-867F84,4,Land on sale at machhegaun Naaikap 4Aana,"Chandragiri-9, Kathmandu, Bagmati Pradesh",2500000.0,5.843681519357195,Land - Individual,Non
HB-A10874,4,land sale,"620 Ward office - Ghamdhoka Marga Chagunarayan Temmple Area, Chagunarayan Temmple Area, Changu Narayan, Sangdaha- Changu Road, Changunarayan-4, Bhaktapur, Bagmati Pradesh",26.0,5.0,Land - Plotted,Non
HB-D9E191,LandPlotted,land for sale in hattiban Lalitpur,"Hattiban, Mahalaxmi-4, Lalitpur",4000000.0,55.0,Pitched,ThirteenToTwentyFeet
HB-01F416,10 Anna,"Commercial Land for Sale – Dhungedhara, Banasthali","Sachin Hardware Centre, Kathmandu-15, Kathmandu",120000000.0,9.934258582907232,LandCommercialUse,Non
HB-BBEA40,Land - Individual,Land urgent sale at Saraswati khel,"Changunarayan-1, Bhaktapur, Bagmati Pradesh",2000000.0,6.0,Pitched,Above 20 Ft.
HB-D62F20,LandPlotted,land for sale,"Autism Care Nepal Society, Lalitpur-29, Lalitpur",9500000.0,3.75,Gravel,AboveTwentyFeet
HB-76D1EF,LandIndividual,KUPONDOLE – 8 AANA LAND FOR SALE,"Kupondole Rd, Kupondol Marg, Lalitpur-10, Lalitpur",88000000.0,8.0,Pitched,ThirteenToTwentyFeet
HB-8A4B8D,LandPlotted,"8 Aana land for sale in Taukhel,Machchhegaun .","Chandagiri Furniture And Sofa Hub, Chandragiri-11, Kathmandu",38400000.0,8.0,Gravel,ThirteenToTwentyFeet
HB-D00826,Land - Plotted,sale,"Ban Danda Marg, Lalitpur-25, Lalitpur, Bagmati Pradesh",5800000.0,5.0,Gravel,Above 20 Ft.
HB-9EF6B4,LandIndividual,Sasto jagga,"Lalitpur Nepal, Mahalaxmi-4, Lalitpur",650000.0,10.0,Soil,ThirteenToTwentyFeet
HB-C08599,LandPlotted,2.5 aana land sale on nepaltar Kathmandu,"Nepaltar, Ratna Park - Phutang, Tarakeshwor-11, Kathmandu",7000000.0,2.5,Pitched,NineToTwelveFeet
HB-20BF88,Land - Individual,Land for sale,"Sano Bharyang, Nagarjun-2, Kathmandu, Bagmati Pradesh",25000000.0,5.0,Pitched,13 - 20 Ft.
HB-E8191A,Non,18 aana Land for Sale in Danchhi,"Kageshwori Manahora-3, Kathmandu, Bagmati Pradesh",36000000.0,18.0,ThirteenToTwentyFeet,LandIndividual
HB-D30C10,LandIndividual,Land on Sale at Sundarbasti,"Sundar Basti Marga, Budhanilakantha-1, Kathmandu",4700000.0,5.0,Pitched,ThirteenToTwentyFeet
HB-C1CB2A,LandPlotted,Land on sale at Godawari Taukhel,"Taukhel, Godawari-3, Lalitpur",6200000.0,6.6875,Pitched,ThirteenToTwentyFeet
HB-F7F213,Land - Individual,land on sale kathmandu ko lagimpa haitma ho,"Maharajganj, लाजिम्पाट सडक, Kathmandu-3, Kathmandu, Bagmati Pradesh",8000000.0,4.0,Pitched,13 - 20 Ft.
HB-3163BA,Land - Individual,land for sale dholaiti lalitpur 3 aana,"Euro Kids, कान्ति लोकपथ, Lalitpur, Lalitpur Metropolitan City, Lalitpur",6000000.0,3.0,Pitched,13 - 20 Ft.
HB-55D857,LandCommercialUse,Medicity Hospital Najikai 1 Ropani 3 Paisa jagga,"Nakkhu Jal Binayak Marg, Lalitpur-18, Lalitpur, Bagmati Pradesh",67.0,16.75,Pitched,ThirteenToTwentyFeet
HB-FBB6F1,Land - Plotted,near by 1000 ropani,"Suryabinayak-9, Bhaktapur, Bagmati Pradesh",450.0,4.0,Gravel,5 - 8 Ft.
HB-DE8393,Land - Individual,"— 4.5 Aana Land For Sale — 📍Pasikot,","kapurchowk road, Budhanilakantha-4, Kathmandu, Bagmati Pradesh",6500000.0,4.0,Pitched,Above 20 Ft.
HB-2A5D7E,Land - Individual,land for sale in chapali,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",5000000.0,10.0,Pitched,13 - 20 Ft.
HB-4840BB,LandPlotted,Land sale near Chobar Dry Port,"Chobhar Dry Port, Kirtipur-6, Kathmandu",3400000.0,4.0,Gravel,AboveTwentyFeet
HB-3DD494,12 Aana,12 Aana Land For sale In Koteshwor,"Koteshwor, Kathmandu-32, Kathmandu",8000000.0,12.0,LandIndividual,Non
HB-E33B85,LandIndividual,Land on sale,"Godawari-5, Lalitpur, Bagmati Pradesh",650000.0,22.0,Gravel,ThirteenToTwentyFeet
HB-F4C8CC,LandIndividual,Commercial or Residential Land On Sale At Shantina,"Shantinagar, Radha Mohan Marga, Kathmandu-31, Kathmandu",10000000.0,8.0,Pitched,AboveTwentyFeet
HB-33380D,Land - Individual,land for sale in budhanilkantha,"Rudreswar Chowk, Budhanilakantha-5, Kathmandu, Bagmati Pradesh",5500000.0,3.0,Pitched,13 - 20 Ft.
HB-BD4CD8,LandPlotted,4 ana land for sale at Naikap near highway,"Chandragiri-14, Kathmandu, Bagmati Pradesh",3500000.0,4.0,"Shiva Mandir, Baichap, Naikap",ThirteenToTwentyFeet
HB-0ABD18,LandIndividual,Land On Sale At Budhanilkantha,"Budhanilkantha School, Budhanilakantha-3, Kathmandu",3500000.0,16.0,Gravel,ThirteenToTwentyFeet
HB-CB3C21,LandPlotted,Land on sale at viral planning surayabinayak 8 bkt,"Suryabinayak-8, Bhaktapur, Bagmati Pradesh",9062500.0,3.0,Pitched,AboveTwentyFeet
HB-867964,Land - Individual,5 ropani Land for Sale In Sankhu,"salinadi road, Shankharapur, Kathmandu",1500000.0,86.0,Pitched,Above 20 Ft.
HB-19342B,LandPlotted,Land On Sale At Budhanilkantha,"Budhanilkantha, Budhanilakantha-2, Kathmandu",4500000.0,4.0,Pitched,ThirteenToTwentyFeet
HB-6451D5,Land - Plotted,land for sale bhaisepati magargau lalitpur 4 aana,"Sainbu, Lalitpur, Lalitpur Metropolitan City, Lalitpur",5300000.0,4.0,Pitched,Above 20 Ft.
HB-4D0A4B,LandCommercialUse,भक्तपुर झौखेल ७ (16 aana land Sell ),"Technerd Gadgets, Changunarayan-3, Bhaktapur",2500000.0,16.0,Gravel,AboveTwentyFeet
HB-B313E9,Land - Individual,LAND FOR SALE BHAKTAPUR SALLAGHARI KATUNJE SUWARNA,"Chundevi, Suryabinayak-5, Bhaktapur, Bagmati Pradesh",3500000.0,6.0,Pitched,13 - 20 Ft.
HB-625CD9,Non,BHAISEPATI NAKKHUDOLE – 4 AANA LAND FOR SALE,"Bhaisepati, Kirtipur-6, Kathmandu",32500000.0,4.0,ThirteenToTwentyFeet,LandIndividual
HB-F56763,LandIndividual,BAGDOLE – 7 ANA LAND FOR SALE,"Bagdole-4, Home No.195, Lalitpur-4, Lalitpur",36400000.0,7.0,Pitched,ThirteenToTwentyFeet
HB-257D52,LandIndividual,2.5 Anna Land on Sale Naya Naikap,"Naikap, Chandragiri-14, Kathmandu",3700000.0,2.5,Gravel,NineToTwelveFeet
HB-41CEDB,LandIndividual,1 ropani land on demand from pepsicola !,"Pepsicola, Bafal Marg, Kathmandu-13, Kathmandu",6000000.0,16.0,Pitched,ThirteenToTwentyFeet
HB-180B6E,Land - Individual,"34 Aana Land For Sale At Sankhu, Salinadi","salinadi road, Shankharapur, Kathmandu",1300000.0,34.0,Salinadi Temple,13 - 20 Ft.
HB-938167,Land - Individual,Land And House For Sale Baneshwor,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",105000000.0,10.0,Pitched,Above 20 Ft.
HB-6BFA52,Non,Sasto ma 3 ana 40lac only,"Police Sector, Matatirtha, Chandragiri-8, Kathmandu",4000000.0,3.0,FiveToEightFeet,LandIndividual
HB-AE4A83,Land - Plotted,"Plotted Land Sale with Purja, VIP Dhapakhel Height","Airawa Tol, Hattiban, Lalitpur, Lalitpur Metropolitan City, Lalitpur",4000000.0,4.0,Pitched,13 - 20 Ft.
HB-089897,6,land for sale,"706 Tikhedebal Marg, Jambu Tole, Shovahiti, Jambu Marg, Lalitpur-14, Lalitpur, Bagmati Pradesh",5500000.0,6.0,Land - Plotted,Non
HB-2A54EC,Land - Individual,Land Sale Near Shital Height,"Orpach, Mahalaxmi, Mahalaxmi Municipality, Lalitpur",3990000.0,5.0,Gravel,13 - 20 Ft.
HB-FDD2D3,LandPlotted,"Land for Sale in Kirtipur, Chugaun","Rarahill Futsal., Kirtipur-9, Kathmandu",3600000.0,3.0,Gravel,ThirteenToTwentyFeet
HB-DF78AA,LandIndividual,Land On Sale At Chandol,"Switch On Chandol, Kathmandu-4, Kathmandu",7000000.0,7.0,Pitched,ThirteenToTwentyFeet
HB-EE8829,LandIndividual,GOKARNA main road ma 8 anna jagga tu bikrima,"Bhandari Street, Gokarneshwor-4, Kathmandu, Bagmati Pradesh",4500000.0,8.0,Pitched,AboveTwentyFeet
HB-2A5271,LandIndividual,Land On Sale At Tokha,"Tokha Polish Station, Tokha Road, Tokha-3, Kathmandu",4500000.0,8.0,Pitched,ThirteenToTwentyFeet
HB-FCC693,19.3 Aana,19.3 Aana Land For Sale In Budanilkantha,"Budanilkantha, Budhanilakantha-1, Kathmandu",7000000.0,19.3,LandIndividual,Non
HB-2E86CF,Non,24 Aana Land For Sale In Kirtipur,"Kirtipur, Ajaya Marga, Kirtipur-6, Kathmandu",2300000.0,24.0,LandIndividual,Non
HB-ED0C51,Land - Individual,land for sale sanepa lalitpur 10 aana,"Lalitpur, Lalitpur Metropolitan City, Lalitpur",8500000.0,10.0,Gravel,Above 20 Ft.
HB-922D21,LandCommercialUse,Land for sale prime location of Baluwatar,"Nepal House Resturent - नेपाल हाउस रेस्टुरेन्ट, बार र बेकरी, Shree Hari Marg, Kathmandu-4, Kathmandu",19000000.0,20.0,Pitched,AboveTwentyFeet
HB-7DC97F,LandIndividual,DALLU|CHAGEL,"Ganesh Temple, Dallu, Amar Chitrakar Marg, Kathmandu-15, Kathmandu",6000000.0,12.5,Pitched,ThirteenToTwentyFeet
HB-D6F0D8,LandIndividual,Residential Land for Sale in Kirtipur Nagaun Area!,"Nagaun Dobato नगाँ दोबाटो, Kirtipur Ring Road, Kirtipur-9, Kathmandu",5500000.0,5.25,Others,ThirteenToTwentyFeet
HB-120A47,LandPlotted,Nayapati's Land on Sale,"B.p. Museum Sundarijal, Gokarneshwor-1, Kathmandu",2100000.0,10.125,Pitched,ThirteenToTwentyFeet
HB-A92D21,LandIndividual,JHAMSIKHEL – 16 AANA LAND FOR SALE,"Jhamsikhel, Lalitpur-3, Lalitpur",195200000.0,16.0,Pitched,ThirteenToTwentyFeet
HB-CE1E62,Non,JHAMSIKHEL – 12 AANA COLONY LAND FOR SALE,"Jhamsikhel, Lalitpur-3, Lalitpur",150000000.0,12.0,ThirteenToTwentyFeet,LandIndividual
HB-C71CCF,LandIndividual,Land On Sale At Dhumbarahi,"Dhumbarahi Pipal Bot, Dhumbharai Marg, Kathmandu-4, Kathmandu",6500000.0,4.5,Pitched,ThirteenToTwentyFeet
HB-2AE0AB,LandIndividual,Lazimpat Land @40 lakh/aana near Uttardhoka urgent,"Kholagaal, Kathmandu-2, Kathmandu",4000000.0,5.875,Muse Restrobar bata 2 galli mathi left ma end ko right side ma jasta ko gate bhayeko jagga,FiveToEightFeet
HB-48EEF0,LandPlotted,Land in sale Chapali Bhudanilkantha,"Chapali Chok, Budhanilakantha-3, Kathmandu, Bagmati Pradesh",6500000.0,14.0,Pitched,ThirteenToTwentyFeet
HB-7493E1,LandAgricultural,4 aana 1paisa afnai jagga ho direct call garnus….,"Tersatar Planning, Madhyapur Thimi-2, Bhaktapur",5500000.0,4.25,Pitched,ThirteenToTwentyFeet
HB-FDFCF9,Land - Individual,land for sale in budhanilkantha,"Budhanilakantha-1, Kathmandu, Bagmati Pradesh",5500000.0,6.0,Pitched,13 - 20 Ft.
HB-531EB9,Land - Commercial Use,1.5 ropani land for rent,"Mandikhatar, Budhanilakantha-9, Kathmandu, Bagmati Pradesh",140000.0,24.0,Pitched,Above 20 Ft.
HB-7FEE88,LandIndividual,Kusume rumal justo mileko jagga,"Borcha, Mahalaxmi-8, Lalitpur, Bagmati Pradesh",35.0,6.25,Gravel,NineToTwelveFeet
HB-FB5C1D,3,3 Anna land on sale harisidhi lalitpur,"Safal Tol, Dhyakwa Marg, Lalitpur-29, Lalitpur, Bagmati Pradesh",4500000.0,3.0,Land - Plotted,Non
HB-F75871,LandIndividual,Land for Sale in Chobar/Kritipur,"Itagol, Kirtipur-6, Kathmandu, Bagmati Pradesh",2500000.0,21.0,Soil,AboveTwentyFeet
HB-E7EF4D,LandIndividual,4ft bato bhako 3.1 aana jagga sasto ma sale ma ch,"Tarkeshwor Nagarpalika, Tarakeshwor-11, Kathmandu",7500000.0,3.1,Pitched,LessThan5Ft
HB-ECCC44,LandIndividual,"Only 1 cr, land on sale ! Urgent ! at Jhor, Tokha","Tokha, Uttar Dhoka Road, Kathmandu-1, Kathmandu",10000000.0,5.2,Gravel,NineToTwelveFeet
HB-C82880,Land - Plotted,land for sale karevinayk khokhana lalitpur 6.5 ana,"EMMANUEL MOBILE CENTER, Khokana Marg Paschim, Khokana, Lalitpur, Lalitpur Metropolitan City, Lalitpur",3600000.0,6.0,Pitched,Above 20 Ft.
HB-53B296,Non,8 aana land on sale at Bansbari,"Bansbari Kathamandu, Kathmandu-3, Kathmandu",5600000.0,8.0,NineToTwelveFeet,LandIndividual
HB-7AA945,Land - Plotted,Lalitpur Dukuchhap,"Tikhidewal, Lalitpur-14, Lalitpur, Bagmati Pradesh",1080000.0,5.0,Gravel,13 - 20 Ft.
HB-41AFF8,Non,40.5 Aana Land For Sale In Kirtipur,"Kirtipur Cafeteria, Kirtipur-10, Kathmandu",1500000.0,40.5,LandIndividual,Non
HB-04B691,Non,SUNAKOTHI – 1 ROPANI LAND FOR SALE,"Sunakothi, Lalitpur-25, Lalitpur",4500000.0,16.0,ThirteenToTwentyFeet,LandIndividual
HB-91AD1D,Land - Individual,land for sale bhaisepati karevinayk lalitpur 17 an,"Lalitpur, Lalitpur Metropolitan City, Lalitpur",220000.0,17.0,Pitched,Above 20 Ft.
HB-C4DF16,LandPlotted,Land on sale at Sainbu Bhaisepati,"Bhaisepati, Kirtipur-6, Kathmandu",5300000.0,5.625,Pitched,ThirteenToTwentyFeet
HB-5BFAC3,Non,25 Aana Land For Sale In Thankot,"Thankot, Chandragiri-4, Kathmandu",3500000.0,25.0,LandIndividual,Non
HB-A21A4E,LandIndividual,"Land for sale Bhaisepati, Lalitpur","Bhaisepati, Lalitpur, Lalitpur-18, Lalitpur",5800000.0,5.5,Pitched,ThirteenToTwentyFeet
HB-FC5E42,LandPlotted,Land on sale,"Maharajgunj Kathmandu Nepal, Kathmandu-3, Kathmandu",8800000.0,5.0,Pitched,AboveTwentyFeet
HB-5B40AF,LandPlotted,Residential Land for Sale in Kirtipur – Thapa Gau!,"Kirtipur, Kathmandu-16, Kathmandu",2400000.0,6.75,Others,ThirteenToTwentyFeet
HB-59EA23,LandPlotted,land on sale chabal,"चाहबिल तरकारी बजार, Kathmandu-7, Kathmandu",6600000.0,7.0,Pitched,NineToTwelveFeet
HB-BCD796,Non,5.56 Aana Setipakha/Harisiddhi residential land,"Setipakha, Mahalaxmi-4, Lalitpur",3800000.0,5.56,AboveTwentyFeet,LandPlotted
HB-31E553,LandIndividual,"Commercial Land On Sale at Bhotebhala,Kathmandu.","Bhote Bahal, Kathmandu-11, Kathmandu",9200000.0,14.0,Pitched,AboveTwentyFeet
HB-515EA2,Land - Individual,land for sale in basundhara,"Kathmandu-3, Kathmandu, Bagmati Pradesh",5500000.0,3.0,west facing,13 - 20 Ft.
HB-4FF159,Land - Plotted,Balambu ma mero 3.1 aana dachin mohoda singal moho,"F105, Chandragiri, Chandragiri Municipality, Kathmandu",32.0,3.0,Gravel,13 - 20 Ft.
HB-B2F88F,LandCommercialUse,सस्तोमा भक्तपुर सिपाडोल मेन रोड टच जग्गा बिक्रीमा,"Sipadol Planning, Suryabinayak-8, Bhaktapur",1850000.0,9.5,Pitched,AboveTwentyFeet
HB-149C86,6Aana,Land for Sale in New Naikap,"New Naikap Health Post, Chandragiri-14, Kathmandu",4500000.0,6.0,0,LandIndividual
HB-CD29C7,Land - Individual,"Attractive Land for sale in Bisalnagar,Hadigoun","Bishalnagar, Handigaun Marg, Kathmandu-5, Kathmandu, Bagmati Pradesh",7500000.0,6.0,Pitched,9 - 12 Ft.
HB-250F5C,Land - Individual,Bhaktapur Sirutar 11 Ana Residential Land,"Sirutar, Suryabinayak, Suryabinayak Municipality, Bhaktapur",39600000.0,11.0,Pitched,13 - 20 Ft.
HB-A2C1EE,LandPlotted,Peaceful Residential Land for Sale in Balambu!,"Dig Futsal, Chandragiri-12, Kathmandu",3300000.0,3.25,Others,ThirteenToTwentyFeet
HB-C9E3D0,4,4 ana land for sale in golfutar,"Golphutar, गोल्फुटार आवासीय सडक, Budhanilakantha-8, Kathmandu, Bagmati Pradesh",6500000.0,4.0,LandIndividual,Non
HB-8A21AC,Land - Individual,Land for sale,"Sano Bharyang, Nagarjun-2, Kathmandu, Bagmati Pradesh",24900000.0,5.0,Pitched,13 - 20 Ft.
HB-804017,Land - Individual,मात्र 35 लाखले ३.५ आना जग्गा कपन हाइटमा ।,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",3500000.0,3.0,Pitched,13 - 20 Ft.
HB-81E72C,Land - Commercial Use,8 Aana Land On Sale Near Ganesh Chowk Budhanilkant,"Samudaik Marg, बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",5600000.0,8.0,Pitched,13 - 20 Ft.
HB-9C58F6,LandPlotted,"Land for Sale at Gajurel Danda, Mulpani","Gajurel Hill गजुरेल डाँडा, Kageshwori Manahora-6, Kathmandu",45.0,4.0,Pitched,ThirteenToTwentyFeet
HB-8701A2,LandIndividual,Land for Sale in Nakhipot – Near Kantipur Colony!,"Nakhipot, Lalitpur-14, Lalitpur",12000000.0,4.0,Pitched,ThirteenToTwentyFeet
HB-560911,LandIndividual,Land on sale at Sainbu Bhaisepati,"Bhaisepati, Lalitpur, Lalitpur-18, Lalitpur",4500000.0,4.0,Pitched,ThirteenToTwentyFeet
HB-E8766F,LandIndividual,Land on sale at Nagarjun,"Nagarjun, Nagarjun-10, Kathmandu",1400000.0,3.5,Pitched,ThirteenToTwentyFeet
HB-D6D4C2,LandIndividual,BHAISIPATI – 16 ANA LAND FOR SALE,"Bhaisipati, Lalitpur-25, Lalitpur",11500000.0,16.0,Pitched,ThirteenToTwentyFeet
HB-1B613D,Land - Individual,south faced 4 aana land for sale at Sanagaun,"Siddhipur, Mahalaxmi-6, Lalitpur, Bagmati Pradesh",3800000.0,4.0,siddhipur party palace,13 - 20 Ft.
HB-F8392D,LandPlotted,Godawari main road touched land on sale.,"Satdobato-Godawari Road, Godawari-3, Lalitpur, Bagmati Pradesh",6200000.0,6.5,Pitched,AboveTwentyFeet
HB-226572,LandIndividual,Land for Sale in Bhangal,"Bhangal 8, Budhanilakantha-8, Kathmandu",4200000.0,3.2,Pitched,ThirteenToTwentyFeet
HB-51032E,LandIndividual,Land for Sale at Chapali,"Chapali Ghumti, Budhanilakantha-4, Kathmandu",4300000.0,4.3,Pitched,ThirteenToTwentyFeet
HB-967A3F,Non,"5 Aana @1350,000/- Lamatar Land","Mahalaxmi-9, Lalitpur, Bagmati Pradesh",1350000.0,5.0,5 - 8 Ft.,Land - Individual
HB-113347,Land - Individual,LAND FOR SALE KATHMANDU 10 NEW BANESHWOR THAPAGAU,"Lakhe Chaur, Kathmandu-10, Kathmandu, Bagmati Pradesh",5000000.0,3.0,Pitched,Less Than 5 Ft.
HB-86E238,Residence,9 aanaa Residential land on sale hepali budhanilka,"Budhanilakantha-7, Kathmandu, Bagmati Pradesh",5000000.0,9.0,9 - 12 Ft.,Land - Individual
HB-F52ED9,4,Bhaktapur land on sell,"Masandol, Ethuli Planning Sadak, Changunarayan-9, Bhaktapur, Bagmati Pradesh",3000000.0,4.0,Land - Individual,Non
HB-739B26,Land - Individual,आकर्षक घडेरी बिक्रिमा,"Khuipu, Shiva Dol Marg, Lalitpur-22, Lalitpur, Bagmati Pradesh",2200000.0,21.0,Gravel,13 - 20 Ft.
HB-E8C328,Non,25 Aana Land For Sale In Thankot,"Thankot, Chandragiri-4, Kathmandu",3500000.0,25.0,LandIndividual,Non
HB-0D20CF,LandPlotted,6 Aana semi commercial land for sale in Swoyambhu,"Thadovaryang, Swayambhu, Kathmandu-15, Kathmandu",45000000.0,6.0,Pitched,ThirteenToTwentyFeet
HB-C9BC97,Land - Plotted,sale,"Lalitpur-25, Lalitpur, Bagmati Pradesh",3700000.0,10.0,Pitched,13 - 20 Ft.
HB-C06F4E,Land - Plotted,sale,"Lalitpur-25, Lalitpur, Bagmati Pradesh",5700000.0,7.0,Pitched,Above 20 Ft.
HB-E7599F,Land - Individual,14 Aana Land On Sale Sukedhara Chowk.,"आनन्द नगर, महाङ्काल, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",6700000.0,14.0,Pitched,13 - 20 Ft.
HB-5DBEB2,Land - Individual,20 Aana Land On Sale Budhha Colony Budhanilkantha,"खड्का भद्रकाली, बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",6400000.0,20.0,Pitched,13 - 20 Ft.
HB-9D7239,Land - Individual,4 anna gharadi,"Itaiti, Godawari-9, Lalitpur, Bagmati Pradesh",675000.0,4.0,Gravel,Above 20 Ft.
HB-CC0752,Land - Individual,140Aana Land On Sale Budhanilkantha Sidharta Colon,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",5800000.0,40.0,Pitched,13 - 20 Ft.
HB-FC0179,Land - Individual,15 Aana Land On Sale Budhanilkantha Deuba Chowk.,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",4500000.0,15.0,Pitched,13 - 20 Ft.
