ad_id,Type,Title,location,Price,Land_Size,Road_Type,Road_Size
HB-2C6C3C,Non,10 anna Land on sell at pasikot,"Tokha-03, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल",2300000.0,10.0,13 - 20 Ft.,Land - Individual
HB-BCEE9B,Non,6 Anna Jagga Buddhanilkantha Near bishnumati pool,"दुलाल टोल, Budhanilkantha-05, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",2600000.0,6.0,13 - 20 Ft.,Land - Plotted
HB-9D347D,Non,8 anna land Budhanilkantha near lemon tree hotel,"Budhanilkantha-01, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",2500000.0,8.0,13 - 20 Ft.,Land - Plotted
HB-22CCD4,Non,5 anna land at Buddhanilkantha,"Budhanilkantha Bagaicha, Budhanilkantha-01, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 22644, नेपाल",2500000.0,5.0,13 - 20 Ft.,Land - Individual
HB-43E651,Land - Individual,West Facing 4 Aana Land On Sale At Baluwatar,"40, Pandol Marg, Panipokhari, Kathmandu, Kathmandu Metropolitan City, Kathmandu",36000000.0,4.0,Near Oriental Kitchen Pandol Marga,13 - 20 Ft.
HB-9BCD64,LandIndividual,"3 aana land for Sale at Syuchatar, Kalanki !!","suchatar, Syuchatar (Kalanki), Kathmandu",4000000.0,3.0,Pitched,ThirteenToTwentyFeet
HB-604A5C,LandIndividual,"12 ana Land on sale in Rudreshwor, Budhanilkantha","budanilkantha, Budhanilkantha, Kathmandu",6000000.0,12.0,Pitched,ThirteenToTwentyFeet
HB-E9D123,Land - Plotted,Land Sell,"Sammunat Nepal, 27DR033, Gokarneshwar-01, Mulkharka, गोकर्णेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44603, नेपाल",2400000.0,4.0,Soil (Mato),13 - 20 Ft.
HB-5D6DDA,Land - Plotted,Land Sell,"Sammunat Nepal, 27DR033, Gokarneshwar-01, Mulkharka, गोकर्णेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44603, नेपाल",6800000.0,4.0,Soil (Mato),13 - 20 Ft.
HB-FD7323,LandIndividual,Land for sale in Italitar,"ithalitar budanilkantha, Italitar (Budhanilkantha), Kathmandu",4200000.0,9.0,Pitched,ThirteenToTwentyFeet
HB-881EBF,LandIndividual,Land for sale in naxal,"Naxal, Kathmandu",10000000.0,14.0,Pitched,ThirteenToTwentyFeet
HB-BF683E,4 aana 2 paisa,4 AANA 2 PAISA LAND FOR SALE IN IMADOL,"Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",4500000.0,4.0,LandIndividual,Non
HB-7D81AA,LandPlotted,🏡 Land On Sale at Budhanilkantha🌳,"budanilkantha, Budhanilkantha, Kathmandu",5500000.0,4.0,Pitched,ThirteenToTwentyFeet
HB-263ED3,LandIndividual,Land on sell at Lazimpat kathmandu,"lajimpat, Lazimpat, Kathmandu",6000000.0,12.0,Pitched,NineToTwelveFeet
HB-8CAC39,LandIndividual,"Land on sell at Dhumbharai , kathmandu","dumbarahi, Dhumbarahi, Kathmandu",9000000.0,9.0,Pitched,ThirteenToTwentyFeet
HB-302374,LandIndividual,"Land on sell at Naxal,Kathmanu","Naxal, Kathmandu",10000000.0,15.0,Pitched,NineToTwelveFeet
HB-B324B2,LandIndividual,"Land on sell at Naxal,Kathmandu","Naxal, Kathmandu",10000000.0,17.0,Pitched,ThirteenToTwentyFeet
HB-8B9238,LandIndividual,"Land on sell at chandol,kathmandu","Chandol, Kathmandu",8000000.0,32.0,Pitched,ThirteenToTwentyFeet
