Price,Location,Road_Access,Facing_Direction,Land_AREA
Rs. 55 Lac/aana,"Kamerotar, Bhaktapur",20 Feet /Paved,North,5.2 aana
Price on call,"Old Baneshwor, Kathmandu",18 Feet /Dhalan,East,
Rs. 55 Lac/aana,"Gatthaghar, Bhaktapur",10 Feet /Black Topped,West,6.1 aana
Rs. 24 Lac/aana,"Dahachowk, Kathmandu",12 Feet /Gravelled,,5.3 aana
Rs. 58 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,North-East,
Rs. 44 Lac/aana,"Balkot, Bhaktapur",20 Feet /Paved,North,4.2 aana
Rs. 35 Lac/aana,"Sunakothi, Lalitpur",13 Feet /Paved,South,
Rs. 43 Lac/aana,"Shital Height, Lalitpur",13 Feet /Soil Stabilized,North,4.1 aana
Rs. 45 Lac/aana,"Shital Height, Lalitpur",20 Feet /Soil Stabilized,North,
Rs. 40 Lac/aana,"Balkot, Bhaktapur",13 Feet /Paved,West,4.1 aana
Rs. 45 Lac/aana,"Kapan, Kathmandu",13 Feet /Paved,North-East,
Rs. 42 Lac/aana,"Sanagaun, Lalitpur",13 Feet /Soil Stabilized,East,4.2 aana
Rs. 65 Lac/aana,"Pepsicola, Kathmandu",20 Feet /Black Topped,North-East,5.2 aana
Rs. 65 Lac/aana,"Balkot, Bhaktapur",13 Feet /Paved,East,
Rs. 75 Lac/aana,"Dhobighat, Lalitpur",13 Feet /Black Topped,South,
Rs. 52 Lac/aana,"Pasikot, Kathmandu",20 Feet /Soil Stabilized,East,
Rs. 38 Lac/aana,"Sirutar, Bhaktapur",13 Feet /Paved,South,3.1 aana
Rs. 85 Lac/aana,"Sanepa, Lalitpur",14 Feet /Black Topped,South,
Rs. 38 Lac/aana,"Sirutar, Bhaktapur",13 Feet /Soil Stabilized,West,
Rs. 36 Lac/aana,"Tikathali, Lalitpur",13 Feet /Soil Stabilized,North,
Price on call,"Daskilla, Dhading",12 Feet /Gravelled,North,
Rs. 65 Lac/aana,"Bafal, Lalitpur",13 Feet /Black Topped,South-West,
Rs. 50 Lac/aana,"Chapali, Kathmandu",13 Feet /Black Topped,North-West,6.2 aana
Rs. 75 Lac/aana,"Kuleshwor, Kathmandu",16 Feet /Black Topped,North-East,8.2 aana
Rs. 45 Lac/aana,"Chapali, Kathmandu",,East,4.2 aana
Rs. 65 Lac/aana,"Guheshwori, Kathmandu",12 Feet /Black Topped,East,2.2 aana
Rs. 9 Lac/dhur,"Kurtha, Dhanusa",42 Feet /Black Topped,North,0.12 kattha
Rs. 25 Lac/aana,"Godawari, Lalitpur",20 Feet /Paved,East,4.1 aana
Rs. 40 Lac/aana,"Tikathali, Lalitpur",13 Feet /Dhalan,North-East,3.1 aana
Rs. 15 Lac/dhur,"Mujeliya, Dhanusa",52 Feet /Dhalan,East,0.18 kattha
Rs. 30 Lac/dhur,"Kurtha, Dhanusa",13 Feet /Soil Stabilized,South,
Rs. 80 Lac/aana,"Baluwatar, Kathmandu",20 Feet /Black Topped,South,22.5 aana
Rs. 37 Lac,"Ganesh Chowk, Kathmandu",13 Feet /Black Topped,South,
Rs. 38 Lac/aana,"Tikathali, Lalitpur",20 Feet /Soil Stabilized,North-East,3.3 aana
Rs. 22 Lac/aana,"Dhapakhel, Lalitpur",13 Feet /Gravelled,,
Rs. 3.4 Lac/dhur,"Kurtha, Dhanusa",,East,0.22 kattha
Rs. 2.5 Cr,"Ekatabasti, Kathmandu",13 Feet /Black Topped,West,
Price on call,"Sanobharyang, Kathmandu",20 Feet /Black Topped,East,
Rs. 60 Lac/aana,"Kuleshwor, Kathmandu",20 Feet /Black Topped,North,
Rs. 80 Lac/aana,"Kuleshwor, Kathmandu",22 Feet /Black Topped,South,
Rs. 77 Lac/aana,"Dillibazar, Kathmandu",20 Feet /Black Topped,South,4.2 aana
Rs. 26 Lac/aana,"Thaiba, Lalitpur",13 Feet /Soil Stabilized,West,
Rs. 41 Lac/aana,"Shital Height, Lalitpur",12 Feet /Soil Stabilized,South,
Rs. 33 Lac/aana,"Lubhu, Lalitpur",20 Feet /Soil Stabilized,North-East,
Rs. 38 Lac/aana,"Tikathali, Lalitpur",8 Feet /Soil Stabilized,South,
Rs. 28 Lac/aana,"Chobhar, Kathmandu",22 Feet /Black Topped,North-East,11.2 aana
Rs. 28 Lac/aana,"Chobhar, Kathmandu",20 Feet /Black Topped,South-West,5.2 aana
Rs. 43 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 45 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,North,
Rs. 45 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,South-West,4.2 aana
Rs. 60 Lac/aana,"Kuleshwor, Kathmandu",16 Feet /Black Topped,North-West,
Price on call,"Ramhiti, Kathmandu",12 Feet /Black Topped,East,19.2 aana
Rs. 30 Lac/aana,"Harisiddhi, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 68 Lac/aana,"Bafal, Lalitpur",12 Feet /Black Topped,East,
Rs. 68 Lac/aana,"Bafal, Lalitpur",13 Feet /Black Topped,South,10.2 aana
Rs. 38 Lac,"Ochu Height, Lalitpur",10 Feet /Soil Stabilized,South,
Price on call,"Radhe Radhe, Bhaktapur",6 Meter/Black Topped,South,2.2 aana
Rs. 45 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,South-West,4.2 aana
Rs. 90 Lac/aana,"Gairidhara, Kathmandu",13 Feet /Black Topped,East,
Rs. 80 Lac/aana,"Sanepa, Lalitpur",13 Feet /Black Topped,South,
Rs. 30 Lac/aana,"Tokha Chandeshwori, Kathmandu",13 Feet /Black Topped,West,3.2 aana
Rs. 41 Lac/aana,"Ochu Height, Lalitpur",13 Feet /Black Topped,South,
Rs. 7 Lac,"Zero Mile, Dhanusa",14 Feet /Soil Stabilized,South-East,
Rs. 8 Lac/dhur,"Pidariya Mai Temple, Dhanusa",,North-West,0.5 kattha
Rs. 50 Lac/aana,"Tahachal, Kathmandu",13 Feet /Black Topped,North-East,
Rs. 37 Lac/aana,"Tikathali, Lalitpur",13 Feet /Soil Stabilized,South-East,3.3 aana
Price on call,"Khahare, Kathmandu",16 Feet /Black Topped,,
Price on call,"Harhar Mahadev, Kathmandu",18 Feet /Black Topped,,12.2 aana
Price on call,"Kageshwari Manohara, Kathmandu",15 Feet /Black Topped,East,
Rs. 16.5 Lac,"Sankhu, Kathmandu",10 Feet /Black Topped,East,2.2 aana
Rs. 52 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Paved,South,
Rs. 45 Lac/aana,"Ochu Height, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 39 Lac,"Nil Barahi Mandir, Bhaktapur",,South-East,4.2 aana
Rs. 35 Lac/aana,"Muhanpokhari, Kathmandu",13 Feet /Black Topped,West,
Rs. 43 Lac/aana,"Siddhipur, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 40 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,North,
Rs. 15 Lac/dhur,"Campus Chowk, Dhanusa",29 Feet /Black Topped,South,0.18 kattha
Rs. 1.3 Cr,"Machhe Gaun, Kathmandu",14 Feet /Black Topped,North-East,
Rs. 4.5 Lac/dhur,"Rajaul, Dhanusa",14 Feet /Soil Stabilized,West,
Rs. 4 Lac/dhur,"Mujeliya, Dhanusa",15 Feet /Soil Stabilized,South,0.17 kattha
Rs. 70 Lac/aana,"Basundhara, Kathmandu",13 Feet /Black Topped,East,7.1 aana
Rs. 41 Lac/aana,"Sanagaun, Lalitpur",20 Feet /Paved,South,
Rs. 41 Lac/aana,"Sanagaun Lubhu, Lalitpur",20 Feet /Paved,South,
Rs. 18 Lac,"Chalnakhel, Kathmandu",13 Feet /Black Topped,South,
Rs. 41 Lac/aana,"Hattiban, Lalitpur",13 Feet /Dhalan,North-East,
Rs. 6.5 Lac/dhur,"Kurtha, Dhanusa",42 Feet /Black Topped,South,0.13 kattha
Rs. 35 Lac/aana,"Sapantirtha, Kathmandu",13 Feet /Gravelled,South,
Rs. 42 Lac/aana,"Sanagaun, Lalitpur",13 Feet /Paved,South,
Rs. 34 Lac/aana,"Tikathali, Lalitpur",13 Feet /Paved,West,
Rs. 8.5 Lac/dhur,"Pidariya Mai Temple, Dhanusa",12 Feet /Soil Stabilized,North,0.5 kattha
Price on call,"Sitapaila, Kathmandu",13 Feet /Black Topped,South,
Rs. 4 Lac/dhur,"Mujeliya, Dhanusa",16 Feet /Soil Stabilized,North,0.17 kattha
Rs. 4.5 Lac/dhur,"Mujeliya, Dhanusa",13 Feet /Black Topped,South-West,0.11 kattha
Rs. 32 Lac/aana,"Lubhu, Lalitpur",13 Feet /Soil Stabilized,North,
Rs. 51 Lac,"Chapali, Kathmandu",13 Feet /Black Topped,North-East,10.2 aana
Rs. 45 Lac/aana,"Imadol, Lalitpur",20 Feet /Dhalan,East,
Rs. 30 Lac/aana,"Changathali, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 38 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 75 Lac/dhur,"Mills Area, Dhanusa",41 Feet /Black Topped,East,0.7 kattha
Rs. 7 Lac/dhur,"Bega Shivapur, Dhanusa",42 Feet /Black Topped,North,
Rs. 10 Lac/dhur,"Mills Area, Dhanusa",26 Feet /Dhalan,South,0.7 kattha
Rs. 80 Lac/aana,"Old Baneshwor, Kathmandu",13 Feet /Black Topped,West,
Rs. 40 Lac,"Shital Height, Lalitpur",13 Feet /Soil Stabilized,South-West,
Price on call,"Newroad, Kaski",8 Meter/Black Topped,East,7.4 aana
Rs. 45 Lac,"Budhanilkantha, Kathmandu",13 Feet /Black Topped,North,
Rs. 45 Lac/aana,"Budhanilkantha, Kathmandu",13 Feet /Black Topped,East,
Rs. 1 Cr,"Mahendra Chowk, Morang",20 Feet /Gravelled,East,1.5 kattha
Rs. 40 Lac/aana,"Budhanilkantha, Kathmandu",20 Feet /Black Topped,West,4.3 aana
Rs. 42 Lac/aana,"Tikathali, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 5 Lac/aana,"Devichaur, Lalitpur",13 Feet /Black Topped,South,
Rs. 37 Lac/aana,"Tikathali, Lalitpur",13 Feet /Paved,North,4.2 aana
Rs. 48 Lac/aana,"Hattiban, Lalitpur",13 Feet /Soil Stabilized,South,4.2 aana
Rs. 26 Lac/aana,"Changunarayan, Bhaktapur",13 Feet /Black Topped,North-West,
Rs. 32 Lac/aana,"Lubhu, Lalitpur",13 Feet /Paved,North,
Rs. 32 Lac/aana,"Lubhu, Lalitpur",13 Feet /Paved,North,
Rs. 35 Lac/aana,"Krishna Mandir, Kathmandu",13 Feet /Black Topped,East,
Rs. 35 Lac/aana,"Tokha, Kathmandu",13 Feet /Black Topped,North,
Rs. 65 Lac/aana,"Lokanthali, Bhaktapur",26 Feet /Soil Stabilized,West,3.2 aana
Rs. 65 Lac/aana,"Sanothimi, Bhaktapur",20 Feet /Paved,South-East,
Rs. 42 Lac/aana,"Pasikot, Kathmandu",13 Feet /Black Topped,East,
Rs. 52 Lac/aana,"Hattigauda, Kathmandu",13 Feet /Black Topped,East,
Rs. 47 Lac,"Bhangal , Kathmandu",12 Feet /Black Topped,South,
Rs. 38 Lac/aana,"Setipakha, Lalitpur",13 Feet /Paved,North-East,
Rs. 65 Lac/aana,"Gwarko, Lalitpur",13 Feet /Paved,South-West,
Rs. 40 Lac/aana,"Ochu Height, Lalitpur",13 Feet /Soil Stabilized,West,
Rs. 56 Lac/aana,"Sanothimi, Bhaktapur",20 Feet /Paved,South,
Rs. 25 Lac/aana,"Lama Gaun, Nuwakot",13 Feet /Black Topped,North-East,25.2 aana
Rs. 39 Lac/aana,"Harisiddhi, Lalitpur",13 Feet /Paved,North-West,
Rs. 3.08 Cr,"Narayanthan, Nuwakot",12 Feet /Gravelled,North-East,351.2 aana
Rs. 59 Lac/aana,"Sanothimi, Bhaktapur",20 Feet /Paved,East,
Rs. 3.9 Cr,"Sunkhani, Nuwakot",16 Feet /Gravelled,North-East,417.1 aana
Rs. 66 Lac,"Mathbhanjyang, Nuwakot",13 Feet /Gravelled,South,
Rs. 33 Lac/aana,"Thimi, Bhaktapur",13 Feet /Paved,East,
Rs. 65 Lac/aana,"Samakhusi, Kathmandu",12 Feet /Black Topped,East,
Rs. 28 Lac/aana,"Dhapakhel, Lalitpur",10 Feet /Soil Stabilized,South,4.2 aana
Rs. 30 Lac/aana,"Jhor, Kathmandu",20 Feet /Black Topped,East,
Rs. 35 Lac/aana,"Pepsicola, Kathmandu",22 Feet /Soil Stabilized,South,
Rs. 65 Lac/aana,"Sanothimi, Bhaktapur",20 Feet /Paved,South-West,
Rs. 26 Lac/aana,"Sirutar, Bhaktapur",20 Feet /Paved,East,
Rs. 58 Lac/aana,"Sanothimi, Bhaktapur",13 Feet /Paved,North-East,3.2 aana
Rs. 57 Lac/aana,"Sanothimi, Bhaktapur",20 Feet /Paved,North-East,
Rs. 60 Lac/aana,"Sanothimi, Bhaktapur",20 Feet /Paved,East,
Rs. 65 Lac/aana,"Lokanthali, Bhaktapur",26 Feet /Soil Stabilized,West,3.2 aana
Rs. 39 Lac/aana,"Nil Barahi Mandir, Bhaktapur",20 Feet /Soil Stabilized,North-East,4.2 aana
Rs. 40 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Paved,North,
Rs. 65 Lac/aana,"Bafal, Lalitpur",13 Feet /Black Topped,East,
Rs. 18 Lac/aana,"Kalanki, Kathmandu",3 Feet /Soil Stabilized,South,
Rs. 40 Lac/aana,"Ochu Height, Lalitpur",13 Feet /Soil Stabilized,West,
Price on call,"Kanyam, Ilam",9 Feet /Dhalan,East,
Rs. 38 Lac/aana,"Setipakha, Lalitpur",13 Feet /Paved,North-East,
Rs. 48 Lac/aana,"Hattiban, Lalitpur",13 Feet /Soil Stabilized,South,4.2 aana
Rs. 60 Lac,"Tikathali, Lalitpur",26 Feet /Black Topped,South,
Rs. 37 Lac/aana,"Balkot, Bhaktapur",13 Feet /Soil Stabilized,South,
Rs. 45 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 40 Lac/aana,"Sanagaun, Lalitpur",20 Feet /Dhalan,East,3.1 aana
Rs. 26 Lac/aana,"Duwakot, Bhaktapur",20 Feet /Soil Stabilized,South,
Rs. 44 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,South,2.2 aana
Rs. 39 Lac/aana,"Harisiddhi, Lalitpur",13 Feet /Paved,North-West,
Rs. 55 Lac/aana,"Lokanthali, Bhaktapur",16 Feet /Soil Stabilized,West,
Rs. 55 Lac/aana,"Bhaisepati, Lalitpur",20 Feet /Soil Stabilized,East,
Rs. 11.5 Lac/aana,"Godamchaur, Lalitpur",13 Feet /Black Topped,South,
Rs. 40 Lac/aana,"Thimi, Bhaktapur",13 Feet /Soil Stabilized,South,
Rs. 50 Lac/aana,"Tokha, Kathmandu",13 Feet /Soil Stabilized,South-East,
Rs. 58 Lac/aana,"Gatthaghar, Bhaktapur",24 Feet /Paved,North,5.2 aana
Rs. 55 Lac/aana,"Tikathali, Lalitpur",13 Feet /Soil Stabilized,North-West,3.2 aana
Rs. 55 Lac/aana,"Nikoshera, Bhaktapur",20 Feet /Soil Stabilized,East,
Rs. 55 Lac/aana,"Chapali, Kathmandu",13 Feet /Soil Stabilized,South,
Rs. 65 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,South-East,5.3 aana
Rs. 52 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 43 Lac/aana,"Kaushaltar, Bhaktapur",20 Feet /Soil Stabilized,East,6.3 aana
Rs. 38 Lac/aana,"Tokha, Kathmandu",13 Feet /Soil Stabilized,West,
Rs. 43 Lac/aana,"Hattigauda, Kathmandu",13 Feet /Soil Stabilized,East,4.1 aana
Rs. 58 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Black Topped,South,5.1 aana
Rs. 43 Lac/aana,"Balkot, Bhaktapur",13 Feet /Soil Stabilized,East,3.3 aana
Rs. 42 Lac/aana,"Imadol, Lalitpur",10 Feet /Soil Stabilized,East,
Rs. 47 Lac/aana,"Hattigauda, Kathmandu",13 Feet /Soil Stabilized,North-East,
Rs. 43 Lac/aana,"Mulpani, Kathmandu",13 Feet /Soil Stabilized,North-East,6.2 aana
Rs. 37 Lac/aana,"Nikoshera, Bhaktapur",20 Feet /Soil Stabilized,South-West,
Rs. 60 Lac/aana,"Kuleshwor, Kathmandu",13 Feet /Black Topped,North,
Rs. 39 Lac/aana,"Harisiddhi, Lalitpur",13 Feet /Dhalan,North-West,
Rs. 40 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,North,
Rs. 52 Lac/aana,"Lokanthali, Bhaktapur",13 Feet /Soil Stabilized,North-West,
Rs. 60 Lac/aana,"Suncity, Kathmandu",13 Feet /Dhalan,South,
Rs. 50 Lac/aana,"Balkot, Bhaktapur",13 Feet /Soil Stabilized,East,
Rs. 58 Lac/aana,"Gatthaghar, Bhaktapur",20 Feet /Paved,West,
Rs. 35 Lac/aana,"Mulpani, Kathmandu",13 Feet /Soil Stabilized,South,
Rs. 45 Lac/aana,"Pasikot, Kathmandu",13 Feet /Gravelled,South,4.2 aana
Rs. 40 Lac/aana,"Sanothimi, Bhaktapur",20 Feet /Paved,West,
Rs. 63 Lac/aana,"Dibyeshwori Townplanning, Bhaktapur",20 Feet /Soil Stabilized,West,5.2 aana
Rs. 52 Lac/aana,"Hattigauda, Kathmandu",13 Feet /Black Topped,North-East,
Rs. 37 Lac/aana,"Mulpani, Kathmandu",13 Feet /Dhalan,West,
Rs. 38 Lac/aana,"Sanagaun, Lalitpur",20 Feet /Soil Stabilized,West,3.2 aana
Rs. 65 Lac/aana,"Imadol, Lalitpur",13 Feet /Paved,North-East,
Rs. 55 Lac/aana,"Basundhara, Kathmandu",13 Feet /Black Topped,West,3.2 aana
Rs. 65 Lac,"Imadol, Lalitpur",12 Feet /Dhalan,North-East,
Rs. 60 Lac/aana,"Kuleshwor, Kathmandu",18 Feet /Black Topped,North,
Rs. 32 Lac/aana,"Machhe Gaun, Kathmandu",13 Feet /Black Topped,South,3.2 aana
Rs. 65 Lac/aana,"Imadol, Lalitpur",13 Feet /Dhalan,North-West,
Rs. 35 Lac/aana,"Mulpani, Kathmandu",10 Feet /Soil Stabilized,East,
Rs. 43 Lac/aana,"Mulpani, Kathmandu",13 Feet /Soil Stabilized,North-East,6.2 aana
Rs. 35 Lac/aana,"Mulpani, Kathmandu",13 Feet /Soil Stabilized,South,
Rs. 35 Lac/aana,"Mulpani, Kathmandu",13 Feet /Soil Stabilized,North,
Rs. 58 Lac/aana,"Pepsicola, Kathmandu",20 Feet /Soil Stabilized,West,3.3 aana
Rs. 28 Lac/aana,"Lubhu, Lalitpur",13 Feet /Soil Stabilized,South,
Price on call,"Godamchaur, Lalitpur",12 Feet /Black Topped,East,
Rs. 55 Lac/aana,"Gatthaghar, Bhaktapur",13 Feet /Soil Stabilized,West,
Rs. 48 Lac/aana,"Shital Height, Lalitpur",13 Feet /Paved,South,
Rs. 70 Lac/aana,"Dhumbarahi, Kathmandu",13 Feet /Black Topped,South-East,
Rs. 40 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,North,
Rs. 55 Lac/aana,"Sanothimi, Bhaktapur",,West,
Rs. 65 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,North-East,5.3 aana
Rs. 70 Lac/aana,"Sukedhara, Kathmandu",13 Feet /Black Topped,South,5.2 aana
Rs. 45 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 50 Lac/aana,"Thimi, Bhaktapur",20 Feet /Paved,North-East,
Rs. 40 Lac/aana,"Thimi, Bhaktapur",13 Feet /Soil Stabilized,South,
Rs. 43 Lac/aana,"Mulpani, Kathmandu",13 Feet /Soil Stabilized,North-East,6.2 aana
Rs. 50 Lac/aana,"Imadol, Lalitpur",13 Feet /Dhalan,North,
Price on call,"Damauli, Tanahun",20 Feet /Soil Stabilized,East,
Rs. 70 Lac/aana,"Bansbari, Kathmandu",13 Feet /Black Topped,North,
Rs. 60 Lac/aana,"Samakhusi, Kathmandu",15 Feet /Black Topped,North,
Rs. 30 Lac/aana,"Tikathali, Lalitpur",13 Feet /Soil Stabilized,North-West,
Rs. 50 Lac,"Imadol, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 65 Lac/aana,"Sanepa, Lalitpur",12 Feet /Dhalan,North,
Rs. 55 Lac/aana,"Dhumbarahi, Kathmandu",10 Feet /Black Topped,East,2.3 aana
Rs. 60 Lac/aana,"Sanepa, Lalitpur",,West,
Rs. 40 Lac/aana,"Bode, Bhaktapur",13 Feet /Soil Stabilized,East,
Rs. 46 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,West,
Rs. 42 Lac/aana,"Bhangal , Kathmandu",28 Feet /Black Topped,West,
Rs. 36 Lac/aana,"Lubhu, Lalitpur",16 Feet /Soil Stabilized,South-East,
Rs. 45 Lac/aana,"Hattigauda, Kathmandu",13 Feet /Soil Stabilized,West,
Rs. 65 Lac/aana,"Bhaisepati, Lalitpur",20 Feet /Black Topped,East,
Rs. 45 Lac/aana,"Chapali, Kathmandu",13 Feet /Dhalan,North,
Rs. 42 Lac,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,East,
Price on call,"Chhaimale, Kathmandu",16 Feet /Soil Stabilized,East,266.2 aana
Rs. 36 Lac/aana,"Sanagaun, Lalitpur",13 Feet /Soil Stabilized,West,
Rs. 47 Lac/aana,"Imadol, Lalitpur",13 Feet /Paved,East,
Rs. 20 Lac/aana,"Dhulikhel, Kavrepalanchok",20 Feet /Black Topped,North-East,4.2 aana
Rs. 50 Lac/aana,"Phutung, Kathmandu",22 Feet /Black Topped,North-West,4.3 aana
Rs. 1.75 Cr,"Balaju, Kathmandu",13 Feet /Black Topped,South-West,2.2 aana
Rs. 55 Lac/aana,"Nepaltar, Kathmandu",13 Feet /Black Topped,South-West,5.2 aana
Rs. 33 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,South,3.2 aana
Rs. 57 Lac/aana,"Nepaltar, Kathmandu",12 Feet /Black Topped,South-West,
Rs. 45 Lac/aana,"Imadol, Lalitpur",13 Feet /Dhalan,North,3.2 aana
Rs. 60 Lac/aana,"Nepaltar, Kathmandu",13 Feet /Black Topped,South,5.2 aana
Rs. 45 Lac/aana,"Nepaltar, Kathmandu",22 Feet /Gravelled,West,
Rs. 43 Lac/aana,"Mulpani, Kathmandu",13 Feet /Soil Stabilized,North-East,6.2 aana
Rs. 55 Lac/aana,"Kaushaltar, Bhaktapur",20 Feet /Soil Stabilized,South,3.3 aana
Rs. 38 Lac/aana,"Imadol, Lalitpur",20 Feet /Soil Stabilized,West,
Rs. 52 Lac/aana,"Kalanki, Kathmandu",13 Feet /Black Topped,North-West,
Rs. 45 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,West,3.2 aana
Rs. 40 Lac/aana,"Kalanki, Kathmandu",13 Feet /Black Topped,North-East,3.1 aana
Rs. 43 Lac/aana,"Mulpani, Kathmandu",13 Feet /Soil Stabilized,North-East,6.2 aana
Rs. 21 Lac/aana,"Nagdaha, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 1.4 Cr/aana,"Paknajol, Kathmandu",13 Feet /Black Topped,South,
Rs. 42 Lac,"Tikathali, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 28 Lac/aana,"Lubhu, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 27 Lac/aana,"Chasidol, Lalitpur",13 Feet /Soil Stabilized,North,
Rs. 26 Lac/aana,"Chasidol, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 50 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,West,
Rs. 38 Lac/aana,"Ochu Height, Lalitpur",13 Feet /Paved,East,
Rs. 45 Lac/aana,"Gothatar, Kathmandu",20 Feet /Soil Stabilized,East,
Rs. 36 Lac/aana,"Lubhu, Lalitpur",16 Feet /Soil Stabilized,South-East,
Rs. 55 Lac/aana,"Grande Hospital, Kathmandu",20 Feet /Black Topped,North,
Rs. 55 Lac/aana,"Dharmasthali, Kathmandu",22 Feet /Black Topped,South-East,
Rs. 45 Lac/aana,"Ochu Height, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 62 Lac/aana,"Lokanthali, Bhaktapur",20 Feet /Soil Stabilized,East,
Rs. 43 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,South,
Rs. 35 Lac/aana,"Budhanilkantha, Kathmandu",16 Feet /Black Topped,East,
Rs. 75 Lac/aana,"Dillibazar, Kathmandu",13 Feet /Black Topped,South,
Rs. 10 Cr,"Panchkhal, Kavrepalanchok",6 Meter/Black Topped,East,
Rs. 52 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Dhalan,South,
Rs. 90 Lac/aana,"Bhatkeko Pool, Kathmandu",30 Feet /Black Topped,South,8.1 aana
Rs. 48 Lac/aana,"Banepa, Kavrepalanchok",20 Feet /Black Topped,South-West,4.1 aana
Rs. 20 Lac/aana,"Banepa, Kavrepalanchok",15 Feet /Gravelled,North,25.3 aana
Rs. 4 Lac/aana,"Dhulikhel, Kavrepalanchok",15 Feet /Gravelled,South,
Rs. 15 Lac/aana,"Dhulikhel, Kavrepalanchok",15 Feet /Black Topped,South-West,4.3 aana
Rs. 12 Lac/aana,"Bisankhunarayan, Lalitpur",20 Feet /Black Topped,South-West,
Rs. 35 Lac/aana,"Darjeeling Height, Bhaktapur",20 Feet /Soil Stabilized,South-West,
Rs. 30 Lac/aana,"Kharipati, Bhaktapur",20 Feet /Gravelled,North,
Rs. 40 Lac/aana,"Sanothimi, Bhaktapur",14 Feet /Black Topped,West,3.2 aana
Rs. 48 Lac/aana,"Katunje, Bhaktapur",15 Feet /Black Topped,East,
Rs. 49 Lac/aana,"Grande Hospital, Kathmandu",13 Feet /Soil Stabilized,West,
Rs. 3.75 Lac/aana,"Shankhu Patichaur, Kavrepalanchok",13 Feet /Soil Stabilized,South,
Rs. 4 Lac/aana,"Shankhu Patichaur, Kavrepalanchok",16 Feet /Soil Stabilized,South,42.1 aana
Rs. 50 Lac/aana,"Kaushaltar, Bhaktapur",16 Feet /Soil Stabilized,South,
Rs. 23 Lac/aana,"Sudal, Bhaktapur",13 Feet /Soil Stabilized,South-East,
Rs. 58 Lac/aana,"Gatthaghar, Bhaktapur",24 Feet /Dhalan,North,5.2 aana
Rs. 42 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Soil Stabilized,South-East,
Rs. 52 Lac/aana,"Lokanthali, Bhaktapur",13 Feet /Dhalan,North-West,
Rs. 46 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Dhalan,West,
Rs. 58 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Paved,South,5.1 aana
Rs. 50 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Paved,East,
Rs. 57 Lac/aana,"Gatthaghar, Bhaktapur",20 Feet /Paved,North-East,6.1 aana
Rs. 40 Lac/aana,"Gothatar, Kathmandu",12 Feet /Paved,South,
Rs. 55 Lac/aana,"Hattiban, Lalitpur",20 Feet /Gravelled,East,3.1 aana
Rs. 55 Lac/aana,"Basundhara, Kathmandu",13 Feet /Paved,East,
"Rs. 50,000 /m","Chobhar, Kathmandu",16 Feet /Black Topped,South,
Rs. 26 Lac/aana,"Duwakot, Bhaktapur",13 Feet /Soil Stabilized,South,
