district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded
1,0,3.0,7000000.0,0,13.0,0,7,0,1.3862943611198906,15.245256633717792
0,3,3.0,6500000.0,0,13.0,0,7,0,1.3862943611198906,14.189175111726222
1,2,10.0,5300000.0,0,13.0,0,7,0,2.3978952727983707,15.170230074637265
2,3,3.5,3000000.0,0,13.0,0,7,0,1.5040773967762742,14.437225574395764
1,2,15.0,4500000.0,0,13.0,0,7,0,2.772588722239781,15.170230074637265
1,2,6.0,6000000.0,0,13.0,0,7,0,1.9459101490553132,15.28609246171445
1,1,6.0,2500000.0,0,13.0,0,7,0,1.9459101490553132,14.871275810783608
2,0,10.0,1050000.0,0,13.0,0,7,0,2.3978952727983707,14.076963152141449
1,3,6.0,9000000.0,0,13.0,0,7,0,1.9459101490553132,15.797351059185896
2,0,6.0,11000000.0,0,13.0,0,7,0,1.9459101490553132,15.324889802416322
2,0,10.0,3500000.0,0,13.0,0,7,0,2.3978952727983707,15.154953559161191
1,3,3.0,3200000.0,0,13.0,0,7,0,1.3862943611198906,14.871275810783608
1,0,4.5,4400000.0,0,13.0,0,7,0,1.7047480922384253,15.283007903045162
2,1,17.0,6500000.0,0,13.0,0,7,0,2.8903717578961645,15.797351059185896
1,0,4.5,6500000.0,0,13.0,0,7,0,1.7047480922384253,15.965672589105742
1,3,3.5,2700000.0,0,13.0,0,7,0,1.5040773967762742,15.432824010286703
1,1,4.59,4500000.0,0,13.0,0,7,0,1.7209792871670078,15.371640665662257
1,0,4.75,2500000.0,0,13.0,0,7,0,1.749199854809259,14.871275810783608
2,3,5.0,3250000.0,0,13.0,0,7,0,1.791759469228055,14.871275810783608
1,2,3.0,2000000.0,0,13.0,0,7,0,1.3862943611198906,14.854775753972746
1,1,6.5,2500000.0,0,13.0,0,7,0,2.0149030205422647,15.28609246171445
1,2,4.0,3800000.0,0,13.0,0,7,0,1.6094379124341003,15.169167886528076
1,1,4.0,6300000.0,0,13.0,0,7,0,1.6094379124341003,15.965672589105742
1,0,10.226442658875092,10000000.0,0,13.0,0,7,0,2.418271947318863,15.486831792118034
2,0,4.0,5500000.0,0,13.0,0,7,0,1.6094379124341003,15.154953559161191
1,3,5.5,1800000.0,0,13.0,0,7,0,1.8718021769015913,14.594294343639321
1,3,5.843681519357195,2500000.0,0,13.0,0,7,0,1.9233258206627393,14.854775753972746
0,3,5.0,2600000.0,0,13.0,0,7,0,1.791759469228055,14.871275810783608
2,0,50.0,4000000.0,1,13.0,0,7,0,3.9318256327243257,15.289607009818557
0,0,6.0,2000000.0,0,13.0,0,7,0,1.9459101490553132,14.189175111726222
2,0,3.75,9500000.0,0,13.0,0,7,0,1.55814461804655,15.797351059185896
