location_raw,facing,price_amount_npr,price_unit,road_width_feet,road_surface,land_size_aana,district
"Balkot, Bhaktapur",North-East,4500000.0,per_aana,22.0,Paved,,Bhaktapur
"Sipadol, Bhaktapur",,2000000.0,per_aana,10.0,Dhalan,,Bhaktapur
"Sirutar, Bhaktapur",West,2500000.0,per_aana,16.0,Soil Stabilized,4.2,Bhaktapur
"Sitapaila, Kathmandu",South-East,5200000.0,per_aana,13.0,Dhalan,,Kathmandu
"Lamatar, Lalitpur",South,2800000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Sudal, Bhaktapur",West,2200000.0,per_aana,20.0,Soil Stabilized,,Bhaktapur
"Mantar, Kathmandu",West,5200000.0,per_aana,20.0,Paved,3.3,Kathmandu
"Maharajgunj, Kathmandu",East,7000000.0,per_aana,13.0,Black Topped,,Kathmandu
"Gothatar, Kathmandu",East,4700000.0,per_aana,13.0,Soil Stabilized,,Kathmandu
"Sudal, Bhaktapur",,2200000.0,per_aana,20.0,Soil Stabilized,,Bhaktapur
"Naikap, Kathmandu",East,4500000.0,per_aana,13.0,Soil Stabilized,,Kathmandu
"Imadol, Lalitpur",North,4600000.0,per_aana,20.0,Soil Stabilized,3.1,Lalitpur
"Bafal, Kathmandu",North-West,5800000.0,per_aana,13.0,Alley,,Kathmandu
"Sitapaila, Kathmandu",South-East,4800000.0,per_aana,13.0,Dhalan,6.2,Kathmandu
"Shital Height, Lalitpur",West,3500000.0,per_aana,13.0,Gravelled,3.2,Lalitpur
"Dibyeshwori Townplanning, Bhaktapur",East,6500000.0,per_aana,20.0,Paved,3.2,Bhaktapur
"Gothatar, Kathmandu",West,4700000.0,per_aana,13.0,Soil Stabilized,4.1,Kathmandu
"Imadol, Lalitpur",North,4800000.0,per_aana,20.0,Soil Stabilized,3.2,Lalitpur
"Hattigauda, Kathmandu",South,3500000.0,per_aana,13.0,Black Topped,,Kathmandu
"Tikathali, Lalitpur",West,6000000.0,per_aana,24.0,Paved,,Lalitpur
"Bhandari Marg, Lalitpur",South-East,3800000.0,per_aana,13.0,Paved,5.2,Lalitpur
"Gothatar, Kathmandu",North-East,4500000.0,per_aana,13.0,Paved,,Kathmandu
"Lubhu, Lalitpur",West,2800000.0,per_aana,13.0,Gravelled,4.2,Lalitpur
"Ochu Height, Lalitpur",South-East,5300000.0,per_aana,13.0,Dhalan,,Lalitpur
"Sitapaila, Kathmandu",West,2800000.0,per_aana,13.0,Soil Stabilized,,Kathmandu
"Sipadol, Bhaktapur",East,3500000.0,per_aana,20.0,Black Topped,4.0,Bhaktapur
"Sipadol, Bhaktapur",South-East,,,20.0,Black Topped,6.3,Bhaktapur
"Balambu, Kathmandu",East,3000000.0,per_aana,26.0,Soil Stabilized,,Kathmandu
"Syuchatar, Kathmandu",South,1600000.0,per_aana,4.0,Soil Stabilized,,Kathmandu
"Ramkot, Kathmandu",South,2800000.0,per_aana,14.0,Soil Stabilized,,Kathmandu
"Ranibari, Kathmandu",North-East,5500000.0,per_aana,,,,Kathmandu
"Pepsicola, Kathmandu",South,6000000.0,per_aana,20.0,Black Topped,2.2,Kathmandu
"Pepsicola, Kathmandu",South,7000000.0,per_aana,20.0,Black Topped,3.2,Kathmandu
"Pepsicola, Kathmandu",West,5800000.0,per_aana,13.0,Black Topped,,Kathmandu
