category,location_raw,district,neighborhood,road_type,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot,road_width_feet,is_wide_road,facing,source,price_segment
land,"Hattiban, Mahalaxmi-4, Lalitpur",Lalitpur,Hattiban,High Access,50.0,4000000.0,220000000.0,False,False,False,True,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Changunarayan-1, Bhaktapur, Bagmati Pradesh",Bhaktapur,Changunarayan,High Access,6.0,2000000.0,12000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Autism Care Nepal Society, Lalitpur-29, Lalitpur",Lalitpur,High_Zone,High Access,3.75,9500000.0,35625000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Ban Danda Marg, Lalitpur-25, Lalitpur, Bagmati Pradesh",Lalitpur,Mid_Zone,High Access,5.0,5800000.0,29000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Lalitpur Nepal, Mahalaxmi-4, Lalitpur",Lalitpur,Mahalaxmi,Unknown,10.0,650000.0,6500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Nepaltar, Ratna Park - Phutang, Tarakeshwor-11, Kathmandu",Kathmandu,High_Zone,High Access,2.5,7000000.0,17500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Sundar Basti Marga, Budhanilakantha-1, Kathmandu",Kathmandu,Budhanilkantha,High Access,5.0,4700000.0,23500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Taukhel, Godawari-3, Lalitpur",Lalitpur,Taukhel,High Access,6.6875,6200000.0,41462500.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Maharajganj, लाजिम्पाट सडक, Kathmandu-3, Kathmandu, Bagmati Pradesh",Kathmandu,High_Zone,Mid Access,4.0,8000000.0,32000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Euro Kids, कान्ति लोकपथ, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Euro Kids,Mid Access,3.0,6000000.0,18000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Nakkhu Jal Binayak Marg, Lalitpur-18, Lalitpur, Bagmati Pradesh",Lalitpur,High_Zone,High Access,16.75,6700000.0,112225000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"kapurchowk road, Budhanilakantha-4, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,High Access,4.0,6500000.0,26000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,Mid Access,10.0,5000000.0,50000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Chobhar Dry Port, Kirtipur-6, Kathmandu",Kathmandu,Chobhar Dry Port,High Access,4.0,3400000.0,13600000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Koteshwor, Kathmandu-32, Kathmandu",Kathmandu,Koteshwor,Unknown,12.0,8000000.0,96000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
