url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-8123,lalpurja,house,Lalitpur,8123,Property Details,1 Crore 85 Lakh,Residential,North-East,2023,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",1 Crore 85 Lakh,Sale,3.75 Aana,,13 Feet,,2025 August 20,323,Mahalaxmi,04,4km,Tikathali | Pawan Prakriti School,400m,4km,100m,200m,100m,100m,100m,100m,300m,9km,12km,100m,100m,100m,200m,500m,Tikathali,2,1,1,1,1,1
https://lalpurjanepal.com.np/properties/land-for-sale-at-sinchahiti-lalitpur-8112,lalpurja,house,Lalitpur,8112,Property Details,9 Crore 90 Lakh,Commercial,West,,Blacktopped,Yes,,"Lalitpur, Lalitpur",9 Crore 90 Lakh,Sale,11 Aana,,24 Feet,F 33 Feet,2025 August 19,156,Lalitpur,06,100m,Sinchahiti | ICAN College,300m,8km,100m,400m,200m,260m,200m,20m,300m,12km,16km,200m,60m,160m,250m,400m,Lalitpur,,,,,,
https://lalpurjanepal.com.np/properties/house-for-sale-at-sital-height-lalitpur-8101,lalpurja,house,Lalitpur,8101,Property Details,3 Crore,Residential,East,2073,Paved,Yes,Unfurnished,"Lalitpur, Imadol",3 Crore,Sale,4.31 Aana,1026.75 square-feet,13 Feet,F 42 Feet,2025 August 19,336,Mahalaxmi,06,2km,Imadol | Sital Height,350m,8km,200m,700m,150m,250m,350m,40m,550m,12km,16km,300m,200m,300m,500m,450m,Imadol,6,2,4,4,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-tinkune-8080,lalpurja,house,Lalitpur,8080,Property Details,3 Crore,Residential,South,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",3 Crore,Sale,3 Aana,941.18 square-feet,13 Feet,F 26 Feet,2025 August 18,197,Mahalaxmi,05,3km,Tikathali | Tinkune,400m,8km,250m,600m,200m,250m,200m,20m,480m,12km,16km,200m,100m,250m,550m,250m,Tikathali,6,2,5,2,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-buddha-party-palace-8077,lalpurja,house,Lalitpur,8077,Property Details,9 Crore 75 Lakh,Residential,West,2082,Blacktopped,Yes,Full Furnished,"Lalitpur, Tikathali",9 Crore 75 Lakh,Sale,9.25 Aana,1369 square-feet,16 Feet,F 81 Feet,2025 August 18,216,Mahalaxmi,05,2km,Tikathali | Buddha Party Palace,200m,8km,100m,12km,100m,350m,200m,100m,460m,12km,16km,250m,100m,150m,500m,350m,Tikathali,6,2,7,2,5,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-8070,lalpurja,house,Lalitpur,8070,Property Details,2 Crore 80 Lakh,Residential,South-West,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 80 Lakh,Sale,3.5 Aana,1026.75 square-feet,13 Feet,F 36 Feet,2025 August 15,248,Mahalaxmi,05,3km,Tikathali | Bhandarigaun,600m,8km,400m,350m,300m,400m,350m,200m,700m,12km,16km,200m,200m,270m,400m,360m,Tikathali,7,2,5,2,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-lalitpur-sunakothi-8064,lalpurja,house,Lalitpur,8064,Property Details,4 Crore 20 Lakh,Residential,East,2082,Gravelled,Yes,Semi Furnished,"Lalitpur, Sunakothi",4 Crore 20 Lakh,Sale,4.62 Aana,2802 square-feet,20 Feet,F 29 Feet,2025 August 15,296,Lalitpur,26,2.9km,Sunakothi | Delight School,1.7km,9.3km,700m,2.8km,550m,1.7km,1.1km,700m,3.2km,11km,14km,1.1km,800m,400m,500m,1.1km,Sunakothi,7,2,6,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-lubhu-mahalaxmi-campus-8026,lalpurja,house,Lalitpur,8026,Property Details,1 Crore 20 Lakh,Residential,South,2079,Paved,Yes,,"Lalitpur, Lubhu",1 Crore 20 Lakh,Sale,2.75 Aana,770.06 square-feet,13 Feet,F 28 Feet,2025 August 13,254,Mahalaxmi,08,5km,Lubhu | Mahalaxmi Campus,450m,10km,360m,780m,150m,450m,300m,200m,450m,14km,18km,250m,150m,200m,400m,550m,Lubhu,3,1,1,,,1
https://lalpurjanepal.com.np/properties/house-for-sale-at-lubhu-mahalaxmi-campus-8025,lalpurja,house,Lalitpur,8025,Property Details,2 Crore,Residential,South,2082,Paved,Yes,,"Lalitpur, Lubhu",2 Crore,Sale,2.91 Aana,855.62 square-feet,13 Feet,F 24 Feet,2025 August 13,201,Mahalaxmi,08,5km,Lubhu | Mahalaxmi Campus,700m,10km,300m,750m,300m,480m,350m,150m,450m,14km,18km,350m,150m,200m,450m,360m,Lubhu,6,2,4,3,2,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-8003,lalpurja,house,Lalitpur,8003,Property Details,1 Crore 60 Lakh,Residential,South,2078,Paved,Yes,,"Lalitpur, Tikathali",1 Crore 60 Lakh,Sale,2.93 Aana,718.72 square-feet,13 Feet,F 29 Feet,2025 August 12,322,Mahalaxmi,05,3km,Tikathali | Bhandarigaun,400m,8km,200m,300m,300m,450m,200m,100m,500m,12km,16km,260m,100m,250m,500m,340m,Tikathali,2,1,1,1,1,1
