district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m,is_corner_plot,neighborhood_encoded,municipality_encoded,log_land,log_built,floor_area_ratio,urban_centrality,amenity_access_score,house_size_score,comm_road_premium,neighborhood_x_district,municipality_x_ward,age_condition_score,ring_road_proximity
1,1,2,1,1,Budhanilkantha,13.0,Bhangal,34500000.0,4.06,1620.06,0.0,13.0,300.0,8000.0,200.0,880.3,290.0,210.0,100.0,290.0,7500.0,7000.0,1,17.308560783984085,17.57755518264029,1.6213664832993742,7.39083553523944,1.1659008229371697,0.05605026111447288,0.7567242865942942,11.98325302041522,13.0,17.308560783984085,228.50821737432375,2.0,0.11294574819586044
1,1,6,0,2,Kathmandu,5.0,Naxal,58000000.0,7.75,1200.0,37.0,21.0,2000.0,5000.0,470.0,1000.0,1000.0,1500.0,500.0,790.0,4500.0,2500.0,1,17.991441377889252,17.620749917248713,2.169053700369523,7.0909098220799835,0.45241405311152477,0.06119262304200936,0.5996313160105463,15.380564188569185,21.0,17.991441377889252,88.10374958624357,0.07894736842105263,0.12780457668621606
1,1,0,0,2,Kathmandu,13.0,Tahachal,21000000.0,2.75,941.18,36.0,11.0,700.0,10000.0,274.0,3000.0,900.0,4600.0,100.0,864.0,10000.0,1000.0,0,17.72537850631592,17.620749917248713,1.3217558399823195,6.848196339124917,0.9999920313433827,0.06203783693443606,0.6943136775283034,9.0516435045839,11.0,17.72537850631592,229.06974892423327,0.08108108108108109,0.1447438839476537
1,1,6,0,1,Budhanilkantha,13.0,Budhanilkantha,29500000.0,4.0,1369.0,3.0,13.0,50.0,6000.0,50.0,200.0,250.0,400.0,200.0,300.0,5000.0,350.0,1,17.65948418097955,17.57755518264029,1.6094379124341003,7.222566018822171,1.0,0.0686791129098372,0.8782118589669281,11.624271575750626,13.0,17.65948418097955,228.50821737432375,0.5,0.170625571701647
1,1,0,0,0,Kathmandu,9.0,Battisputali,69000000.0,4.75,1369.0,46.0,19.0,2500.0,3000.0,210.0,3000.0,500.0,1500.0,500.0,720.0,3000.0,500.0,0,17.409534447603104,17.620749917248713,1.749199854809259,7.222566018822171,0.8421052631578947,0.07030713769727799,0.6363745204725223,12.63371143147403,19.0,17.409534447603104,158.5867492552384,0.02127659574468085,0.1608594760130434
1,1,4,0,2,Kathmandu,7.0,Samakhusi,55100000.0,5.0,1369.0,8.0,12.0,500.0,7000.0,100.0,1000.0,50.0,300.4,50.0,500.0,6000.0,500.0,0,17.670450106424845,17.620749917248713,1.791759469228055,7.222566018822171,0.8,0.06635517611170706,0.8862080976366596,12.9411010563494,12.0,17.670450106424845,123.34524942074098,0.3333333333333333,0.1608594760130434
1,1,7,0,0,Nagarjun,10.0,Syuchatar,35000000.0,4.5,1026.75,18.0,13.0,1500.0,13000.0,480.0,3000.0,250.0,2000.0,1500.0,780.0,14000.0,1500.0,0,17.293868843278084,17.31717635288628,1.7047480922384253,6.935127225777988,0.6666666666666666,0.05957108205599624,0.6163536293075276,11.822644907575787,13.0,17.293868843278084,173.17176352886278,0.05263157894736842,0.13672620632778687
1,1,4,0,0,Kathmandu,13.0,Tahachal,50000000.0,4.5,1540.12,19.0,10.0,200.0,10000.0,220.0,5000.0,300.0,700.0,1000.0,454.0,10000.0,1000.0,0,17.72537850631592,17.620749917248713,1.7047480922384253,7.340264703800292,0.999996753510267,0.06203783693443606,0.693773786844303,12.513302250328598,10.0,17.72537850631592,229.06974892423327,0.05,0.1447438839476537
1,1,2,1,0,Budhanilkantha,1.0,Budhanilkantha,107500000.0,9.5,1711.25,3.0,13.0,2000.0,10000.0,200.0,5000.0,200.0,200.0,200.0,200.0,8000.0,4000.0,1,17.65948418097955,17.57755518264029,2.3513752571634776,7.445563574078014,0.5263157894736842,0.057127383861774274,0.6972396662407654,17.507313963724712,13.0,17.65948418097955,17.57755518264029,0.25,0.12056473085830295
1,0,1,0,2,Kathmandu,22.0,New Road,35000000.0,1.0,342.25,10.0,12.0,1000.0,6000.0,278.0,3500.0,500.0,400.0,600.0,314.0,6500.0,600.0,0,18.377330727630756,17.620749917248713,0.6931471805599453,5.83845904464808,1.0,0.06623272602628824,0.6394693422097963,4.046911425612529,0.0,18.377330727630756,387.65649817947167,0.2727272727272727,0.1562843108887373
1,1,4,0,2,Kathmandu,4.0,Dhumbarahi,29000000.0,3.5,1026.75,34.0,11.0,1000.0,2000.0,90.0,1230.0,100.0,290.0,100.0,324.0,2000.0,1730.0,0,17.544796190561573,17.620749917248713,1.5040773967762742,6.935127225777988,0.8571428571428571,0.06641051295155072,0.799789255942748,10.43096810406042,11.0,17.544796190561573,70.48299966899485,0.08571428571428572,0.13411199553356204
1,1,6,0,2,Kathmandu,6.0,Guheshwori,30000000.0,4.0,1026.75,14.0,12.0,1000.0,3000.0,90.0,1230.0,100.0,400.0,100.0,324.0,1000.0,1270.0,1,17.003335528290112,17.620749917248713,1.6094379124341003,6.935127225777988,0.75,0.06598804509780261,0.799789255942748,11.161656684721018,12.0,17.003335528290112,105.72449950349227,0.2,0.1399078989146439
