category,neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
land,Chobhar,Kathmandu,"Chobhar, Kathmandu",3000000.0,,,12.0,Paved,East,False,False,False,False,False
land,Setipakha,Lalitpur,"Setipakha, Lalitpur",,5.3,,23.0,Paved,East,False,False,False,False,False
land,Suryabinayak,Bhaktapur,"Suryabinayak, Bhaktapur",1113000.0,,,,,South,False,False,False,False,False
land,Manamaiju,Kathmandu,"Manamaiju, Kathmandu",4500000.0,,,,,East,False,False,False,False,False
land,Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",878048.7804878049,4.1,3600000.0,13.0,Paved,South,False,False,False,False,False
land,Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",4200000.0,4.3,18060000.0,13.0,Paved,South,False,False,False,False,False
land,Machhegaun,Kathmandu,"Machhegaun , Kathmandu",1900000.0,,,13.0,Paved,South-East,False,False,False,False,False
land,Bafal,Kathmandu,"Bafal, Kathmandu",5500000.0,,,13.0,Paved,South-East,False,False,False,False,False
land,Rudreshwor,Kathmandu,"Rudreshwor, Kathmandu",5000000.0,,,20.0,Pitched,West,False,False,False,False,False
land,Bafal,Kathmandu,"Bafal, Kathmandu",5500000.0,,,13.0,Paved,West,False,False,False,False,False
land,Kalanki,Kathmandu,"Kalanki, Kathmandu",5000000.0,,,13.0,Paved,West,False,False,False,False,False
land,Dhumbarahi,Kathmandu,"Dhumbarahi, Kathmandu",6700000.0,,,13.0,Pitched,East,False,False,False,False,False
land,Tokha,Kathmandu,"Tokha, Kathmandu",3500000.0,,,20.0,Pitched,South,False,False,False,False,False
land,Dachhila,Dhading,"Dachhila, Dhading",256250.0,,,22.0,Pitched,East,False,False,False,True,False
land,Sitapaila,Kathmandu,"Sitapaila, Kathmandu",865384.6153846154,5.2,4500000.0,21.0,Pitched,North,False,False,False,False,False
land,Budhanilkantha,Kathmandu,"Budhanilkantha, Kathmandu",3800000.0,13.1,49780000.0,16.0,Pitched,East,False,False,False,False,False
land,Lubhu,Lalitpur,"Lubhu, Lalitpur",3750000.0,,,13.0,Pitched,North,False,False,False,False,False
land,Deuwa Chowk,Kathmandu,"Deuwa Chowk, Kathmandu",,,,13.0,Paved,South-East,False,False,False,False,False
land,Deuwa Chowk,Kathmandu,"Deuwa Chowk, Kathmandu",6000000.0,,,13.0,Pitched,South-East,False,False,False,False,False
land,Tikathali,Lalitpur,"Tikathali, Lalitpur",2700000.0,,,13.0,Gravel,East,False,False,False,False,False
land,Sunakothi,Lalitpur,"Sunakothi, Lalitpur",4500000.0,,,14.0,Paved,East,False,False,False,False,False
land,Setipakha,Lalitpur,"Setipakha, Lalitpur",5500000.0,,,20.0,Paved,South-East,False,False,False,False,False
land,Sunakothi,Lalitpur,"Sunakothi, Lalitpur",4500000.0,,,12.0,Gravel,South-East,False,False,False,False,False
land,Chunikhel,Kathmandu,"Chunikhel, Kathmandu",3000000.0,,,20.0,Pitched,South,False,False,False,False,False
land,Sunakothi,Lalitpur,"Sunakothi, Lalitpur",5000000.0,,,20.0,Paved,South-East,False,False,False,False,False
land,Sunakothi,Lalitpur,"Sunakothi, Lalitpur",4500000.0,,,20.0,Paved,North-East,False,False,False,False,False
land,Suryadarshan Height,Kathmandu,"Suryadarshan Height, Kathmandu",4000000.0,3.3,13200000.0,13.0,Paved,North-East,False,False,False,False,False
land,Kakani,Nuwakot,"Kakani, Nuwakot",,,,26.0,Gravel,North,False,False,False,False,False
land,Sitapaila,Kathmandu,"Sitapaila, Kathmandu",2500000.0,5.1,12750000.0,20.0,Paved,North-West,False,False,False,False,False
land,Dharmasthali,Kathmandu,"Dharmasthali, Kathmandu",3500000.0,4.1,14349999.999999998,20.0,Gravel,South,False,False,False,False,False
land,Kavresthali,Kathmandu,"Kavresthali, Kathmandu",2700000.0,,,13.0,Gravel,South-East,False,False,False,False,False
land,Jitpurphedi,Kathmandu,"Jitpurphedi, Kathmandu",2350000.0,4.1,9635000.0,20.0,Gravel,North,False,False,False,False,False
land,Jarankhu,Kathmandu,"Jarankhu, Kathmandu",3300000.0,,,12.0,Gravel,East,False,False,False,False,False
land,Pasikot,Kathmandu,"Pasikot, Kathmandu",4500000.0,,,22.0,Pitched,West,False,False,False,False,False
land,Thankot,Kathmandu,"Thankot, Kathmandu",3350000.0,,,13.0,Paved,South,False,False,False,False,False
land,Bungamati,Lalitpur,"Bungamati, Lalitpur",2500000.0,3.2,8000000.0,20.0,Gravel,East,False,False,False,False,False
land,Bhangal,Kathmandu,"Bhangal , Kathmandu",4500000.0,,,20.0,Gravel,East,False,False,False,False,False
land,Imadol,Lalitpur,"Imadol, Lalitpur",4300000.0,,,13.0,Gravel,West,False,False,False,False,False
land,Damaitar,Lalitpur,"Damaitar, Lalitpur",,,,13.0,Gravel,North,False,False,False,False,False
land,Rudreshwor,Kathmandu,"Rudreshwor, Kathmandu",6000000.0,,,20.0,Pitched,North-East,False,False,False,False,False
land,Sanepa,Lalitpur,"Sanepa, Lalitpur",9000000.0,4.0,36000000.0,20.0,Pitched,East,False,False,False,False,False
land,Kalanki,Kathmandu,"Kalanki, Kathmandu",8000000.0,4.2,33600000.0,13.0,Paved,West,False,False,False,False,False
land,Kalanki,Kathmandu,"Kalanki, Kathmandu",7000000.0,3.1,21700000.0,13.0,Paved,South-East,False,False,False,False,False
land,Tikathali,Lalitpur,"Tikathali, Lalitpur",3800000.0,4.2,15960000.0,,,South-East,False,False,False,False,False
land,Pukhulachhi,Kathmandu,"Pukhulachhi, Kathmandu",2250000.0,,,12.0,Paved,East,False,False,False,False,False
