title,location_raw,floors,price_npr,land_size_aana,buildup_area_sqft,road_width_feet,facing,built_year_bs,built_year_ad,house_age,parking_cars,parking_bikes,bedrooms,bathrooms,amenities,district
"Residential house for sale in Dhapakhel, Lalitpur","Dhapakhel, Lalitpur",3.5,40000000.0,53.92,,12.0,East,2072.0,2015.0,10.0,,,7.0,5.0,"Power Backup, Drinking Water, Bathroom, Drainage, Parking",Lalitpur
"Residential house on sale at Budhanilkantha, Kathmandu","Budhanilkantha, Kathmandu",1.0,15500000.0,3.1,,14.0,South,2069.0,2012.0,13.0,,,,,"Power Backup, Drinking Water, Bathroom, Drainage",Kathmandu
"Beautiful house on sale near Karuna Hospital, Kapan","Kapan, Kathmandu",2.5,28500000.0,4.2,,13.0,East,2069.0,2012.0,13.0,,,6.0,5.0,"Drainage, Bathroom, Drinking Water, Parking, Marbel, Earthquake Resistant, Internet",Kathmandu
"Newly built bungalow on sale at Tenzing Chowk, Kapan","Tenzing Chowk, Kathmandu",2.5,65500000.0,8.2,,12.0,South-East,2079.0,2022.0,3.0,,,6.0,4.0,"Drainage, Bathroom, Drinking Water, Parking, Marbel, Earthquake Resistant",Kathmandu
"Attractive house on sale in Magargaun, Lalitpur","Bhaisepati, Lalitpur",2.5,32000000.0,3.3,2200.0,16.5,North-East,2076.0,2019.0,6.0,,,4.0,4.0,"Drinking Water, Bathroom, Drainage, Parking",Lalitpur
"Bungalow for sale at Siddhartha Colony, Budhanilkantha","Siddhartha Colony, Kathmandu",3.0,125000000.0,8.3,,14.0,South,2076.0,2019.0,6.0,,,5.0,5.0,"Drainage, Drinking Water, Bathroom, Parking, Garden, Earthquake Resistant, Marbel",Kathmandu
"Bungalow for rent at Panipokhari Heights Homes, Panipokhari","Panipokhari, Kathmandu",3.0,150000.0,4.0,,20.0,South,2070.0,2013.0,12.0,,,2.0,3.0,"Drinking Water, Bathroom, Drainage, Internet, Parking, Garden, Power Backup, AirCon, Marbel, Washing Machine",Kathmandu
Bungalow for rent at Panipokhari Heights Homes,"Panipokhari, Kathmandu",3.5,200000.0,4.2,,20.0,South,2072.0,2015.0,10.0,,,4.0,4.0,"Drinking Water, Bathroom, Drainage, Parking, Fridge, Internet, Power Backup, Marbel, AirCon, Washing Machine",Kathmandu
"Attractive house on sale at Grande, Dhapasi","Dhapasi, Kathmandu",3.5,36000000.0,4.1,,16.0,South-East,2072.0,2015.0,10.0,,,7.0,7.0,"Power Backup, Drinking Water, Bathroom, Drainage, Parking",Kathmandu
"House on sale at Nardevi, Kathmandu","Nardevi, Kathmandu",4.5,18000000.0,1.1,,5.0,East,2069.0,2012.0,13.0,,,7.0,,"Drainage, Bathroom, Drinking Water, Power Backup",Kathmandu
Semi commercial house on sale at Budhanilkantha,"Budhanilkantha, Kathmandu",2.0,18000000.0,3.0,,16.0,West,2079.0,2022.0,3.0,,,,,"Drainage, Bathroom, Drinking Water, Power Backup",Kathmandu
"House for sale in Paiyutar, Kapan","Paiyuntar, Kathmandu",4.0,18500000.0,3.1,,10.0,West,2070.0,2013.0,12.0,,,7.0,5.0,"Drainage, Bathroom, Drinking Water, Marbel",Kathmandu
"Residential house on sale at Maitidevi, Kathmandu","Maitidevi, Kathmandu",3.5,100000000.0,14.0,5000.0,13.0,South,2058.0,2001.0,24.0,,,8.0,6.0,"Drainage, Bathroom, Drinking Water, Power Backup",Kathmandu
Under construction house on sale at Dhapakhel ,"Dhapakhel, Lalitpur",2.5,27000000.0,3.0,,20.0,North-East,2072.0,2015.0,10.0,,,5.0,4.0,"Power Backup, Internet, Drinking Water, Drainage, Bathroom, Parking",Lalitpur
"House on sale in Changathali, Lalitpur","Changathali, Lalitpur",2.0,28500000.0,4.3,,13.0,South,2069.0,2012.0,13.0,,,4.0,2.0,"Power Backup, Drinking Water, Bathroom, Drainage, Parking, Garden",Lalitpur
 Commercial house on rent in Naxal,"Naxal, Kathmandu",2.0,1100000.0,35.0,5000.0,,,2069.0,2012.0,13.0,,,5.0,2.0,"Bathroom, Drainage, Drinking Water, Power Backup, Garden, Parking",Kathmandu
"Bungalow for sale near Kist Hospital, Imadol","Imadol, Lalitpur",2.5,33000000.0,4.0,,13.0,South-East,2079.0,2022.0,3.0,,,5.0,4.0,"Marbel, Drainage, Bathroom, Parking",Lalitpur
Beautiful house on sale at Imadol,"Imadol, Lalitpur",3.5,36500000.0,3.3,,20.0,West,2079.0,2022.0,3.0,,,6.0,4.0,"Bathroom, Drainage, Parking, Marbel",Lalitpur
Under construction house is on sale at Imadol,"Imadol, Lalitpur",2.5,36500000.0,4.2,,13.0,East,2076.0,2019.0,6.0,,,5.0,5.0,"Drainage, Bathroom, Parking, Marbel, Earthquake Resistant",Lalitpur
" Full furnished house for sale at Vinayak Colony, Bhaisepati","Vinayak Colony, Lalitpur",2.5,51000000.0,4.3,,20.0,West,2073.0,2016.0,9.0,,,4.0,2.0,"Power Backup, Drinking Water, Bathroom, Drainage, Parking",Lalitpur
Brand new bungalow on sale in Balkot,"Balkot, Bhaktapur",2.5,25000000.0,3.2,1991.0,13.0,South,2076.0,2019.0,6.0,,,4.0,5.0,"Drainage, Bathroom, Parking, Power Backup, Marbel",Bhaktapur
