title,location_raw,floors,price_npr,land_size_aana,buildup_area_sqft,road_width_feet,facing,built_year_bs,built_year_ad,house_age,parking_cars,parking_bikes,bedrooms,bathrooms,amenities,district
 House for Sale,"Imadol, Lalitpur",3.0,29000000.0,4.0,,12.0,West,2076.0,2019.0,6.0,1.0,2.0,5.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Terrace, Modular Kitchen, Closet, Dining Room, Pantry, Bed Room",Lalitpur
 House for Sale,"Satdobato, Lalitpur",4.5,47500000.0,3.0,,10.0,West,2076.0,2019.0,6.0,2.0,2.0,5.0,6.0,"Earthquake Resistant, Parquet, Drinking Water, Parking, Modular Kitchen, Closet, Bed Room, Pantry, Dining Room, Bathroom, Store Room",Lalitpur
4 BHK House for Sale,"Imadol, Lalitpur",2.5,19900000.0,2.3,,10.0,West,2060.0,2003.0,22.0,1.0,3.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Balcony, Closet, Modular Kitchen, MiCrowave, Bed Room, Dining Room",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",2.5,40000000.0,7.0,,12.0,North-West,2059.0,2002.0,23.0,4.0,4.0,4.0,3.0,"Earthquake Resistant, Marbel, Parquet, Balcony, Parking, Drinking Water, Garden, Modular Kitchen, Internet, Closet, MiCrowave",Lalitpur
 House for Rent,"Maharajgunj, Kathmandu",2.0,12000000.0,6.0,,20.0,South,2071.0,2014.0,11.0,4.0,5.0,4.0,4.0,"Earthquake Resistant, Parquet, Parking, Drinking Water, Closet, Modular Kitchen, Bed Room, Bathroom, Living Room, Guest Room, Prayer Room",Kathmandu
Bungalow House for Rent,"Bhaisepati, Lalitpur",2.5,27000000.0,6.0,,12.0,South-East,2076.0,2019.0,6.0,4.0,5.0,6.0,5.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Power Backup, Garden, Parking, Drinking Water, Balcony, Terrace, Gym",Lalitpur
3 BHK House for Sale,"Bhaisepati, Lalitpur",2.5,33000000.0,3.2,,13.0,North-West,2074.0,2017.0,8.0,4.0,5.0,4.0,3.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Water Purifier, Fridge, Sofa, Closet, Internet, MiCrowave",Lalitpur
 House for Sale,"Budhanilkantha, Kathmandu",2.5,40000000.0,4.3,,14.0,North-East,2065.0,2008.0,17.0,1.0,2.0,5.0,4.0,"Marbel, Parquet, Earthquake Resistant, Parking, Drinking Water, Balcony, Terrace, Modular Kitchen, Closet, Bed Room, Dining Room",Kathmandu
 House for Sale,"Gyaneshwor, Kathmandu",5.5,45000000.0,2.2,,10.0,West,2066.0,2009.0,16.0,1.0,3.0,13.0,5.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Terrace, Modular Kitchen, Power Backup, Closet, Dining Room, Pantry",Kathmandu
 House for Sale,"Bhaisepati, Lalitpur",3.0,30000000.0,5.0,,12.0,East,2075.0,2018.0,7.0,2.0,2.0,5.0,5.0,"Earthquake Resistant, Marbel, Parquet, Terrace, Power Backup, Drainage, Drinking Water, Parking, Balcony, Sofa, Fridge",Lalitpur
 House for Sale,"Imadol, Lalitpur",3.0,49900000.0,5.2,,13.0,North-East,2079.0,2022.0,3.0,,,6.0,5.0,"Earthquake Resistant, Marbel, Parquet, Balcony, Drinking Water, Parking, Terrace, Power Backup, Internet, Closet, MiCrowave",Lalitpur
 House for Sale,"Kharibot, Kathmandu",2.5,24500000.0,3.0,,16.0,South,2070.0,2013.0,12.0,,2.0,4.0,2.0,"Marbel, Earthquake Resistant, Parquet, Drainage, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room, Bed Room",Kathmandu
Bungalow House for Sale,"Bafal, Kathmandu",4.0,25000000.0,4.0,,13.0,South-East,2078.0,2021.0,4.0,,3.0,4.0,5.0,"Marbel, Earthquake Resistant, Parquet, Parking, Drinking Water, Balcony, Terrace, Modular Kitchen, Bed Room, Dining Room, Pantry",Kathmandu
4 BHK House for Sale,"Khumaltar, Lalitpur",2.5,42500000.0,4.0,,20.0,South-East,2078.0,2021.0,4.0,,,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Terrace, Parking, Balcony, Drinking Water, Fridge, Sofa, AirCon, TV",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",2.5,65000000.0,6.2,,12.0,South-East,2077.0,2020.0,5.0,3.0,,4.0,5.0,"Marbel, Parquet, Earthquake Resistant, Terrace, Parking, Drinking Water, Balcony, Bed Room, Closet, Internet, AirCon",Lalitpur
4 BHK House for Sale,"Bhaisepati, Lalitpur",2.5,36000000.0,4.2,,13.0,South-West,2077.0,2020.0,5.0,1.0,2.0,4.0,5.0,"Parquet, Marbel, Earthquake Resistant, Balcony, Terrace, Parking, Drinking Water, Modular Kitchen, MiCrowave, Closet, Bed Room",Lalitpur
 House for Sale,"Khumaltar, Lalitpur",3.5,58000000.0,5.0,3600.0,14.0,North-West,2078.0,2021.0,4.0,1.0,1.0,6.0,6.0,"Marbel, Earthquake Resistant, Parquet, Drinking Water, Parking, Bathtub, Balcony, Terrace, Sofa, AirCon, Washing Machine",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",3.5,25000000.0,3.2,,12.0,South-East,2078.0,2021.0,4.0,3.0,3.0,5.0,7.0,"Earthquake Resistant, Terrace, Marbel, Parquet, Drainage, CC Camera, Parking, Power Backup, Drinking Water, Balcony, Fridge",Lalitpur
4 BHK House for Sale,"Bhaisepati, Lalitpur",3.0,48000000.0,5.2,,16.0,South-East,2077.0,2020.0,5.0,2.0,2.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Balcony, Drinking Water, Parking, Terrace, Bed Room, Dining Room, Pantry, Master Bedroom",Lalitpur
4 BHK House for Sale,"Tahachal, Kathmandu",3.0,66500000.0,4.1,,20.0,North,2077.0,2020.0,5.0,2.0,3.0,4.0,5.0,"Earthquake Resistant, Drinking Water, Marbel, Balcony, Parquet, Parking, Terrace, Sofa, Fridge, Iron, Closet",Kathmandu
Bungalow House for Sale,"Dhapasi, Kathmandu",2.5,133000000.0,9.6,,14.0,North-East,2077.0,2020.0,5.0,2.0,3.0,5.0,5.0,"Earthquake Resistant, Marbel, Parquet, Parking, Garden, Power Backup, Drainage, Basement, Bathtub, Balcony, Drinking Water",Kathmandu
Villa House for Sale,"Thecho, Lalitpur",3.5,85000000.0,7.0,,12.0,East,2078.0,2021.0,4.0,3.0,3.0,5.0,7.0,"Earthquake Resistant, Drinking Water, Parquet, Marbel, Parking, Balcony, Terrace, MiCrowave, Power Backup, Iron, Sofa",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",2.5,55000000.0,5.0,,12.0,North-East,2078.0,2021.0,4.0,2.0,2.0,4.0,5.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Modular Kitchen, MiCrowave, Dining Room, Guest Room, Modular Kitchen, Bed Room",Lalitpur
 House for Sale,"Bhaisepati, Lalitpur",2.5,47500000.0,3.1,,20.0,South,2075.0,2018.0,7.0,1.0,1.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drainage, Power Backup, Drinking Water, Balcony, Terrace, Fridge, Sofa",Lalitpur
 House for Sale,"Imadol, Lalitpur",3.0,29500000.0,3.2,,13.0,South,2075.0,2018.0,7.0,1.0,3.0,5.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Terrace, Drinking Water, Modular Kitchen, MiCrowave, Dining Room, Bed Room, Bathroom",Lalitpur
 House for Sale,"Sanepa, Lalitpur",2.5,63500000.0,5.0,,10.0,North-West,2078.0,2021.0,4.0,,,5.0,3.0,"Earthquake Resistant, Drinking Water, Marbel, Parquet, Terrace, Parking, Modular Kitchen, MiCrowave, Bed Room, Dining Room, Guest Room",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",2.5,85000000.0,7.0,,13.0,West,2075.0,2018.0,7.0,3.0,2.0,5.0,6.0,"Earthquake Resistant, Drinking Water, Marbel, Balcony, Parquet, Parking, Terrace, Modular Kitchen, Dining Room, Guest Room, Modular Kitchen",Lalitpur
Bungalow House for Sale,"Maharajgunj, Kathmandu",2.5,105000000.0,11.0,,12.0,South,2078.0,2021.0,4.0,,,4.0,4.0,"Earthquake Resistant, Drinking Water, Balcony, Marbel, Parquet, Drainage, Parking, Garden, Power Backup, Terrace, Fridge",Kathmandu
4 BHK House for Sale,"Bhaisepati, Lalitpur",2.5,64000000.0,7.0,,26.0,East,2075.0,2018.0,7.0,3.0,,4.0,4.0,"Earthquake Resistant, Parquet, Marbel, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room",Lalitpur
3 BHK House for Sale,"Sunakothi, Lalitpur",2.5,35000000.0,4.0,,20.0,North,2080.0,2023.0,2.0,,,3.0,4.0,"Earthquake Resistant, Marbel, Drinking Water, Balcony, Parquet, Parking, Dining Room, Bed Room, Bathroom, Living Room, Store Room",Lalitpur
 House for Sale,"Kapan, Kathmandu",2.5,22000000.0,3.0,,16.0,South,2078.0,2021.0,4.0,1.0,2.0,6.0,5.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Drinking Water, Reserve Tank, Terrace, Power Backup, Dining Room, Bed Room",Kathmandu
4 BHK House for Sale,"Dhobighat, Lalitpur",2.5,37500000.0,3.0,,16.0,South,2078.0,2021.0,4.0,,,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Terrace, Drinking Water, Fridge, Sofa, MiCrowave, Modular Kitchen, Closet",Lalitpur
 House for Sale,"Hattiban, Lalitpur",2.0,80000000.0,6.0,,20.0,South,2078.0,2021.0,4.0,,3.0,5.0,4.0,"Earthquake Resistant, Drinking Water, Marbel, Parquet, Parking, Terrace, Balcony, Modular Kitchen, Fridge, Sofa, MiCrowave",Lalitpur
Bungalow House for Sale,"Satdobato, Lalitpur",3.5,55000000.0,4.2,,13.0,South-East,2077.0,2020.0,5.0,,,6.0,7.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Balcony, Terrace, Modular Kitchen, Dining Room, Bed Room, Bathroom",Lalitpur
Bungalow House for Sale,"Bhaisepati, Lalitpur",2.5,55000000.0,3.3,2060.0,13.0,South-West,2075.0,2018.0,7.0,1.0,5.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Terrace, Balcony, Sofa, Iron, Modular Kitchen, Closet",Lalitpur
 House for Sale,"Sanepa, Lalitpur",2.5,77500000.0,9.0,2500.0,20.0,South-West,2078.0,2021.0,4.0,,,5.0,5.0,"Earthquake Resistant, Drinking Water, Marbel, Balcony, Parking, Sofa, Iron, MiCrowave, Modular Kitchen, Closet, Bathroom",Lalitpur
 House for Sale,"Budhanilkantha, Kathmandu",2.5,160000000.0,12.0,3500.0,13.0,North,2074.0,2017.0,8.0,,,7.0,7.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Power Backup, Parking, Garden, Balcony, Terrace, Fridge, Sofa",Kathmandu
 House for Sale,"Imadol, Lalitpur",2.5,31900000.0,4.1,,13.0,South,2078.0,2021.0,4.0,,,5.0,3.0,"Earthquake Resistant, Marbel, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room, Bed Room",Lalitpur
4 BHK House for Sale,"Sitapaila, Kathmandu",2.5,25000000.0,3.0,,13.0,West,2074.0,2017.0,8.0,2.0,5.0,4.0,3.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Drinking Water, Balcony, Terrace, Reserve Tank, Power Backup, Dining Room",Kathmandu
 House for Sale,"Pokhara, Kaski",2.5,120000000.0,11.0,,20.0,West,2080.0,2023.0,2.0,,2.0,4.0,4.0,"Earthquake Resistant, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Dining Room, Bed Room, Bathroom, Living Room, Modular Kitchen",Unknown
Bungalow House for Sale,"Bhaisepati, Lalitpur",2.5,62500000.0,6.4,2870.0,13.0,North-West,2078.0,2021.0,4.0,2.0,3.0,5.0,6.0,"Earthquake Resistant, Drinking Water, Marbel, Terrace, Drainage, Parking, Fridge, Sofa, Water Purifier, MiCrowave, Power Backup",Lalitpur
Bungalow House for Sale,"Budhanilkantha, Kathmandu",2.5,160000000.0,12.0,,12.0,North,2078.0,2021.0,4.0,1.0,,7.0,7.0,"Earthquake Resistant, Marbel, Parquet, Parking, Balcony, Drinking Water, Modular Kitchen, Closet, Internet, Water Purifier, Power Backup",Kathmandu
4 BHK House for Sale,"Hattiban, Lalitpur",2.5,28000000.0,2.2,,12.0,North,2078.0,2021.0,4.0,1.0,2.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Balcony, Terrace, Modular Kitchen, Dining Room, Bed Room, Bathroom",Lalitpur
Bungalow House for Sale,"Imadol, Lalitpur",2.5,59900000.0,7.0,,20.0,East,2078.0,2021.0,4.0,1.0,,,5.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Balcony, Terrace, Fridge, Sofa, TV, MiCrowave",Lalitpur
 House for Sale,"Bhaisepati, Lalitpur",2.5,48000000.0,5.0,,25.0,South,2078.0,2021.0,4.0,2.0,2.0,6.0,4.0,"Parquet, Marbel, Earthquake Resistant, Parking, Drinking Water, Balcony, Terrace, Modular Kitchen, Dining Room, Bed Room, Bathroom",Lalitpur
 House for Sale,"Imadol, Lalitpur",3.0,25000000.0,3.1,,13.0,North,2076.0,2019.0,6.0,1.0,,5.0,3.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Balcony, Terrace, Sofa, Water Purifier, Power Backup, Modular Kitchen",Lalitpur
4 BHK House for Rent,"Sanepa, Lalitpur",2.5,33500000.0,5.0,,19.0,West,2076.0,2019.0,6.0,1.0,2.0,4.0,2.0,"Earthquake Resistant, Drinking Water, Marbel, Parquet, Balcony, Terrace, Parking, Sofa, Fridge, MiCrowave, Iron",Lalitpur
4 BHK House for Rent,"Sanepa, Lalitpur",2.5,35000000.0,5.0,,19.0,North-West,2075.0,2018.0,7.0,1.0,2.0,4.0,3.0,"Marbel, Parquet, Earthquake Resistant, Drinking Water, Terrace, Parking, Fridge, Sofa, MiCrowave, Iron, Power Backup",Lalitpur
4 BHK House for Sale,"Bhaisepati, Lalitpur",2.5,40000000.0,4.0,,18.0,North-East,2076.0,2019.0,6.0,1.0,,4.0,5.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Power Backup, Parking, Drinking Water, Terrace, Balcony, Fridge, Sofa",Lalitpur
Bungalow House for Sale,"Nakhipot, Lalitpur",2.5,60000000.0,7.0,,13.0,East,2076.0,2019.0,6.0,2.0,3.0,5.0,3.0,"Earthquake Resistant, Marbel, Parquet, Power Backup, Parking, Drinking Water, Terrace, Balcony, Sofa, Water Purifier, MiCrowave",Lalitpur
4 BHK House for Sale,"Imadol, Lalitpur",2.5,25000000.0,3.5,,12.0,West,2071.0,2014.0,11.0,1.0,3.0,4.0,4.0,"Earthquake Resistant, Drinking Water, Marbel, Parquet, Parking, Terrace, Modular Kitchen, Iron, MiCrowave, Closet, Sofa",Lalitpur
 House for Sale,"Imadol, Lalitpur",2.0,27000000.0,3.3,,12.0,East,2078.0,2021.0,4.0,3.0,3.0,5.0,4.0,"Earthquake Resistant, Drinking Water, Marbel, Parquet, Parking, Terrace, Balcony, Drainage, MiCrowave, Power Backup, Iron",Lalitpur
Bungalow House for Sale,"Gwarko, Lalitpur",2.5,27500000.0,3.0,,12.0,North,2074.0,2017.0,8.0,1.0,,5.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Terrace, Closet, Modular Kitchen, Bed Room, Dining Room, Guest Room",Lalitpur
 House for Sale,"Budhanilkantha, Kathmandu",2.5,110000000.0,11.0,,16.0,South-East,2077.0,2020.0,5.0,4.0,4.0,5.0,5.0,"Earthquake Resistant, Drinking Water, Marbel, Parquet, Drainage, Power Backup, Parking, Terrace, Balcony, Sofa, Power Backup",Kathmandu
 House for Sale,"Hattiban, Lalitpur",2.5,32500000.0,3.3,,15.0,North-East,2077.0,2020.0,5.0,1.0,,6.0,4.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Terrace, Balcony, Drinking Water, Sofa, MiCrowave, Power Backup",Lalitpur
 House for Sale,"Hattiban, Lalitpur",2.0,28000000.0,3.1,1.0,13.0,South-West,2078.0,2021.0,4.0,1.0,2.0,5.0,4.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Closet, Modular Kitchen, MiCrowave",Lalitpur
 House for Sale,"Imadol, Lalitpur",3.0,31000000.0,3.2,,12.0,West,2078.0,2021.0,4.0,2.0,2.0,6.0,4.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Garden, Parking, Drinking Water, Balcony, Reserve Tank, Power Backup, Modular Kitchen",Lalitpur
4 BHK House for Sale,"Baneshwor, Kathmandu",2.5,40000000.0,5.0,,13.0,South,2077.0,2020.0,5.0,,,4.0,4.0,"Earthquake Resistant, Parquet, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room, Bed Room",Kathmandu
House for Sale,"Tokha, Kathmandu",2.5,35000000.0,6.0,,15.0,North,2075.0,2018.0,7.0,,3.0,3.0,3.0,"Bed Room, Dining Room, Living Room, Bathroom, Fire Place, Terrace, Reserve Tank, Balcony, Drinking Water, Drainage, Parquet",Kathmandu
 House for Sale,"Imadol, Lalitpur",2.0,31500000.0,5.2,,20.0,East,2078.0,2021.0,4.0,1.0,2.0,6.0,5.0,"Earthquake Resistant, Marbel, Parquet, Drinking Water, Modular Kitchen, Dining Room, Bed Room, Bathroom, Living Room, Store Room, Prayer Room",Lalitpur
 House for Sale,"Ochu Height, Lalitpur",2.5,29000000.0,3.2,2700.0,13.0,South,2077.0,2020.0,5.0,1.0,2.0,6.0,6.0,"Drainage, Parking, Earthquake Resistant, Marbel, Parquet, Drinking Water, Modular Kitchen, Dining Room, Bed Room, Bathroom, Living Room",Lalitpur
 House for Sale,"Imadol, Lalitpur",3.0,42500000.0,4.2,,20.0,East,2078.0,2021.0,4.0,2.0,2.0,5.0,4.0,"Earthquake Resistant, Marbel, Parking, Drinking Water, Modular Kitchen, Internet, Dining Room, Bed Room, Bathroom, Store Room, Prayer Room",Lalitpur
4 BHK House for Sale,"Bhaisepati, Lalitpur",2.0,46500000.0,4.0,,12.0,South-East,2074.0,2017.0,8.0,2.0,2.0,4.0,4.0,"Earthquake Resistant, Drainage, Drinking Water, Parking, Parquet, Modular Kitchen, Power Backup, Dining Room, Bed Room, Bathroom, Living Room",Lalitpur
Luxurious Villa  for Sale,"Bhaisepati, Lalitpur",2.5,40000000.0,4.0,,20.0,North,2080.0,2023.0,2.0,2.0,1.0,5.0,4.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Modular Kitchen, Dining Room, Bed Room, Bathroom, Modular Kitchen",Lalitpur
Bungalow House for Sale,"Sanepa, Lalitpur",3.0,59500000.0,5.0,2299.0,16.0,North-East,2078.0,2021.0,4.0,2.0,1.0,6.0,5.0,"Earthquake Resistant, Marbel, Parquet, Parking, Terrace, Balcony, Drinking Water, Sofa, Modular Kitchen, Dining Room, Bed Room",Lalitpur
4 BHK House for Sale,"Nakkhu, Lalitpur",2.5,39000000.0,5.0,,13.0,East,2078.0,2021.0,4.0,2.0,,4.0,4.0,"Earthquake Resistant, Marbel, Parking, Drinking Water, Terrace, Modular Kitchen, Dining Room, Bed Room, Bathroom, Prayer Room, Master Bedroom",Lalitpur
 House for Sale,"Setipakha, Lalitpur",3.0,32000000.0,4.0,,13.0,East,2078.0,2021.0,4.0,1.0,2.0,8.0,3.0,"Earthquake Resistant, Marbel, Garden, Parking, Balcony, Reserve Tank, Water Well, Terrace, Basement, Sofa, Water Purifier",Lalitpur
 House for Sale,"Setipakha, Lalitpur",3.0,32500000.0,4.0,,13.0,East,2077.0,2020.0,5.0,1.0,2.0,8.0,3.0,"Marbel, Earthquake Resistant, Garden, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Water Well, Sofa, Modular Kitchen",Lalitpur
4 BHK House for Sale,"Sunakothi, Lalitpur",2.5,51500000.0,7.1,,20.0,South,2074.0,2017.0,8.0,1.0,3.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Garden, Parking, Reserve Tank, Drinking Water, Terrace, Power Backup, Dining Room",Lalitpur
 House for Sale,"Kalanki, Kathmandu",3.5,35000000.0,4.0,,10.0,South,2075.0,2018.0,7.0,1.0,5.0,8.0,6.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room, Bathroom",Kathmandu
Bungalow House for Sale,"Imadol, Lalitpur",2.5,32500000.0,4.3,2600.0,20.0,East,2078.0,2021.0,4.0,1.0,3.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Power Backup, Garden, Parking, Drinking Water, Water Well, Terrace, Reserve Tank",Lalitpur
 House for Sale,"Bhangal , Kathmandu",2.5,32000000.0,3.1,,13.0,North,2074.0,2017.0,8.0,,,5.0,6.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room",Kathmandu
 House for Sale,"Sukedhara, Kathmandu",2.5,55000000.0,5.2,,13.0,South,2075.0,2018.0,7.0,,,5.0,3.0,"Reserve Tank, Marbel, Parquet, Parking, Drinking Water, Balcony, Terrace, Power Backup, Bed Room, Dining Room, Bathroom",Kathmandu
House for Sale,"Setipakha, Lalitpur",2.5,23000000.0,2.3,,13.0,East,2074.0,2017.0,8.0,1.0,2.0,5.0,3.0,"Earthquake Resistant, Marbel, Garden, Parking, Water Well, Terrace, Balcony, Drinking Water, Sofa, Modular Kitchen, Dining Room",Lalitpur
 House for Sale,"Chandragiri, Kathmandu",2.0,17000000.0,3.3,,20.0,East,2078.0,2021.0,4.0,,,3.0,3.0,"Earthquake Resistant, Marbel, Parquet, Parking, Drinking Water, Balcony, Reserve Tank, Drainage, Power Backup, Dining Room, Bed Room",Kathmandu
 House for Sale,"Imadol, Lalitpur",3.5,24000000.0,2.3,,13.0,South,2077.0,2020.0,5.0,,,5.0,4.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room",Lalitpur
4 BHK House for Sale,"Tikathali, Lalitpur",2.5,27500000.0,4.0,,13.0,South,2074.0,2017.0,8.0,,2.0,4.0,4.0,"Marbel, Earthquake Resistant, Parquet, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room",Lalitpur
 House for Sale,"Tikathali, Lalitpur",2.5,22500000.0,3.2,,13.0,South,2074.0,2017.0,8.0,,2.0,4.0,3.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room",Lalitpur
4 BHK House for Sale,"Lubhu, Lalitpur",2.5,18000000.0,4.2,,13.0,East,2078.0,2021.0,4.0,,2.0,4.0,4.0,"Earthquake Resistant, Parquet, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Drainage, Dining Room, Bed Room",Lalitpur
3 BHK House for Sale,"Imadol, Lalitpur",2.5,25000000.0,3.2,,14.0,South,2077.0,2020.0,5.0,1.0,2.0,3.0,3.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room",Lalitpur
 House for Sale,"Setipakha, Lalitpur",1.0,16500000.0,3.1,,13.0,North-East,2074.0,2017.0,8.0,1.0,2.0,1.0,1.0,"Garden, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Water Well, Sofa, Modular Kitchen, Dining Room, Bed Room",Lalitpur
 House for Sale,"Bhaisepati, Lalitpur",2.5,51000000.0,6.3,,12.0,South,2078.0,2021.0,4.0,,2.0,5.0,5.0,"Earthquake Resistant, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room, Bed Room, Bathroom",Lalitpur
 House for Sale,"Imadol, Lalitpur",2.5,59900000.0,7.0,,20.0,East,2077.0,2020.0,5.0,2.0,4.0,5.0,3.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room",Lalitpur
 House for Sale,"Imadol, Lalitpur",2.5,32500000.0,4.3,,20.0,East,2074.0,2017.0,8.0,2.0,4.0,4.0,3.0,"Marbel, Parquet, Drainage, Power Backup, Parking, Drinking Water, Balcony, Garden, Reserve Tank, Terrace, Power Backup",Lalitpur
 House for Sale in land price,"Swoyambhu, Kathmandu",2.5,5000000.0,9.0,,20.0,East,2078.0,2021.0,4.0,2.0,3.0,6.0,4.0,"Earthquake Resistant, Marbel, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room, Bed Room",Kathmandu
 House for Sale,"Bhaisepati, Lalitpur",2.5,27500000.0,3.2,,13.0,North,2077.0,2020.0,5.0,,2.0,5.0,5.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room",Lalitpur
 House for Sale,"Sudal, Bhaktapur",1.0,12700000.0,4.0,,13.0,East,2074.0,2017.0,8.0,,,2.0,1.0,"Earthquake Resistant, Drainage, Drinking Water, Reserve Tank, Lawn, Balcony, Power Backup, Dining Room, Bed Room, Bathroom, Modular Kitchen",Bhaktapur
Bungalow House for Rent,"Baluwatar, Kathmandu",2.5,22500000.0,4.0,,20.0,South-East,2068.0,2011.0,14.0,5.0,5.0,4.0,4.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Power Backup, Garden, Parking, Drinking Water, Balcony, Reserve Tank, Lawn",Kathmandu
Bungalow House for Sale,"Bhaisepati, Lalitpur",3.5,61000000.0,6.0,,18.0,South,2070.0,2013.0,12.0,3.0,2.0,6.0,4.0,"Parquet, Drainage, Garden, Parking, Drinking Water, Balcony, Reserve Tank, Lawn, Terrace, Servant Quarter, Basement",Lalitpur
Bungalow House for Sale,"Hattiban, Lalitpur",3.5,36900000.0,4.1,2777.93,18.0,South,2079.0,2022.0,3.0,1.0,3.0,5.0,4.0,"Parquet, Drainage, Garden, Parking, Drinking Water, Balcony, Reserve Tank, Lawn, Terrace, Basement, Servant Quarter",Lalitpur
3 BHK House at Civil Homes Phase V,"Sunakothi, Lalitpur",2.0,23000000.0,2.3,,20.0,East,2070.0,2013.0,12.0,1.0,1.0,3.0,2.0,"Modular Kitchen, Parquet, Drainage, CC Camera, Power Backup, Garden, Parking, Drinking Water, Balcony, Lawn, Terrace",Lalitpur
Luxurious Villa for Sale,"Budhanilkantha, Kathmandu",2.0,32000000.0,4.0,,14.0,South,2079.0,2022.0,3.0,6.0,,5.0,5.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Garden, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Modular Kitchen",Kathmandu
 House for Sale,"Nil Barahi Mandir, Bhaktapur",2.5,15500000.0,3.2,,20.0,South-West,2078.0,2021.0,4.0,,3.0,6.0,3.0,"Earthquake Resistant, Boring Water, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Power Backup, Dining Room, Bed Room, Bathroom",Bhaktapur
Duplex House for Sale,"Dhapasi, Kathmandu",2.5,42500000.0,4.2,,13.0,West,2080.0,2023.0,2.0,2.0,4.0,7.0,6.0,"Earthquake Resistant, Marbel, Parquet, Drainage, Power Backup, Parking, Drinking Water, Balcony, Reserve Tank, Terrace, Boring Water",Kathmandu
