category,ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
land,HB-955FE0,land for sale bhaisepati bugamati lalitapur 3.5,"एकान्तकुना-टिकभैरब रोड, Bhaisepati, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Ekantakuna,Above 20 Ft,3250000.0,3.0,3250000.0,9750000.0,False,False,False,False
land,HB-FA68C8,Land for Sale in Sinamangal 5aana 2paisa 2dam!,"Sinamangal, Sinamangal Marg, Kathmandu-9, Kathmandu",Kathmandu,Sinamangal,Pitched Road,7000000.0,5.5,7000000.0,38500000.0,False,False,False,False
land,HB-860509,Land for Sale in Naikap 3aana!,"Naikap Football Ground, Chandragiri-14, Kathmandu",Kathmandu,Naikap Football Ground,Unknown,3000000.0,3.0,3000000.0,9000000.0,False,False,False,False
land,HB-BD11E7,"Land on Sale at Nilbarahi, bhaktapur GJBLOS 3648","Nil Barahi Pipal Bot, Bode- Jorpati, Madhyapur Thimi-8, Bhaktapur",Bhaktapur,Nil Barahi Pipal Bot,Above 20 Ft,3800000.0,12.5,3800000.0,47500000.0,False,False,False,False
land,HB-452FF7,51 Aana Land for Sale At Budhanilkantha,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,Above 20 Ft,3200000.0,51.0,3200000.0,163200000.0,False,False,False,True
land,HB-1260F9,land for sale kathamandu pharping 90 aana,"F121, दक्षिणकाली, Dakshinkali Municipality, Kathmandu",Kathmandu,दक्षिणकाली,Above 20 Ft,700000.0,90.0,700000.0,63000000.0,False,False,False,True
land,HB-63D617,"Land on Sale at Attarkhel Jorpati, GJBLOS 3523","Attarkhel, Gokarneshwor-9, Kathmandu",Kathmandu,Attarkhel,Gravel Road,2500000.0,5.0,2500000.0,12500000.0,False,False,False,False
land,HB-C569FA,"Land on Sale at Pasikot,Budhanilkantha GJBLOS 3644","Pasikot Devi, Budhanilakantha-4, Kathmandu",Kathmandu,Pasikot Devi,Above 20 Ft,5200000.0,17.0,5200000.0,88400000.0,False,False,False,False
land,HB-12C9C4,Commercial Land on Sale at Golfutar GJBLOS 3314,"Golfutar Sunrise Point, Budhanilakantha-8, Kathmandu",Kathmandu,Golfutar,Above 20 Ft,9000000.0,3.0,9000000.0,27000000.0,False,False,False,False
land,HB-4A04EB,"Land for sale Dahachok, Dahachowk Chandragiri KTM","Chandragiri-1, Kathmandu, Bagmati Pradesh",Kathmandu,Chandragiri,Gravel Road,1800000.0,3.125,1800000.0,5625000.0,False,False,False,False
land,HB-4B085D,5.5 aana commercial Land on sale,"Birbhadra Marga, Kageshwori Manahora-8, Kathmandu, Bagmati Pradesh",Kathmandu,Kageshwori Manahora,Above 20 Ft,6500000.0,5.0,6500000.0,32500000.0,False,False,False,False
land,HB-37FD61,Lazimpat Thai Embassy Najikai 3 Aana Jagga Bikrima,"Lazimpat, Narayan Gopal Road, Radisson Hotel Kathmandu, Lazimpat, Kathmandu Metropolitan City, Kathmandu",Kathmandu,Lajimpat,Above 20 Ft,8500000.0,3.0,8500000.0,25500000.0,False,False,False,False
land,HB-588FF5,land for sale bhaisepati awasha lalitpur 8 aana,"Bhaisepati, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Bhaisepati,Above 20 Ft,12000000.0,8.0,12000000.0,96000000.0,False,False,False,False
land,HB-D4FAC8,Land on sale at Sirutar,"Sirutar, Balkot-Biruwa Road, Suryabinayak-1, Bhaktapur",Bhaktapur,Sirutar,Pitched Road,3500000.0,5.0,3500000.0,17500000.0,False,False,False,False
land,HB-FB16FA,land for sale jawalakhel lalitapur 8 aana,"Jawalakhel Yekantakuna Sadak, Dhobighat, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Jawalakhel Yekantakuna Sadak,13-20 Ft,5700000.0,8.0,5700000.0,45600000.0,False,False,False,False
land,HB-82B4C0,5 aana land for sale dholaiti heights lalitpur,"Euro Kids, कान्ति लोकपथ, Wakhat, Satitar, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Euro Kids,13-20 Ft,6500000.0,5.0,6500000.0,32500000.0,False,False,False,False
land,HB-DD2668,Land for Sale in Budanilkantha!,"Budanilkantha, Budhanilakantha-1, Kathmandu",Kathmandu,Budhanilkantha,Unknown,5000000.0,10.0,5000000.0,50000000.0,False,False,False,False
land,HB-1E2636,"Land sale at Kupondole, Lalitpur. Kopundole.","87 Bagmati Marg Purba, Kopundole, Bakhundol, Bagmati Marg Purba, Lalitpur-1, Lalitpur, Bagmati Pradesh",Lalitpur,Kupondole,Pitched Road,6000000.0,4.0,6000000.0,24000000.0,False,False,False,False
land,HB-03C971,Commercial land on sale,"Dhumbarahi, धुम्बाराही मार्ग, Kathmandu-4, Kathmandu, Bagmati Pradesh",Kathmandu,Dhumbarahi,Above 20 Ft,9600000.0,7.0,9600000.0,67200000.0,False,False,False,False
land,HB-034646,Land for sale,"Chardobato, Changunarayan-2, Bhaktapur, Bagmati Pradesh",Bhaktapur,Chardobato,Pitched Road,2200000.0,4.5,2200000.0,9900000.0,False,False,False,False
