category,ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
land,HB-449254,commercial land for sale in tokha,"Tokha-3, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,Above 20 Ft,7000000.0,3.0,7000000.0,21000000.0,False,False,False,False
land,HB-DC6CF2,Land for sale near kmc hospital,"Kmc Hospital, Changunarayan-2, Bhaktapur",Bhaktapur,Changunarayan,Unknown,6500000.0,3.0,6500000.0,19500000.0,False,False,False,False
land,HB-72A275,10 Aana Land On Sale At Shivapuri Colony.,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,13-20 Ft,5300000.0,10.0,5300000.0,53000000.0,False,False,False,False
land,HB-6CE9DF,Land on sale,"Godawari Bridge, Gwarko-Lamatar, Mahalaxmi-8, Lalitpur",Lalitpur,Godawari,Unknown,3000000.0,3.5,3000000.0,10500000.0,False,False,False,False
land,HB-5E933A,15 Aana Land On Sale Near Lemon Tree Hotel.,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,13-20 Ft,4500000.0,15.0,4500000.0,67500000.0,False,False,False,False
land,HB-B4FBC4,Kapan Tenzin Chok Ma 6anna Jagga Sell Ma,"F84, Tenzing Chok, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,13-20 Ft,6000000.0,6.0,6000000.0,36000000.0,False,False,False,False
land,HB-3A8E36,Land For Sale At Chandragiri,"Matatirtha, Chandragiri-6, Kathmandu, Bagmati Pradesh",Kathmandu,Matatirtha,Gravel Road,2500000.0,6.0,2500000.0,15000000.0,False,False,False,False
land,HB-500628,land for sale bhanimandal lalitpur 10 aana,"DAV Sushil Kedia Vishwa Bharati School, दमकल सुन्दरीघाट मार्ग, Dhobighat, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,दमकल सुन्दरीघाट मार्ग,Above 20 Ft,1050000.0,10.0,1050000.0,10500000.0,False,False,False,False
land,HB-6E7D12,6 aana perfect land on sale near Metro apartment,"Swastik Marg, Kathmandu-14, Kathmandu, Bagmati Pradesh",Kathmandu,Swastik Marg,Unknown,9000000.0,6.0,9000000.0,54000000.0,False,False,False,False
land,HB-D76F6F,land for sale jawalakhel lalitpur 6 aana,"Damodar Marga, Ekantakuna, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Ekantakuna,Above 20 Ft,11000000.0,6.0,11000000.0,66000000.0,False,False,False,False
land,HB-3865E4,Land for Sale at Dhapakhel,"Dhapakhel Hp, Lalitpur-15, Lalitpur",Lalitpur,Dhapakhel,Above 20 Ft,3500000.0,10.0,3500000.0,35000000.0,False,False,False,False
land,HB-589245,Land for Sale Kirtipur Near Jal Binayak Colony!,"Jalbinayak Colony, Kirtipur-6, Kathmandu",Kathmandu,Jalbinayak Colony,Unknown,3200000.0,3.0,3200000.0,9600000.0,False,False,False,False
land,HB-1DCC5E,"Land On Sale At Pasikot, Budhanilkantha","Pasikot, Budhanilakantha-4, Kathmandu",Kathmandu,Pasikot,Pitched Road,4400000.0,4.5,4400000.0,19800000.0,False,False,False,False
land,HB-8CE6AE,land for sale kupandol lalitpur 17 aana,"Upendra Marg, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Upendra Marg,9-12 Ft,6500000.0,17.0,6500000.0,110500000.0,False,False,False,False
land,HB-CEFBE8,Land On Sale At Baluwatar,"Baluwatar-4, Kathmandu-4, Kathmandu",Kathmandu,Baluwatar,Pitched Road,6500000.0,4.5,6500000.0,29250000.0,False,False,False,False
land,HB-A58F36,Residential Land for Sale Old Naikap Near Kalanki,"Kalanki-14 Khadkagau, Chandragiri-13, Kathmandu",Kathmandu,Kalanki,Unknown,2700000.0,3.5,2700000.0,9450000.0,False,False,False,False
land,HB-FDCD05,"Land On Sale At Pasikot, Budhanilkantha","Pasikot Futsal, Budhanilakantha-4, Kathmandu",Kathmandu,Pasikot Futsal,Gravel Road,4500000.0,4.59,4500000.0,20655000.0,False,False,False,False
land,HB-B2562A,Land for sale in bramakhal Kathmandu,"Bramhakhel Dhunge Dhara, Kageshwori Manahora-4, Kathmandu",Kathmandu,Bramhakhel Dhunge Dhara,Above 20 Ft,2500000.0,4.75,2500000.0,11875000.0,False,False,False,False
land,HB-93CC27,"RESIDENTIAL LAND ON SALE AT DHAPA VALLEY, Dhapakhe","Dhapa Valley, Lalitpur-24, Lalitpur",Lalitpur,Dhapa Valley,Unknown,3250000.0,5.0,3250000.0,16250000.0,False,False,False,False
land,HB-A76854,land sale,"Chandragiri-2, Kathmandu, Bagmati Pradesh",Kathmandu,Chandragiri,13-20 Ft,2000000.0,3.0,2000000.0,6000000.0,False,False,False,False
land,HB-A9E7DD,Land On Sale At Budhanilkantha,"Budhanilkantha, Budhanilakantha-2, Kathmandu",Kathmandu,Budhanilkantha,Gravel Road,2500000.0,6.5,2500000.0,16250000.0,False,False,False,False
land,HB-7A0D68,4 Anna Land For Sale Very Reasonable Price,"Nagarjun, Nagarjun Municipality, Kathmandu",Kathmandu,Nagarjun,13-20 Ft,3800000.0,4.0,3800000.0,15200000.0,False,False,False,False
land,HB-384C1B,बालुवाटारमा ४.५ आना जग्गा तुरुन्त बिक्रीमा,"Baluwatar, Kathmandu-4, Kathmandu, Bagmati Pradesh",Kathmandu,Baluwatar,9-12 Ft,6300000.0,4.0,6300000.0,25200000.0,False,False,False,False
land,HB-177CBD,Land & House On Sell,"Khadka Bhadrakali, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Khadka Bhadrakali,Full Road,100.0,10.226442658875092,10000000.0,102264426.58875091,False,False,False,False
land,HB-486543,"Commercial Land On Sale At Dhapakhel, Lalitpur.","Dhapakhel Hp, Lalitpur-15, Lalitpur",Lalitpur,Dhapakhel,Above 20 Ft,5500000.0,4.0,5500000.0,22000000.0,False,False,False,False
land,HB-E9A7F8,5.5 Aana @ Sankhu- Near Malpot - @18 lacs/ Aana,"Sankhu Malpot Office, salinadi road, Shankharapur-6, Kathmandu",Kathmandu,Shankharapur,Unknown,1800000.0,5.5,1800000.0,9900000.0,False,False,False,False
land,HB-867F84,Land on sale at machhegaun Naaikap 4Aana,"Chandragiri-9, Kathmandu, Bagmati Pradesh",Kathmandu,Chandragiri,Unknown,2500000.0,5.843681519357195,2500000.0,14609203.798392987,False,False,False,False
land,HB-A10874,land sale,"620 Ward office - Ghamdhoka Marga Chagunarayan Temmple Area, Chagunarayan Temmple Area, Changu Narayan, Sangdaha- Changu Road, Changunarayan-4, Bhaktapur, Bagmati Pradesh",Bhaktapur,Chagunarayan Temmple,Unknown,26.0,5.0,2600000.0,13000000.0,False,False,False,False
land,HB-D9E191,land for sale in hattiban Lalitpur,"Hattiban, Mahalaxmi-4, Lalitpur",Lalitpur,Hattiban,Pitched Road,4000000.0,55.0,4000000.0,220000000.0,False,False,False,True
land,HB-BBEA40,Land urgent sale at Saraswati khel,"Changunarayan-1, Bhaktapur, Bagmati Pradesh",Bhaktapur,Changunarayan,Above 20 Ft,2000000.0,6.0,2000000.0,12000000.0,False,False,False,False
land,HB-D62F20,land for sale,"Autism Care Nepal Society, Lalitpur-29, Lalitpur",Lalitpur,Autism Care  Society,Above 20 Ft,9500000.0,3.75,9500000.0,35625000.0,False,False,False,False
land,HB-D00826,sale,"Ban Danda Marg, Lalitpur-25, Lalitpur, Bagmati Pradesh",Lalitpur,Ban Danda Marg,Above 20 Ft,5800000.0,5.0,5800000.0,29000000.0,False,False,False,False
land,HB-9EF6B4,Sasto jagga,"Lalitpur Nepal, Mahalaxmi-4, Lalitpur",Lalitpur,Mahalaxmi,Unknown,650000.0,10.0,650000.0,6500000.0,False,False,False,False
land,HB-C08599,2.5 aana land sale on nepaltar Kathmandu,"Nepaltar, Ratna Park - Phutang, Tarakeshwor-11, Kathmandu",Kathmandu,Ratna Park,Pitched Road,7000000.0,2.5,7000000.0,17500000.0,False,False,False,False
land,HB-D30C10,Land on Sale at Sundarbasti,"Sundar Basti Marga, Budhanilakantha-1, Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,4700000.0,5.0,4700000.0,23500000.0,False,False,False,False
land,HB-C1CB2A,Land on sale at Godawari Taukhel,"Taukhel, Godawari-3, Lalitpur",Lalitpur,Taukhel,Pitched Road,6200000.0,6.6875,6200000.0,41462500.0,False,False,False,False
land,HB-F7F213,land on sale kathmandu ko lagimpa haitma ho,"Maharajganj, लाजिम्पाट सडक, Kathmandu-3, Kathmandu, Bagmati Pradesh",Kathmandu,Maharajganj,13-20 Ft,8000000.0,4.0,8000000.0,32000000.0,False,False,False,False
land,HB-3163BA,land for sale dholaiti lalitpur 3 aana,"Euro Kids, कान्ति लोकपथ, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Euro Kids,13-20 Ft,6000000.0,3.0,6000000.0,18000000.0,False,False,False,False
land,HB-55D857,Medicity Hospital Najikai 1 Ropani 3 Paisa jagga,"Nakkhu Jal Binayak Marg, Lalitpur-18, Lalitpur, Bagmati Pradesh",Lalitpur,Nakkhu Jal Binayak Marg,Pitched Road,67.0,16.75,6700000.0,112225000.0,False,False,False,False
land,HB-DE8393,"— 4.5 Aana Land For Sale — 📍Pasikot,","kapurchowk road, Budhanilakantha-4, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,Above 20 Ft,6500000.0,4.0,6500000.0,26000000.0,False,False,False,False
land,HB-2A5D7E,land for sale in chapali,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,5000000.0,10.0,5000000.0,50000000.0,False,False,False,False
land,HB-4840BB,Land sale near Chobar Dry Port,"Chobhar Dry Port, Kirtipur-6, Kathmandu",Kathmandu,Chobhar Dry Port,Above 20 Ft,3400000.0,4.0,3400000.0,13600000.0,False,False,False,False
land,HB-3DD494,12 Aana Land For sale In Koteshwor,"Koteshwor, Kathmandu-32, Kathmandu",Kathmandu,Koteshwor,Unknown,8000000.0,12.0,8000000.0,96000000.0,False,False,False,False
land,HB-E33B85,Land on sale,"Godawari-5, Lalitpur, Bagmati Pradesh",Lalitpur,Godawari,Gravel Road,650000.0,22.0,650000.0,14300000.0,False,False,False,False
land,HB-F4C8CC,Commercial or Residential Land On Sale At Shantina,"Shantinagar, Radha Mohan Marga, Kathmandu-31, Kathmandu",Kathmandu,Shantinagar,Above 20 Ft,10000000.0,8.0,10000000.0,80000000.0,False,False,False,False
land,HB-33380D,land for sale in budhanilkantha,"Rudreswar Chowk, Budhanilakantha-5, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,5500000.0,3.0,5500000.0,16500000.0,False,False,False,False
land,HB-BD4CD8,4 ana land for sale at Naikap near highway,"Chandragiri-14, Kathmandu, Bagmati Pradesh",Kathmandu,Chandragiri,Unknown,3500000.0,4.0,3500000.0,14000000.0,False,False,False,False
land,HB-0ABD18,Land On Sale At Budhanilkantha,"Budhanilkantha School, Budhanilakantha-3, Kathmandu",Kathmandu,Budhanilkantha,Gravel Road,3500000.0,16.0,3500000.0,56000000.0,False,False,False,False
land,HB-CB3C21,Land on sale at viral planning surayabinayak 8 bkt,"Suryabinayak-8, Bhaktapur, Bagmati Pradesh",Bhaktapur,Suryabinayak,Above 20 Ft,9062500.0,3.0,9062500.0,27187500.0,False,False,False,False
land,HB-867964,5 ropani Land for Sale In Sankhu,"salinadi road, Shankharapur, Kathmandu",Kathmandu,Shankharapur,Above 20 Ft,1500000.0,86.0,1500000.0,129000000.0,False,False,False,True
land,HB-19342B,Land On Sale At Budhanilkantha,"Budhanilkantha, Budhanilakantha-2, Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,4500000.0,4.0,4500000.0,18000000.0,False,False,False,False
land,HB-6451D5,land for sale bhaisepati magargau lalitpur 4 aana,"Sainbu, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Sainbu,Above 20 Ft,5300000.0,4.0,5300000.0,21200000.0,False,False,False,False
land,HB-4D0A4B,भक्तपुर झौखेल ७ (16 aana land Sell ),"Technerd Gadgets, Changunarayan-3, Bhaktapur",Bhaktapur,Technerd Gadgets,Above 20 Ft,2500000.0,16.0,2500000.0,40000000.0,False,False,False,False
land,HB-B313E9,LAND FOR SALE BHAKTAPUR SALLAGHARI KATUNJE SUWARNA,"Chundevi, Suryabinayak-5, Bhaktapur, Bagmati Pradesh",Bhaktapur,Chundevi,13-20 Ft,3500000.0,6.0,3500000.0,21000000.0,False,False,False,False
land,HB-257D52,2.5 Anna Land on Sale Naya Naikap,"Naikap, Chandragiri-14, Kathmandu",Kathmandu,Naikap,Gravel Road,3700000.0,2.5,3700000.0,9250000.0,False,False,False,False
land,HB-41CEDB,1 ropani land on demand from pepsicola !,"Pepsicola, Bafal Marg, Kathmandu-13, Kathmandu",Kathmandu,Pepsicola,Pitched Road,6000000.0,16.0,6000000.0,96000000.0,False,False,False,False
land,HB-180B6E,"34 Aana Land For Sale At Sankhu, Salinadi","salinadi road, Shankharapur, Kathmandu",Kathmandu,Shankharapur,13-20 Ft,1300000.0,34.0,1300000.0,44200000.0,False,False,False,False
land,HB-6BFA52,Sasto ma 3 ana 40lac only,"Police Sector, Matatirtha, Chandragiri-8, Kathmandu",Kathmandu,Police Sector,Unknown,4000000.0,3.0,4000000.0,12000000.0,False,False,False,False
land,HB-AE4A83,"Plotted Land Sale with Purja, VIP Dhapakhel Height","Airawa Tol, Hattiban, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Airawa Tol,13-20 Ft,4000000.0,4.0,4000000.0,16000000.0,False,False,False,False
land,HB-089897,land for sale,"706 Tikhedebal Marg, Jambu Tole, Shovahiti, Jambu Marg, Lalitpur-14, Lalitpur, Bagmati Pradesh",Lalitpur,Jambu Tole,Unknown,5500000.0,6.0,5500000.0,33000000.0,False,False,False,False
land,HB-2A54EC,Land Sale Near Shital Height,"Orpach, Mahalaxmi, Mahalaxmi Municipality, Lalitpur",Lalitpur,Orpach,13-20 Ft,3990000.0,5.0,3990000.0,19950000.0,False,False,False,False
land,HB-FDD2D3,"Land for Sale in Kirtipur, Chugaun","Rarahill Futsal., Kirtipur-9, Kathmandu",Kathmandu,Rarahill Futsal.,Gravel Road,3600000.0,3.0,3600000.0,10800000.0,False,False,False,False
land,HB-DF78AA,Land On Sale At Chandol,"Switch On Chandol, Kathmandu-4, Kathmandu",Kathmandu,Switch On Chandol,Pitched Road,7000000.0,7.0,7000000.0,49000000.0,False,False,False,False
land,HB-EE8829,GOKARNA main road ma 8 anna jagga tu bikrima,"Bhandari Street, Gokarneshwor-4, Kathmandu, Bagmati Pradesh",Kathmandu,Bhandari Street,Above 20 Ft,4500000.0,8.0,4500000.0,36000000.0,False,False,False,False
land,HB-2A5271,Land On Sale At Tokha,"Tokha Polish Station, Tokha Road, Tokha-3, Kathmandu",Kathmandu,Tokha,Pitched Road,4500000.0,8.0,4500000.0,36000000.0,False,False,False,False
land,HB-FCC693,19.3 Aana Land For Sale In Budanilkantha,"Budanilkantha, Budhanilakantha-1, Kathmandu",Kathmandu,Budhanilkantha,Unknown,7000000.0,19.3,7000000.0,135100000.0,False,False,False,False
land,HB-2E86CF,24 Aana Land For Sale In Kirtipur,"Kirtipur, Ajaya Marga, Kirtipur-6, Kathmandu",Kathmandu,Kirtipur,Unknown,2300000.0,24.0,2300000.0,55200000.0,False,False,False,False
land,HB-ED0C51,land for sale sanepa lalitpur 10 aana,"Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Lalitpur,Above 20 Ft,8500000.0,10.0,8500000.0,85000000.0,False,False,False,False
land,HB-922D21,Land for sale prime location of Baluwatar,"Nepal House Resturent - नेपाल हाउस रेस्टुरेन्ट, बार र बेकरी, Shree Hari Marg, Kathmandu-4, Kathmandu",Kathmandu,नेपाल हाउस रेस्टुरेन्ट,Above 20 Ft,19000000.0,20.0,19000000.0,380000000.0,False,False,False,False
land,HB-7DC97F,DALLU|CHAGEL,"Ganesh Temple, Dallu, Amar Chitrakar Marg, Kathmandu-15, Kathmandu",Kathmandu,Ganesh Temple,Pitched Road,6000000.0,12.5,6000000.0,75000000.0,False,False,False,False
land,HB-D6F0D8,Residential Land for Sale in Kirtipur Nagaun Area!,"Nagaun Dobato नगाँ दोबाटो, Kirtipur Ring Road, Kirtipur-9, Kathmandu",Kathmandu,Nagaun Dobato नगाँ दोबाटो,Unknown,5500000.0,5.25,5500000.0,28875000.0,False,False,False,False
land,HB-120A47,Nayapati's Land on Sale,"B.p. Museum Sundarijal, Gokarneshwor-1, Kathmandu",Kathmandu,B.P. Museum Sundarijal,Pitched Road,2100000.0,10.125,2100000.0,21262500.0,False,False,False,False
land,HB-C71CCF,Land On Sale At Dhumbarahi,"Dhumbarahi Pipal Bot, Dhumbharai Marg, Kathmandu-4, Kathmandu",Kathmandu,Dhumbarahi,Pitched Road,6500000.0,4.5,6500000.0,29250000.0,False,False,False,False
land,HB-2AE0AB,Lazimpat Land @40 lakh/aana near Uttardhoka urgent,"Kholagaal, Kathmandu-2, Kathmandu",Kathmandu,Kholagaal,Unknown,4000000.0,5.875,4000000.0,23500000.0,False,False,False,False
land,HB-48EEF0,Land in sale Chapali Bhudanilkantha,"Chapali Chok, Budhanilakantha-3, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,Pitched Road,6500000.0,14.0,6500000.0,91000000.0,False,False,False,False
land,HB-7493E1,4 aana 1paisa afnai jagga ho direct call garnus….,"Tersatar Planning, Madhyapur Thimi-2, Bhaktapur",Bhaktapur,Tersatar Planning,Pitched Road,5500000.0,4.25,5500000.0,23375000.0,False,False,False,False
land,HB-FDFCF9,land for sale in budhanilkantha,"Budhanilakantha-1, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,5500000.0,6.0,5500000.0,33000000.0,False,False,False,False
land,HB-531EB9,1.5 ropani land for rent,"Mandikhatar, Budhanilakantha-9, Kathmandu, Bagmati Pradesh",Kathmandu,Mandikhatar,Above 20 Ft,140000.0,24.0,140000.0,3360000.0,False,False,True,False
land,HB-7FEE88,Kusume rumal justo mileko jagga,"Borcha, Mahalaxmi-8, Lalitpur, Bagmati Pradesh",Lalitpur,Borcha,Gravel Road,35.0,6.25,3500000.0,21875000.0,False,False,False,False
land,HB-FB5C1D,3 Anna land on sale harisidhi lalitpur,"Safal Tol, Dhyakwa Marg, Lalitpur-29, Lalitpur, Bagmati Pradesh",Lalitpur,Safal Tol,Unknown,4500000.0,3.0,4500000.0,13500000.0,False,False,False,False
land,HB-F75871,Land for Sale in Chobar/Kritipur,"Itagol, Kirtipur-6, Kathmandu, Bagmati Pradesh",Kathmandu,Itagol,Above 20 Ft,2500000.0,21.0,2500000.0,52500000.0,False,False,False,False
land,HB-E7EF4D,4ft bato bhako 3.1 aana jagga sasto ma sale ma ch,"Tarkeshwor Nagarpalika, Tarakeshwor-11, Kathmandu",Kathmandu,Tarakeshwor,Pitched Road,7500000.0,3.1,7500000.0,23250000.0,False,False,False,False
land,HB-ECCC44,"Only 1 cr, land on sale ! Urgent ! at Jhor, Tokha","Tokha, Uttar Dhoka Road, Kathmandu-1, Kathmandu",Kathmandu,Tokha,Gravel Road,10000000.0,5.2,10000000.0,52000000.0,False,False,False,False
land,HB-C82880,land for sale karevinayk khokhana lalitpur 6.5 ana,"EMMANUEL MOBILE CENTER, Khokana Marg Paschim, Khokana, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Emmanuel Mobile Center,Above 20 Ft,3600000.0,6.0,3600000.0,21600000.0,False,False,False,False
land,HB-53B296,8 aana land on sale at Bansbari,"Bansbari Kathamandu, Kathmandu-3, Kathmandu",Kathmandu,Bansbari,Unknown,5600000.0,8.0,5600000.0,44800000.0,False,False,False,False
land,HB-7AA945,Lalitpur Dukuchhap,"Tikhidewal, Lalitpur-14, Lalitpur, Bagmati Pradesh",Lalitpur,Tikhidewal,13-20 Ft,1080000.0,5.0,1080000.0,5400000.0,False,False,False,False
land,HB-41AFF8,40.5 Aana Land For Sale In Kirtipur,"Kirtipur Cafeteria, Kirtipur-10, Kathmandu",Kathmandu,Kirtipur,Unknown,1500000.0,40.5,1500000.0,60750000.0,False,False,False,False
land,HB-04B691,SUNAKOTHI – 1 ROPANI LAND FOR SALE,"Sunakothi, Lalitpur-25, Lalitpur",Lalitpur,Sunakothi,Unknown,4500000.0,16.0,4500000.0,72000000.0,False,False,False,False
land,HB-91AD1D,land for sale bhaisepati karevinayk lalitpur 17 an,"Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Lalitpur,Above 20 Ft,220000.0,17.0,220000.0,3740000.0,False,False,True,False
land,HB-C4DF16,Land on sale at Sainbu Bhaisepati,"Bhaisepati, Kirtipur-6, Kathmandu",Kathmandu,Bhaisepati,Pitched Road,5300000.0,5.625,5300000.0,29812500.0,False,False,False,False
land,HB-5BFAC3,25 Aana Land For Sale In Thankot,"Thankot, Chandragiri-4, Kathmandu",Kathmandu,Thankot,Unknown,3500000.0,25.0,3500000.0,87500000.0,False,False,False,False
land,HB-A21A4E,"Land for sale Bhaisepati, Lalitpur","Bhaisepati, Lalitpur, Lalitpur-18, Lalitpur",Lalitpur,Bhaisepati,Pitched Road,5800000.0,5.5,5800000.0,31900000.0,False,False,False,False
land,HB-FC5E42,Land on sale,"Maharajgunj Kathmandu Nepal, Kathmandu-3, Kathmandu",Kathmandu,Maharajgunj,Above 20 Ft,8800000.0,5.0,8800000.0,44000000.0,False,False,False,False
land,HB-5B40AF,Residential Land for Sale in Kirtipur – Thapa Gau!,"Kirtipur, Kathmandu-16, Kathmandu",Kathmandu,Kirtipur,Unknown,2400000.0,6.75,2400000.0,16200000.0,False,False,False,False
land,HB-59EA23,land on sale chabal,"चाहबिल तरकारी बजार, Kathmandu-7, Kathmandu",Kathmandu,चाहबिल तरकारी बजार,Pitched Road,6600000.0,7.0,6600000.0,46200000.0,False,False,False,False
land,HB-BCD796,5.56 Aana Setipakha/Harisiddhi residential land,"Setipakha, Mahalaxmi-4, Lalitpur",Lalitpur,Setipakha,Above 20 Ft,3800000.0,5.56,3800000.0,21128000.0,False,False,False,False
land,HB-31E553,"Commercial Land On Sale at Bhotebhala,Kathmandu.","Bhote Bahal, Kathmandu-11, Kathmandu",Kathmandu,Bhote Bahal,Above 20 Ft,9200000.0,14.0,9200000.0,128800000.0,False,False,False,False
land,HB-515EA2,land for sale in basundhara,"Kathmandu-3, Kathmandu, Bagmati Pradesh",Kathmandu,Kathmandu-3,13-20 Ft,5500000.0,3.0,5500000.0,16500000.0,False,False,False,False
land,HB-4FF159,Balambu ma mero 3.1 aana dachin mohoda singal moho,"F105, Chandragiri, Chandragiri Municipality, Kathmandu",Kathmandu,Chandragiri,13-20 Ft,32.0,3.0,3200000.0,9600000.0,False,False,False,False
land,HB-B2F88F,सस्तोमा भक्तपुर सिपाडोल मेन रोड टच जग्गा बिक्रीमा,"Sipadol Planning, Suryabinayak-8, Bhaktapur",Bhaktapur,Sipadol Planning,Above 20 Ft,1850000.0,9.5,1850000.0,17575000.0,False,False,False,False
land,HB-149C86,Land for Sale in New Naikap,"New Naikap Health Post, Chandragiri-14, Kathmandu",Kathmandu,New Naikap Health Post,Unknown,4500000.0,6.0,4500000.0,27000000.0,False,False,False,False
land,HB-CD29C7,"Attractive Land for sale in Bisalnagar,Hadigoun","Bishalnagar, Handigaun Marg, Kathmandu-5, Kathmandu, Bagmati Pradesh",Kathmandu,Bishalnagar,9-12 Ft,7500000.0,6.0,7500000.0,45000000.0,False,False,False,False
land,HB-A2C1EE,Peaceful Residential Land for Sale in Balambu!,"Dig Futsal, Chandragiri-12, Kathmandu",Kathmandu,Dig Futsal,Unknown,3300000.0,3.25,3300000.0,10725000.0,False,False,False,False
land,HB-C9E3D0,4 ana land for sale in golfutar,"Golphutar, गोल्फुटार आवासीय सडक, Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Golphutar,Unknown,6500000.0,4.0,6500000.0,26000000.0,False,False,False,False
land,HB-804017,मात्र 35 लाखले ३.५ आना जग्गा कपन हाइटमा ।,"बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,13-20 Ft,3500000.0,3.0,3500000.0,10500000.0,False,False,False,False
land,HB-81E72C,8 Aana Land On Sale Near Ganesh Chowk Budhanilkant,"Samudaik Marg, बूढानीलकण्ठ, बूढानीलकण्ठ नगरपालिका, काठमाडौं जिल्ला",Kathmandu,बूढानीलकण्ठ,13-20 Ft,5600000.0,8.0,5600000.0,44800000.0,False,False,False,False
land,HB-9C58F6,"Land for Sale at Gajurel Danda, Mulpani","Gajurel Hill गजुरेल डाँडा, Kageshwori Manahora-6, Kathmandu",Kathmandu,Gajurel Hill गजुरेल डाँडा,Pitched Road,45.0,4.0,4500000.0,18000000.0,False,False,False,False
land,HB-8701A2,Land for Sale in Nakhipot – Near Kantipur Colony!,"Nakhipot, Lalitpur-14, Lalitpur",Lalitpur,Nakhipot,Pitched Road,12000000.0,4.0,12000000.0,48000000.0,False,False,False,False
land,HB-560911,Land on sale at Sainbu Bhaisepati,"Bhaisepati, Lalitpur, Lalitpur-18, Lalitpur",Lalitpur,Bhaisepati,Pitched Road,4500000.0,4.0,4500000.0,18000000.0,False,False,False,False
land,HB-E8766F,Land on sale at Nagarjun,"Nagarjun, Nagarjun-10, Kathmandu",Kathmandu,Nagarjun,Pitched Road,1400000.0,3.5,1400000.0,4900000.0,False,False,False,False
land,HB-D6D4C2,BHAISIPATI – 16 ANA LAND FOR SALE,"Bhaisipati, Lalitpur-25, Lalitpur",Lalitpur,Bhaisepati,Pitched Road,11500000.0,16.0,11500000.0,184000000.0,False,False,False,False
land,HB-1B613D,south faced 4 aana land for sale at Sanagaun,"Siddhipur, Mahalaxmi-6, Lalitpur, Bagmati Pradesh",Lalitpur,Siddhipur,13-20 Ft,3800000.0,4.0,3800000.0,15200000.0,False,False,False,False
land,HB-F8392D,Godawari main road touched land on sale.,"Satdobato-Godawari Road, Godawari-3, Lalitpur, Bagmati Pradesh",Lalitpur,Satdobato,Above 20 Ft,6200000.0,6.5,6200000.0,40300000.0,False,False,False,False
land,HB-226572,Land for Sale in Bhangal,"Bhangal 8, Budhanilakantha-8, Kathmandu",Kathmandu,Bhangal,Pitched Road,4200000.0,3.2,4200000.0,13440000.0,False,False,False,False
land,HB-51032E,Land for Sale at Chapali,"Chapali Ghumti, Budhanilakantha-4, Kathmandu",Kathmandu,Chapali Ghumti,Pitched Road,4300000.0,4.3,4300000.0,18490000.0,False,False,False,False
land,HB-967A3F,"5 Aana @1350,000/- Lamatar Land","Mahalaxmi-9, Lalitpur, Bagmati Pradesh",Lalitpur,Mahalaxmi,Unknown,1350000.0,5.0,1350000.0,6750000.0,False,False,False,False
land,HB-113347,LAND FOR SALE KATHMANDU 10 NEW BANESHWOR THAPAGAU,"Lakhe Chaur, Kathmandu-10, Kathmandu, Bagmati Pradesh",Kathmandu,Lakhe Chaur,Pitched Road,5000000.0,3.0,5000000.0,15000000.0,False,False,False,False
land,HB-86E238,9 aanaa Residential land on sale hepali budhanilka,"Budhanilakantha-7, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,9-12 Ft,5000000.0,9.0,5000000.0,45000000.0,False,False,False,False
