neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",4000000.0,,,13.0,Gravel,North,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",5200000.0,,,13.0,Gravel,North-West,False,False,False,False,False
Suncity,Kathmandu,"Suncity, Kathmandu",6000000.0,,,13.0,Paved,South,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",5000000.0,,,13.0,Gravel,East,False,False,False,False,False
Gatthaghar,Bhaktapur,"Gatthaghar, Bhaktapur",5800000.0,,,20.0,Paved,West,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",3500000.0,,,13.0,Gravel,South,False,False,False,False,False
Pasikot,Kathmandu,"Pasikot, Kathmandu",4500000.0,4.2,18900000.0,13.0,Gravel,South,False,False,False,False,False
Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",4000000.0,,,20.0,Paved,West,False,False,False,False,False
Dibyeshwori Townplanning,Bhaktapur,"Dibyeshwori Townplanning, Bhaktapur",6300000.0,5.2,32760000.0,20.0,Gravel,West,False,False,False,False,False
Hattigauda,Kathmandu,"Hattigauda, Kathmandu",5200000.0,,,13.0,Pitched,North-East,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",3700000.0,,,13.0,Paved,West,False,False,False,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3800000.0,3.2,12160000.0,20.0,Gravel,West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",6500000.0,,,13.0,Paved,North-East,False,False,False,False,False
Basundhara,Kathmandu,"Basundhara, Kathmandu",5500000.0,3.2,17600000.0,13.0,Pitched,West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",,,6500000.0,12.0,Paved,North-East,False,False,False,False,False
Kuleshwor,Kathmandu,"Kuleshwor, Kathmandu",6000000.0,,,18.0,Pitched,North,False,False,False,False,False
Machhe Gaun,Kathmandu,"Machhe Gaun, Kathmandu",3200000.0,3.2,10240000.0,13.0,Pitched,South,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",6500000.0,,,13.0,Paved,North-West,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",3500000.0,,,10.0,Gravel,East,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",4300000.0,6.2,26660000.0,13.0,Gravel,North-East,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",3500000.0,,,13.0,Gravel,South,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",3500000.0,,,13.0,Gravel,North,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5800000.0,3.3,19140000.0,20.0,Gravel,West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",2800000.0,,,13.0,Gravel,South,False,False,False,False,False
Godamchaur,Lalitpur,"Godamchaur, Lalitpur",,,,12.0,Pitched,East,False,False,False,False,False
Gatthaghar,Bhaktapur,"Gatthaghar, Bhaktapur",5500000.0,,,13.0,Gravel,West,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",4800000.0,,,13.0,Paved,South,False,False,False,False,False
Dhumbarahi,Kathmandu,"Dhumbarahi, Kathmandu",7000000.0,,,13.0,Pitched,South-East,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",4000000.0,,,13.0,Gravel,North,False,False,False,False,False
Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",5500000.0,,,,,West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",6500000.0,5.3,34450000.0,13.0,Gravel,North-East,False,False,False,False,False
Sukedhara,Kathmandu,"Sukedhara, Kathmandu",7000000.0,5.2,36400000.0,13.0,Pitched,South,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4500000.0,,,13.0,Gravel,South,False,False,False,False,False
Thimi,Bhaktapur,"Thimi, Bhaktapur",5000000.0,,,20.0,Paved,North-East,False,False,False,False,False
Thimi,Bhaktapur,"Thimi, Bhaktapur",4000000.0,,,13.0,Gravel,South,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",4300000.0,6.2,26660000.0,13.0,Gravel,North-East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",5000000.0,,,13.0,Paved,North,False,False,False,False,False
Damauli,Tanahun,"Damauli, Tanahun",,,,20.0,Gravel,East,False,False,False,False,False
Bansbari,Kathmandu,"Bansbari, Kathmandu",7000000.0,,,13.0,Pitched,North,False,False,False,False,False
Samakhusi,Kathmandu,"Samakhusi, Kathmandu",6000000.0,,,15.0,Pitched,North,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",3000000.0,,,13.0,Gravel,North-West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",,,5000000.0,13.0,Gravel,East,False,False,False,False,False
Sanepa,Lalitpur,"Sanepa, Lalitpur",6500000.0,,,12.0,Paved,North,False,False,False,False,False
Dhumbarahi,Kathmandu,"Dhumbarahi, Kathmandu",5500000.0,2.3,12649999.999999998,10.0,Pitched,East,False,False,False,False,False
Sanepa,Lalitpur,"Sanepa, Lalitpur",6000000.0,,,,,West,False,False,False,False,False
Bode,Bhaktapur,"Bode, Bhaktapur",4000000.0,,,13.0,Gravel,East,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",4600000.0,,,13.0,Gravel,West,False,False,False,False,False
Bhangal,Kathmandu,"Bhangal , Kathmandu",4200000.0,,,28.0,Pitched,West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3600000.0,,,16.0,Gravel,South-East,False,False,False,False,False
Hattigauda,Kathmandu,"Hattigauda, Kathmandu",4500000.0,,,13.0,Gravel,West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",6500000.0,,,20.0,Pitched,East,False,False,False,False,False
Chapali,Kathmandu,"Chapali, Kathmandu",4500000.0,,,13.0,Paved,North,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",,,4200000.0,13.0,Gravel,East,False,False,False,False,False
Chhaimale,Kathmandu,"Chhaimale, Kathmandu",,266.2,,16.0,Gravel,East,False,False,True,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3600000.0,,,13.0,Gravel,West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4700000.0,,,13.0,Paved,East,False,False,False,False,False
Dhulikhel,Kavrepalanchok,"Dhulikhel, Kavrepalanchok",2000000.0,4.2,8400000.0,20.0,Pitched,North-East,False,False,False,False,False
Phutung,Kathmandu,"Phutung, Kathmandu",5000000.0,4.3,21500000.0,22.0,Pitched,North-West,False,False,False,False,False
Balaju,Kathmandu,"Balaju, Kathmandu",7954545.454545454,2.2,17500000.0,13.0,Pitched,South-West,False,False,False,False,False
Nepaltar,Kathmandu,"Nepaltar, Kathmandu",5500000.0,5.2,28600000.0,13.0,Pitched,South-West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",3300000.0,3.2,10560000.0,13.0,Gravel,South,False,False,False,False,False
Nepaltar,Kathmandu,"Nepaltar, Kathmandu",5700000.0,,,12.0,Pitched,South-West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4500000.0,3.2,14400000.0,13.0,Paved,North,False,False,False,False,False
Nepaltar,Kathmandu,"Nepaltar, Kathmandu",6000000.0,5.2,31200000.0,13.0,Pitched,South,False,False,False,False,False
Nepaltar,Kathmandu,"Nepaltar, Kathmandu",4500000.0,,,22.0,Gravel,West,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",4300000.0,6.2,26660000.0,13.0,Gravel,North-East,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",5500000.0,3.3,18150000.0,20.0,Gravel,South,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",3800000.0,,,20.0,Gravel,West,False,False,False,False,False
Kalanki,Kathmandu,"Kalanki, Kathmandu",5200000.0,,,13.0,Pitched,North-West,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",4500000.0,3.2,14400000.0,13.0,Gravel,West,False,False,False,False,False
Kalanki,Kathmandu,"Kalanki, Kathmandu",4000000.0,3.1,12400000.0,13.0,Pitched,North-East,False,False,False,False,False
Mulpani,Kathmandu,"Mulpani, Kathmandu",4300000.0,6.2,26660000.0,13.0,Gravel,North-East,False,False,False,False,False
Nagdaha,Lalitpur,"Nagdaha, Lalitpur",2100000.0,,,13.0,Gravel,East,False,False,False,False,False
Paknajol,Kathmandu,"Paknajol, Kathmandu",14000000.0,,,13.0,Pitched,South,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",,,4200000.0,13.0,Gravel,South,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",2800000.0,,,13.0,Gravel,South,False,False,False,False,False
Chasidol,Lalitpur,"Chasidol, Lalitpur",2700000.0,,,13.0,Gravel,North,False,False,False,False,False
Chasidol,Lalitpur,"Chasidol, Lalitpur",2600000.0,,,13.0,Gravel,South,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",5000000.0,,,13.0,Gravel,West,False,False,False,False,False
Ochu Height,Lalitpur,"Ochu Height, Lalitpur",3800000.0,,,13.0,Paved,East,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4500000.0,,,20.0,Gravel,East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3600000.0,,,16.0,Gravel,South-East,False,False,False,False,False
"Unknown, Kathmandu",Kathmandu,"Grande Hospital, Kathmandu",5500000.0,,,20.0,Pitched,North,False,False,False,False,False
Dharmasthali,Kathmandu,"Dharmasthali, Kathmandu",5500000.0,,,22.0,Pitched,South-East,False,False,False,False,False
Ochu Height,Lalitpur,"Ochu Height, Lalitpur",4500000.0,,,13.0,Gravel,South,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",6200000.0,,,20.0,Gravel,East,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",4300000.0,,,13.0,Gravel,South,False,False,False,False,False
Budhanilkantha,Kathmandu,"Budhanilkantha, Kathmandu",3500000.0,,,16.0,Pitched,East,False,False,False,False,False
Dillibazar,Kathmandu,"Dillibazar, Kathmandu",7500000.0,,,13.0,Pitched,South,False,False,False,False,False
Panchkhal,Kavrepalanchok,"Panchkhal, Kavrepalanchok",,,100000000.0,,Pitched,East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5200000.0,,,13.0,Paved,South,False,False,False,False,False
Bhatkeko Pool,Kathmandu,"Bhatkeko Pool, Kathmandu",9000000.0,8.1,72900000.0,30.0,Pitched,South,False,False,False,False,False
Banepa,Kavrepalanchok,"Banepa, Kavrepalanchok",4800000.0,4.1,19680000.0,20.0,Pitched,South-West,False,False,False,False,False
Banepa,Kavrepalanchok,"Banepa, Kavrepalanchok",2000000.0,25.3,50600000.0,15.0,Gravel,North,False,False,False,False,False
Dhulikhel,Kavrepalanchok,"Dhulikhel, Kavrepalanchok",400000.0,,,15.0,Gravel,South,False,False,False,True,False
Dhulikhel,Kavrepalanchok,"Dhulikhel, Kavrepalanchok",1500000.0,4.3,6450000.0,15.0,Pitched,South-West,False,False,False,False,False
Bisankhunarayan,Lalitpur,"Bisankhunarayan, Lalitpur",1200000.0,,,20.0,Pitched,South-West,False,False,False,False,False
Darjeeling Height,Bhaktapur,"Darjeeling Height, Bhaktapur",3500000.0,,,20.0,Gravel,South-West,False,False,False,False,False
Kharipati,Bhaktapur,"Kharipati, Bhaktapur",3000000.0,,,20.0,Gravel,North,False,False,False,False,False
Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",4000000.0,3.2,12800000.0,14.0,Pitched,West,False,False,False,False,False
Katunje,Bhaktapur,"Katunje, Bhaktapur",4800000.0,,,15.0,Pitched,East,False,False,False,False,False
"Unknown, Kathmandu",Kathmandu,"Grande Hospital, Kathmandu",4900000.0,,,13.0,Gravel,West,False,False,False,False,False
Shankhu Patichaur,Kavrepalanchok,"Shankhu Patichaur, Kavrepalanchok",375000.0,,,13.0,Gravel,South,False,False,False,True,False
Shankhu Patichaur,Kavrepalanchok,"Shankhu Patichaur, Kavrepalanchok",400000.0,42.1,16840000.0,16.0,Gravel,South,False,False,False,True,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",5000000.0,,,16.0,Gravel,South,False,False,False,False,False
Sudal,Bhaktapur,"Sudal, Bhaktapur",2300000.0,,,13.0,Gravel,South-East,False,False,False,False,False
Gatthaghar,Bhaktapur,"Gatthaghar, Bhaktapur",5800000.0,5.2,30160000.0,24.0,Paved,North,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",4200000.0,,,13.0,Gravel,South-East,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",5200000.0,,,13.0,Paved,North-West,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",4600000.0,,,13.0,Paved,West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5800000.0,5.1,29579999.999999996,13.0,Paved,South,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",5000000.0,,,13.0,Paved,East,False,False,False,False,False
Gatthaghar,Bhaktapur,"Gatthaghar, Bhaktapur",5700000.0,6.1,34770000.0,20.0,Paved,North-East,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4000000.0,,,12.0,Paved,South,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",5500000.0,3.1,17050000.0,20.0,Gravel,East,False,False,False,False,False
Basundhara,Kathmandu,"Basundhara, Kathmandu",5500000.0,,,13.0,Paved,East,False,False,False,False,False
Chobhar,Kathmandu,"Chobhar, Kathmandu",1590000.0,,,16.0,Pitched,South,False,False,False,False,False
Duwakot,Bhaktapur,"Duwakot, Bhaktapur",2600000.0,,,13.0,Gravel,South,False,False,False,False,False
Helmet Danda,Bhaktapur,"Helmet Danda, Bhaktapur",4000000.0,2.2,8800000.0,13.0,Paved,North-West,False,False,False,False,False
Mahadevtar,Kathmandu,"Mahadevtar, Kathmandu",5961538.461538461,5.2,31000000.0,13.0,Pitched,West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",2800000.0,,,20.0,Paved,South-West,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",,,8000000.0,20.0,Gravel,East,False,False,False,False,False
Sudal,Bhaktapur,"Sudal, Bhaktapur",2400000.0,4.2,10080000.0,32.0,Pitched,East,False,False,False,False,False
Nagdaha,Lalitpur,"Nagdaha, Lalitpur",2100000.0,,,13.0,Gravel,East,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",6200000.0,5.3,32860000.0,20.0,Gravel,West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4300000.0,3.3,14190000.0,13.0,Paved,East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",3800000.0,,,20.0,Paved,South,False,False,False,False,False
Satungal,Kathmandu,"Satungal, Kathmandu",3700000.0,3.1,11470000.0,13.0,Gravel,North,False,False,False,False,False
Satungal,Kathmandu,"Satungal, Kathmandu",3700000.0,,,13.0,Gravel,South,False,False,False,False,False
Dadhikot,Bhaktapur,"Dadhikot, Bhaktapur",2400000.0,5.2,12480000.0,20.0,Gravel,East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",2800000.0,,,20.0,Paved,South-West,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5700000.0,,,20.0,Gravel,West,False,False,False,False,False
Devdaha,Rupandehi,"Devdaha, Rupandehi",,,,,,South,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",5800000.0,8.3,48140000.00000001,20.0,Paved,East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4000000.0,4.2,16800000.0,13.0,Gravel,South,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",6500000.0,3.3,21450000.0,13.0,Gravel,South-East,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",3200000.0,2.3,7359999.999999999,10.0,Gravel,North,False,False,False,False,False
Baluwatar,Kathmandu,"Baluwatar, Kathmandu",6800000.0,4.1,27879999.999999996,12.0,Pitched,North,False,False,False,False,False
Panchetar,Kathmandu,"Panchetar, Kathmandu",4047619.0476190476,4.2,17000000.0,20.0,Pitched,South,False,False,False,False,False
Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",4300000.0,4.2,18060000.0,12.0,Paved,South,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",5000000.0,,,13.0,Paved,East,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",4200000.0,,,13.0,Gravel,South,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3800000.0,4.2,15960000.0,13.0,Gravel,West,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3700000.0,,,13.0,Paved,North,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",5000000.0,,,13.0,Gravel,North,False,False,False,False,False
Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",3600000.0,3.1,11160000.0,13.0,Gravel,South,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",3200000.0,2.3,7359999.999999999,10.0,Gravel,North,False,False,False,False,False
Nagdaha,Lalitpur,"Nagdaha, Lalitpur",2100000.0,,,13.0,Gravel,East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4000000.0,2.2,8800000.0,13.0,Gravel,South-East,False,False,False,False,False
Duwakot,Bhaktapur,"Duwakot, Bhaktapur",3100000.0,,,13.0,Gravel,East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",,,75000000.0,13.0,Paved,South-West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",2800000.0,,,20.0,Paved,South-West,False,False,False,False,False
Jawalakhel,Lalitpur,"Jawalakhel, Lalitpur",,,40000000.0,12.0,Pitched,South,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3600000.0,3.3,11880000.0,13.0,Gravel,South,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",4400000.0,4.2,18480000.0,20.0,Paved,South-West,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",4800000.0,,,26.0,Paved,West,False,False,False,False,False
Pikhel,Bhaktapur,"Pikhel, Bhaktapur",1363636.3636363638,3.3,4500000.0,13.0,Gravel,,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4300000.0,3.1,13330000.0,12.0,Gravel,North,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",5400000.0,,,20.0,Paved,West,False,False,False,False,False
Bafal,Kathmandu,"Bafal, Kathmandu",6700000.0,,,13.0,Paved,East,False,False,False,False,False
Nagdaha,Lalitpur,"Nagdaha, Lalitpur",2100000.0,,,13.0,Gravel,East,False,False,False,False,False
Chobhar,Kathmandu,"Chobhar, Kathmandu",3000000.0,,,12.0,Paved,East,False,False,False,False,False
Setipakha,Lalitpur,"Setipakha, Lalitpur",,5.3,,23.0,Paved,East,False,False,False,False,False
Suryabinayak,Bhaktapur,"Suryabinayak, Bhaktapur",1113000.0,,,,,South,False,False,False,False,False
Manamaiju,Kathmandu,"Manamaiju, Kathmandu",4500000.0,,,,,East,False,False,False,False,False
Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",878048.7804878049,4.1,3600000.0,13.0,Paved,South,False,False,False,False,False
Sanothimi,Bhaktapur,"Sanothimi, Bhaktapur",4200000.0,4.3,18060000.0,13.0,Paved,South,False,False,False,False,False
Machhegaun,Kathmandu,"Machhegaun , Kathmandu",1900000.0,,,13.0,Paved,South-East,False,False,False,False,False
Bafal,Kathmandu,"Bafal, Kathmandu",5500000.0,,,13.0,Paved,South-East,False,False,False,False,False
Rudreshwor,Kathmandu,"Rudreshwor, Kathmandu",5000000.0,,,20.0,Pitched,West,False,False,False,False,False
Bafal,Kathmandu,"Bafal, Kathmandu",5500000.0,,,13.0,Paved,West,False,False,False,False,False
Kalanki,Kathmandu,"Kalanki, Kathmandu",5000000.0,,,13.0,Paved,West,False,False,False,False,False
Dhumbarahi,Kathmandu,"Dhumbarahi, Kathmandu",6700000.0,,,13.0,Pitched,East,False,False,False,False,False
Tokha,Kathmandu,"Tokha, Kathmandu",3500000.0,,,20.0,Pitched,South,False,False,False,False,False
Dachhila,Dhading,"Dachhila, Dhading",256250.0,,,22.0,Pitched,East,False,False,False,True,False
Sitapaila,Kathmandu,"Sitapaila, Kathmandu",865384.6153846154,5.2,4500000.0,21.0,Pitched,North,False,False,False,False,False
Budhanilkantha,Kathmandu,"Budhanilkantha, Kathmandu",3800000.0,13.1,49780000.0,16.0,Pitched,East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3750000.0,,,13.0,Pitched,North,False,False,False,False,False
Deuwa Chowk,Kathmandu,"Deuwa Chowk, Kathmandu",,,,13.0,Paved,South-East,False,False,False,False,False
Deuwa Chowk,Kathmandu,"Deuwa Chowk, Kathmandu",6000000.0,,,13.0,Pitched,South-East,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",2700000.0,,,13.0,Gravel,East,False,False,False,False,False
Sunakothi,Lalitpur,"Sunakothi, Lalitpur",4500000.0,,,14.0,Paved,East,False,False,False,False,False
Setipakha,Lalitpur,"Setipakha, Lalitpur",5500000.0,,,20.0,Paved,South-East,False,False,False,False,False
Sunakothi,Lalitpur,"Sunakothi, Lalitpur",4500000.0,,,12.0,Gravel,South-East,False,False,False,False,False
Chunikhel,Kathmandu,"Chunikhel, Kathmandu",3000000.0,,,20.0,Pitched,South,False,False,False,False,False
Sunakothi,Lalitpur,"Sunakothi, Lalitpur",5000000.0,,,20.0,Paved,South-East,False,False,False,False,False
Sunakothi,Lalitpur,"Sunakothi, Lalitpur",4500000.0,,,20.0,Paved,North-East,False,False,False,False,False
Suryadarshan Height,Kathmandu,"Suryadarshan Height, Kathmandu",4000000.0,3.3,13200000.0,13.0,Paved,North-East,False,False,False,False,False
Kakani,Nuwakot,"Kakani, Nuwakot",,,,26.0,Gravel,North,False,False,False,False,False
Sitapaila,Kathmandu,"Sitapaila, Kathmandu",2500000.0,5.1,12750000.0,20.0,Paved,North-West,False,False,False,False,False
Dharmasthali,Kathmandu,"Dharmasthali, Kathmandu",3500000.0,4.1,14349999.999999998,20.0,Gravel,South,False,False,False,False,False
Kavresthali,Kathmandu,"Kavresthali, Kathmandu",2700000.0,,,13.0,Gravel,South-East,False,False,False,False,False
Jitpurphedi,Kathmandu,"Jitpurphedi, Kathmandu",2350000.0,4.1,9635000.0,20.0,Gravel,North,False,False,False,False,False
Jarankhu,Kathmandu,"Jarankhu, Kathmandu",3300000.0,,,12.0,Gravel,East,False,False,False,False,False
Pasikot,Kathmandu,"Pasikot, Kathmandu",4500000.0,,,22.0,Pitched,West,False,False,False,False,False
Thankot,Kathmandu,"Thankot, Kathmandu",3350000.0,,,13.0,Paved,South,False,False,False,False,False
Bungamati,Lalitpur,"Bungamati, Lalitpur",2500000.0,3.2,8000000.0,20.0,Gravel,East,False,False,False,False,False
Bhangal,Kathmandu,"Bhangal , Kathmandu",4500000.0,,,20.0,Gravel,East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4300000.0,,,13.0,Gravel,West,False,False,False,False,False
Damaitar,Lalitpur,"Damaitar, Lalitpur",,,,13.0,Gravel,North,False,False,False,False,False
Rudreshwor,Kathmandu,"Rudreshwor, Kathmandu",6000000.0,,,20.0,Pitched,North-East,False,False,False,False,False
Sanepa,Lalitpur,"Sanepa, Lalitpur",9000000.0,4.0,36000000.0,20.0,Pitched,East,False,False,False,False,False
Kalanki,Kathmandu,"Kalanki, Kathmandu",8000000.0,4.2,33600000.0,13.0,Paved,West,False,False,False,False,False
Kalanki,Kathmandu,"Kalanki, Kathmandu",7000000.0,3.1,21700000.0,13.0,Paved,South-East,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",3800000.0,4.2,15960000.0,,,South-East,False,False,False,False,False
Pukhulachhi,Kathmandu,"Pukhulachhi, Kathmandu",2250000.0,,,12.0,Paved,East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4500000.0,,,26.0,Pitched,North-East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4300000.0,3.1,13330000.0,13.0,Paved,North,False,False,False,False,False
Thankot,Kathmandu,"Thankot, Kathmandu",2600000.0,,,13.0,Gravel,South-East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4500000.0,9.2,41400000.0,13.0,Gravel,South,False,False,False,False,False
Dhapakhel,Lalitpur,"Dhapakhel, Lalitpur",4200000.0,3.2,13440000.0,13.0,Pitched,,False,False,False,False,False
Kalanki,Kathmandu,"Kalanki, Kathmandu",4100000.0,6.2,25420000.0,13.0,Pitched,South-East,False,False,False,False,False
Dhumbarahi,Kathmandu,"Dhumbarahi, Kathmandu",,,23000000.0,13.0,Pitched,South,False,False,False,False,False
Dhumbarahi,Kathmandu,"Dhumbarahi, Kathmandu",8500000.0,,,20.0,Pitched,North,False,False,False,False,False
Sanagaun Lubhu,Lalitpur,"Sanagaun Lubhu, Lalitpur",3200000.0,,,13.0,Paved,North,False,False,False,False,False
Ochu Height,Lalitpur,"Ochu Height, Lalitpur",5000000.0,,,16.0,Gravel,South,False,False,False,False,False
Chapagaun,Lalitpur,"Chapagaun, Lalitpur",1580000.0,3.3,5214000.0,13.0,Gravel,West,False,False,False,False,False
Suryadarshan Height,Kathmandu,"Suryadarshan Height, Kathmandu",,4.5,,16.0,Pitched,South-East,False,False,False,False,False
Bouddha,Kathmandu,"Bouddha, Kathmandu",,,,12.0,Pitched,South,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3800000.0,4.1,15579999.999999998,16.0,Paved,South-East,False,False,False,False,False
Chhaimale,Kathmandu,"Chhaimale, Kathmandu",619000.0,,,13.0,Paved,East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",3900000.0,3.3,12870000.0,10.0,Gravel,West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4000000.0,4.2,16800000.0,13.0,Gravel,South,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",3800000.0,4.2,15960000.0,13.0,Gravel,East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",3800000.0,,,15.0,Gravel,South,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",,,,13.0,Paved,North-East,False,False,False,False,False
Katunje,Bhaktapur,"Katunje, Bhaktapur",3800000.0,4.1,15579999.999999998,13.0,Paved,South-West,False,False,False,False,False
Naya Naikap,Kathmandu,"Naya Naikap, Kathmandu",4000000.0,,,26.0,Paved,South-East,False,False,False,False,False
