neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
Dadhikot,Bhaktapur,"Dadhikot, Bhaktapur",3800000.0,4.2,15960000.0,16.0,Paved,South-East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4000000.0,4.2,16800000.0,20.0,Paved,South-East,False,False,False,False,False
Sirutar,Bhaktapur,"Sirutar, Bhaktapur",3700000.0,4.2,15540000.0,13.0,Paved,East,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5500000.0,4.2,23100000.0,13.0,Gravel,South,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5200000.0,5.2,27040000.0,16.0,Paved,South-East,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5800000.0,4.2,24360000.0,13.0,Paved,East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",5000000.0,3.2,16000000.0,13.0,Gravel,West,False,False,False,False,False
Budhanilkantha,Kathmandu,"Budhanilkantha, Kathmandu",3500000.0,,,20.0,Pitched,South-East,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4000000.0,4.3,17200000.0,20.0,Paved,West,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4000000.0,,,20.0,Gravel,West,False,False,False,False,False
Bhimdhunga,Kathmandu,"Bhimdhunga, Kathmandu",2800000.0,,,13.0,Paved,North-East,False,False,False,False,False
Tahachal,Kathmandu,"Tahachal, Kathmandu",8000000.0,,,,,North-West,False,False,False,False,False
Sirutar,Bhaktapur,"Sirutar, Bhaktapur",3500000.0,,,13.0,Paved,South-East,False,False,False,False,False
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",5500000.0,,,20.0,Gravel,East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4500000.0,,,22.0,Paved,North-East,False,False,False,False,False
Sipadol,Bhaktapur,"Sipadol, Bhaktapur",2000000.0,,,10.0,Paved,,False,False,False,False,False
Sirutar,Bhaktapur,"Sirutar, Bhaktapur",2500000.0,4.2,10500000.0,16.0,Gravel,West,False,False,False,False,False
Sitapaila,Kathmandu,"Sitapaila, Kathmandu",5200000.0,,,13.0,Paved,South-East,False,False,False,False,False
Lamatar,Lalitpur,"Lamatar, Lalitpur",2800000.0,,,13.0,Gravel,South,False,False,False,False,False
Sudal,Bhaktapur,"Sudal, Bhaktapur",2200000.0,,,20.0,Gravel,West,False,False,False,False,False
Mantar,Kathmandu,"Mantar, Kathmandu",5200000.0,3.3,17160000.0,20.0,Paved,West,False,False,False,False,False
Maharajgunj,Kathmandu,"Maharajgunj, Kathmandu",7000000.0,,,13.0,Pitched,East,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4700000.0,,,13.0,Gravel,East,False,False,False,False,False
Sudal,Bhaktapur,"Sudal, Bhaktapur",2200000.0,,,20.0,Gravel,,False,False,False,False,False
Naikap,Kathmandu,"Naikap, Kathmandu",4500000.0,,,13.0,Gravel,East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4600000.0,3.1,14260000.0,20.0,Gravel,North,False,False,False,False,False
Bafal,Kathmandu,"Bafal, Kathmandu",5800000.0,,,13.0,Alley,North-West,False,False,False,False,False
Sitapaila,Kathmandu,"Sitapaila, Kathmandu",4800000.0,6.2,29760000.0,13.0,Paved,South-East,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",3500000.0,3.2,11200000.0,13.0,Gravel,West,False,False,False,False,False
Dibyeshwori Townplanning,Bhaktapur,"Dibyeshwori Townplanning, Bhaktapur",6500000.0,3.2,20800000.0,20.0,Paved,East,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4700000.0,4.1,19270000.0,13.0,Gravel,West,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4800000.0,3.2,15360000.0,20.0,Gravel,North,False,False,False,False,False
Hattigauda,Kathmandu,"Hattigauda, Kathmandu",3500000.0,,,13.0,Pitched,South,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",6000000.0,,,24.0,Paved,West,False,False,False,False,False
Bhandari Marg,Lalitpur,"Bhandari Marg, Lalitpur",3800000.0,5.2,19760000.0,13.0,Paved,South-East,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",4500000.0,,,13.0,Paved,North-East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",2800000.0,4.2,11760000.0,13.0,Gravel,West,False,False,False,False,False
Ochu Height,Lalitpur,"Ochu Height, Lalitpur",5300000.0,,,13.0,Paved,South-East,False,False,False,False,False
Sitapaila,Kathmandu,"Sitapaila, Kathmandu",2800000.0,,,13.0,Gravel,West,False,False,False,False,False
