url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood
https://lalpurjanepal.com.np/properties/land-for-sale-at-dallu-8537,lalpurja,house,Kathmandu,8537,Property Details,60 Lakh Per Aana,Residential,,,Paved,Yes,,"Kathmandu, Dallu",60 Lakh Per Aana,Sale,5.5 Aana,,13 Feet,F 50 Feet,2025 October 27,458.0,Kathmandu,15,1.7km,Dallu | Yachu Hair Oil,Birendra Military Hospital - 700m,10km,,,Arunodaya Academy Higher Secondary School - 300m,Modern Nepal Academy - 700m,,,,7.2km,8.5km,,,,,15,Dallu
https://lalpurjanepal.com.np/properties/house-for-sale-at-kalanki-8535,lalpurja,house,Kathmandu,8535,Property Details,3 Crore 60 Lakh,Commercial,South-East,2060,Paved,Yes,,"Kathmandu, Kalanki",3 Crore 60 Lakh,Sale,5.25 Aana,1026.75 square-feet,6 Feet,F 30 Feet,2025 October 27,491.0,Kathmandu,14,100m,Kalanki | Drishya Hotel,Sahid Memorable Hospital - 500m,9.5km,,,Nepalaya School - 100m,ED Mark College - 200m,,100m,,8.4km,10km,,,,,14,Kalanki
https://lalpurjanepal.com.np/properties/house-for-sale-at-basantapur-8534,lalpurja,house,Kathmandu,8534,Property Details,6 Crore,Commercial,West,2060,Gravelled,Yes,,"Kathmandu, Basantapur",6 Crore,Sale,3.75 Aana,1197.87 square-feet,8 Feet,F 50 Feet,2025 October 27,560.0,Kathmandu,19,1.5km,Basantapur | Kathmandu Durbar Square,Nardevi Aayurvedic Hospital - 600m,8.7km,,,The Rolling Stones School - 450m,Amrit Campus - 1.5km,,500m,,5.8km,7.3km,,,,,19,Basantapur
https://lalpurjanepal.com.np/properties/house-for-sale-at-budhanilkantha-8530,lalpurja,house,Kathmandu,8530,Property Details,6 Crore,Residential,East,2081,Soil Stabilized,Yes,Full Furnished,"Kathmandu, Budhanilkantha",6 Crore,Sale,5.25 Aana,1540.12 square-feet,,,2025 October 26,282.0,Budhanilkantha,04,4km,Budhanilkantha | Three Star Academy School,300m,4km,200m,400m,10m,200m,200m,200m,200m,4km,4km,300m,200m,200m,300m,200m,Budhanilkantha
https://lalpurjanepal.com.np/properties/house-for-sale-at-chamati-8515,lalpurja,house,Kathmandu,8515,Property Details,4 Crore 85 Lakh,Commercial,South-West,2072,Blacktopped,Yes,,"Kathmandu, Chamati",4 Crore 85 Lakh,Sale,3.5 Aana,1026.75 square-feet,21 Feet,F 50 Feet,2025 October 19,790.0,Kathmandu,15,500m,Chamati | AVM School,Kasthamandu Hospital - 550m,7.7km,,1km,AVM School - 100m,Toddler Academy - 180m,,500m,,6.2km,10km,,,,,15,Chamati
https://lalpurjanepal.com.np/properties/house-for-sale-at-pachdhara-halchowk-8513,lalpurja,house,Kathmandu,8513,Property Details,2 Crore 80 Lakh,Residential,North-East,2078,Gravelled,Yes,,"Kathmandu, Halchowk",2 Crore 80 Lakh,Sale,4 Aana,1898 square-feet,12 Feet,F 30 Feet,2025 October 19,518.0,Nagarjun,03,600m,Halchowk | Panchdhara Multipurpose Cooperatives,Manmohan Hospital - 2km,10km,,,The Excelsior School - 1km,Sitapaila College - 2km,,1km,,9km,12km,,,,,600m,Halchowk
https://lalpurjanepal.com.np/properties/house-for-rent-at-naxal-8512,lalpurja,house,Kathmandu,8512,Property Details,2 Lakh 50 Thousand Per Month,Commercial,West,2060,Blacktopped,Yes,,"Kathmandu, Naxal",2 Lakh 50 Thousand Per Month,Sale,16 Aana,3080.25 square-feet,14 Feet,F 40 Feet,2025 October 19,432.0,Kathmandu,04,2km,Naxal | Bhatbhateni,Om Hospital - 2km,4.8km,,500m,Tangal Secondary School - 1km,Shivapuri College - 2km,,100m,,2.6km,5.2km,,,,,04,Naxal
https://lalpurjanepal.com.np/properties/house-for-sale-at-kapan-lasuntar-8511,lalpurja,house,Kathmandu,8511,Property Details,4 Crore 55 Lakh,Residential,East,2080,Paved,Yes,Semi Furnished,"Kathmandu, Kapan",4 Crore 55 Lakh,Sale,3.5 Aana,5000 square-feet,13 Feet,F 34 Feet,2025 October 16,265.0,Budhanilkantha,11,800m,Kapan | Kapan Gumba,300m,4km,250m,4km,300m,500m,250m,250m,250m,5km,4km,250m,250m,300m,350m,350m,Kapan
https://lalpurjanepal.com.np/properties/house-for-sale-at-bafal-8509,lalpurja,house,Kathmandu,8509,Property Details,10 Crore,Residential,North,2067,Blacktopped,Yes,,"Kathmandu, Bafal",10 Crore,Sale,9 Aana,1711.25 square-feet,13 Feet,F 50 Feet,2025 October 16,382.0,Kathmandu,13,100m,Bafal | Chakhu Mandir,Sahid Memorable Hospital - 900m,10km,,,Wilson Academy - 500m,Siddhartha Multiple College - 800m,,500m,,9km,11km,,,,,13,Bafal
https://lalpurjanepal.com.np/properties/house-for-sale-at-syuchatar-8508,lalpurja,house,Kathmandu,8508,Property Details,2 Crore 75 Lakh,Residential,North-East,2082,Blacktopped,Yes,,"Kathmandu, Syuchatar",2 Crore 75 Lakh,Sale,4 Aana,1095.2 square-feet,10 Feet,F 50 Feet,2025 October 16,919.0,Kathmandu,08,2km,Syuchatar | Newa Store,Sahid Memorable Hospital - 1.5km,12km,,,Beersheba National Secondary School - 500m,Siddhartha Multiple College - 1.5km,,1km,,11km,14km,,,,,08,Syuchatar
