url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/full-furnished-bungalow-for-sale-lokanthali-bhaktapur-4088,lalpurja,house,Bhaktapur,4088,Property Details,6 Crore 90 Lakh,Residential,North-East,2072,Gravelled,Yes,Full Furnished,"Bhaktapur, Lokanthali",6 Crore 90 Lakh,Sale,8.5 Aana,2243 square-feet,16 Feet,40 Feet Front Part,2024 December 12,343,,,1.5km,Ward Office Madhyapur Thimi 01,400m,2.8km,100m,3km,300m,300m,,300m,,3.9km,4.5km,,,,,300m,Lokanthali,8,1,6,1,3,2.5
https://lalpurjanepal.com.np/properties/semi-furnished-house-for-sale-darjeeling-height-bhaktapur-4068,lalpurja,house,Bhaktapur,4068,Property Details,2 Crore 90 Lakh,Semi-commercial,North-West,2077 BS,Blacktopped,Yes,,"Bhaktapur, Suryabinayak",2 Crore 90 Lakh,Sale,4.15 Aana,1326.18 square-feet,13 Feet,45 feet - 30 feet,2024 December 11,301,,,,Bhadgaon Sports and Leisure,2km,13km,100m,4.9 km,300m,,,300m,,14km,15km,,,,,1km,Suryabinayak,11,3,4,2,1,3.5
https://lalpurjanepal.com.np/properties/fully-furnished-bungalow-for-sale-radhe-radhe-bhaktapur-4026,lalpurja,house,Bhaktapur,4026,Property Details,5 Crore 75 Lakh,Residential,North,2021,Blacktopped,Yes,Full Furnished,"Bhaktapur, Radhe Radhe",5 Crore 75 Lakh,Sale,5.65 Aana,916 square-feet,7.5 Meter,Width - 27 feet | Length - 34 feet,2024 December 9,336,,,6km,Bhaktapur Bhatbhateni,1km,7km,200m,800m,300m,400m,,500m,,9km,9.8km,,,,,800m,Radhe Radhe,5,1,6,1,2,2.5
https://lalpurjanepal.com.np/properties/3-aana-house-for-sale-bhaktapur-4017,lalpurja,house,Bhaktapur,4017,Property Details,2 Crore,Residential,South-East,2024,Gravelled,Yes,Semi Furnished,"Bhaktapur, Changunarayan",2 Crore,Sale,3 Aana,700.2 square-feet,13 Feet,Width 25 Feet Length 41 Feet,2024 December 8,1009,Changunarayan,3.0,10km,Driving Skill Development Center,2.5 km,5 km,200m,5km,300m,250m,700m,500m,500m,13km,14km,300m,400m,250m,500m,1km,Changunarayan,6,3,5,3,1,3.5
https://lalpurjanepal.com.np/properties/south-facing-house-balkot-bhaktapur-3971,lalpurja,house,Bhaktapur,3971,Property Details,5 Crore 20 Lakh,Residential,South,2064,Soil Stabilized,Yes,Semi Furnished,"Bhaktapur, Balkot",5 Crore 20 Lakh,Sale,10.5 Aana,3839 square-feet,10 Feet,,2024 December 5,247,Suryabinak,2.0,7 km,Balkot | Dhara Pati Chowk,4.3 km,8 km,300 m,3.4 km,300 m,1 km,300 m,100 m,500 m,9.3 km,11 km,400 m,400 m,300 m,200 m,800 m,Balkot,7,2,4,2,5,2.5
https://lalpurjanepal.com.np/properties/bungalow-for-sale-rose-village-balkot-bhaktapur-3967,lalpurja,house,Bhaktapur,3967,Property Details,4 Crore 60 Lakh,Residential,North-East,,Blacktopped,Yes,Semi Furnished,"Bhaktapur, Balkot",4 Crore 60 Lakh,Sale,5.63 Aana,3200 square-feet,20 Feet,,2024 December 5,1714,Suryabinyak,2.0,5.8 km,Balkot | Rose Village Housing,1 km,5.2 km,200 m,1.5 km,300 m,300 m,100 m,10 m,300 m,8.3 km,10 km,200 m,300 m,200 m,300 m,1.5 km,Balkot,3,2,4,2,4,2.5
https://lalpurjanepal.com.np/properties/35-storey-house-for-sale-nekosera-bhaktapur-3965,lalpurja,house,Bhaktapur,3965,Property Details,2 Crore 65 Lakh,Residential,West,2081,Soil Stabilized,Yes,Semi Furnished,"Bhaktapur, Radhe Radhe",2 Crore 65 Lakh,Sale,2.57 Aana,2293.43 square-feet,20 Feet,F 29 Feet,2024 December 5,265,Madhyapur Thimi,9.0,8.2 km,Radhe Radhe | Nekosera,2 km,9.1 km,400 m,900 m,400 m,1.8 km,400 m,200 m,200 m,8.9 km,9.7 km,300 m,300 m,400 m,300 m,2 km,Radhe Radhe,7,3,3,3,3,3.5
https://lalpurjanepal.com.np/properties/east-facing-house-for-sale-bhaktapur-madhyapur-thimi-3839,lalpurja,house,Bhaktapur,3839,Property Details,2 Crore 40 Lakh,Residential,East,2080,Soil Stabilized,Yes,Semi Furnished,"Bhaktapur, Madhyapur Thimi",2 Crore 40 Lakh,Sale,3 Aana,1800 square-feet,13 Feet,F 30 Feet,2024 November 28,338,Madhyapur Thimi,9.0,6.4 km,Bhaktapur | Nekosera,2 km,9.1 km,400 m,900 m,400 m,1.8 km,400 m,300 m,200 m,8.9 km,9.7 km,300 m,300 m,400 m,300 m,2 km,Madhyapur Thimi,5,3,3,3,5,2.5
https://lalpurjanepal.com.np/properties/north-west-facing-house-for-sale-bhaktapur-3834,lalpurja,house,Bhaktapur,3834,Property Details,2 Crore 30 Lakh,Residential,North-West,2076,Gravelled,Yes,Semi Furnished,"Bhaktapur, Madhyapur Thimi",2 Crore 30 Lakh,Sale,4 Aana,1850 square-feet,13 Feet,,2024 November 28,297,Madhyapur Thimi,9.0,3.5 km,Madhyapur Thimi | Nekosera,3.4 km,4.5 km,200 m,2 km,200 m,200 m,200 m,100 m,400 m,9.3 km,11 km,200 m,300 m,100 m,300 m,1.2 km,Madhyapur Thimi,4,2,3,2,4,2.5
https://lalpurjanepal.com.np/properties/east-facing-house-for-sale-kausaltar-bhaktapur-3761,lalpurja,house,Bhaktapur,3761,Property Details,1 Crore 80 Lakh,Residential,East,2055,alley,Yes,Unfurnished,"Bhaktapur, Kausaltar",1 Crore 80 Lakh,Sale,3.45 Aana,1850 square-feet,10 Feet,,2024 November 25,985,Madhyapur Thimi,3.0,2.6 km,Kausaltar | Aryal Tole,2.6 km,4.9 km,300 m,3.5 km,300 m,2 km,300 m,30 m,500 m,6.8 km,9.3 km,400 m,500 m,500 m,700 m,900 m,Kausaltar,5,2,3,2,3,2.5
