ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
HB-01F416,"Commercial Land for Sale – Dhungedhara, Banasthali","Sachin Hardware Centre, Kathmandu-15, Kathmandu",Kathmandu,Sachin Hardware Centre,,120000000.0,9.934258582907232,12079411.764705881,120000000.0,False,False,False,False
HB-BBEA40,Land urgent sale at Saraswati khel,"Changunarayan-1, Bhaktapur, Bagmati Pradesh",Bhaktapur,Changunarayan,Above 20 Ft,2000000.0,6.0,2000000.0,12000000.0,False,False,False,False
HB-D62F20,land for sale,"Autism Care Nepal Society, Lalitpur-29, Lalitpur",Lalitpur,Autism Care  Society,Above 20 Ft,9500000.0,3.75,2533333.3333333335,9500000.0,False,False,False,False
HB-76D1EF,KUPONDOLE – 8 AANA LAND FOR SALE,"Kupondole Rd, Kupondol Marg, Lalitpur-10, Lalitpur",Lalitpur,Kupondole Rd,Pitched Road,88000000.0,8.0,11000000.0,88000000.0,False,False,False,False
HB-8A4B8D,"8 Aana land for sale in Taukhel,Machchhegaun .","Chandagiri Furniture And Sofa Hub, Chandragiri-11, Kathmandu",Kathmandu,Chandragiri,Gravel Road,38400000.0,8.0,4800000.0,38400000.0,False,False,False,False
HB-D00826,sale,"Ban Danda Marg, Lalitpur-25, Lalitpur, Bagmati Pradesh",Lalitpur,Ban Danda Marg,Above 20 Ft,5800000.0,5.0,1160000.0,5800000.0,False,False,False,False
HB-9EF6B4,Sasto jagga,"Lalitpur Nepal, Mahalaxmi-4, Lalitpur",Lalitpur,Mahalaxmi,,650000.0,10.0,650000.0,6500000.0,False,False,False,False
HB-C08599,2.5 aana land sale on nepaltar Kathmandu,"Nepaltar, Ratna Park - Phutang, Tarakeshwor-11, Kathmandu",Kathmandu,Ratna Park,Pitched Road,7000000.0,2.5,2800000.0,7000000.0,False,False,False,False
HB-20BF88,Land for sale,"Sano Bharyang, Nagarjun-2, Kathmandu, Bagmati Pradesh",Kathmandu,Sano Bharyang,13-20 Ft,25000000.0,5.0,5000000.0,25000000.0,False,False,False,False
HB-E8191A,18 aana Land for Sale in Danchhi,"Kageshwori Manahora-3, Kathmandu, Bagmati Pradesh",Kathmandu,Kageshwori Manahora,,36000000.0,18.0,2000000.0,36000000.0,False,False,False,False
HB-D30C10,Land on Sale at Sundarbasti,"Sundar Basti Marga, Budhanilakantha-1, Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,4700000.0,5.0,4700000.0,23500000.0,False,False,False,False
HB-C1CB2A,Land on sale at Godawari Taukhel,"Taukhel, Godawari-3, Lalitpur",Lalitpur,Taukhel,Pitched Road,6200000.0,6.6875,6200000.0,41462500.0,False,False,False,False
HB-F7F213,land on sale kathmandu ko lagimpa haitma ho,"Maharajganj, लाजिम्पाट सडक, Kathmandu-3, Kathmandu, Bagmati Pradesh",Kathmandu,Maharajganj,13-20 Ft,8000000.0,4.0,2000000.0,8000000.0,False,False,False,False
HB-3163BA,land for sale dholaiti lalitpur 3 aana,"Euro Kids, कान्ति लोकपथ, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Euro Kids,13-20 Ft,6000000.0,3.0,2000000.0,6000000.0,False,False,False,False
HB-55D857,Medicity Hospital Najikai 1 Ropani 3 Paisa jagga,"Nakkhu Jal Binayak Marg, Lalitpur-18, Lalitpur, Bagmati Pradesh",Lalitpur,Nakkhu Jal Binayak Marg,Pitched Road,67.0,16.75,6700000.0,112225000.0,False,False,False,False
HB-FBB6F1,near by 1000 ropani,"Suryabinayak-9, Bhaktapur, Bagmati Pradesh",Bhaktapur,Suryabinayak,Gravel Road,450.0,4.0,45000000.0,180000000.0,False,False,False,False
HB-DE8393,"— 4.5 Aana Land For Sale — 📍Pasikot,","kapurchowk road, Budhanilakantha-4, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,Above 20 Ft,6500000.0,4.0,1625000.0,6500000.0,False,False,False,False
HB-2A5D7E,land for sale in chapali,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,5000000.0,10.0,5000000.0,50000000.0,False,False,False,False
HB-4840BB,Land sale near Chobar Dry Port,"Chobhar Dry Port, Kirtipur-6, Kathmandu",Kathmandu,Chobhar Dry Port,Above 20 Ft,3400000.0,4.0,3400000.0,13600000.0,False,False,False,False
HB-3DD494,12 Aana Land For sale In Koteshwor,"Koteshwor, Kathmandu-32, Kathmandu",Kathmandu,Koteshwor,,8000000.0,12.0,8000000.0,96000000.0,False,False,False,False
HB-E33B85,Land on sale,"Godawari-5, Lalitpur, Bagmati Pradesh",Lalitpur,Godawari,Gravel Road,650000.0,22.0,650000.0,14300000.0,False,False,False,False
HB-F4C8CC,Commercial or Residential Land On Sale At Shantina,"Shantinagar, Radha Mohan Marga, Kathmandu-31, Kathmandu",Kathmandu,Shantinagar,Above 20 Ft,10000000.0,8.0,1250000.0,10000000.0,False,False,False,False
HB-33380D,land for sale in budhanilkantha,"Rudreswar Chowk, Budhanilakantha-5, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,5500000.0,3.0,1833333.3333333333,5500000.0,False,False,False,False
HB-BD4CD8,4 ana land for sale at Naikap near highway,"Chandragiri-14, Kathmandu, Bagmati Pradesh",Kathmandu,Chandragiri,,3500000.0,4.0,3500000.0,14000000.0,False,False,False,False
HB-0ABD18,Land On Sale At Budhanilkantha,"Budhanilkantha School, Budhanilakantha-3, Kathmandu",Kathmandu,Budhanilkantha,Gravel Road,3500000.0,16.0,3500000.0,56000000.0,False,False,False,False
HB-CB3C21,Land on sale at viral planning surayabinayak 8 bkt,"Suryabinayak-8, Bhaktapur, Bagmati Pradesh",Bhaktapur,Suryabinayak,Above 20 Ft,9062500.0,3.0,3020833.3333333335,9062500.0,False,False,False,False
HB-867964,5 ropani Land for Sale In Sankhu,"salinadi road, Shankharapur, Kathmandu",Kathmandu,Shankharapur,Above 20 Ft,1500000.0,86.0,1500000.0,129000000.0,False,False,False,True
HB-19342B,Land On Sale At Budhanilkantha,"Budhanilkantha, Budhanilakantha-2, Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,4500000.0,4.0,1125000.0,4500000.0,False,False,False,False
HB-6451D5,land for sale bhaisepati magargau lalitpur 4 aana,"Sainbu, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Sainbu,Above 20 Ft,5300000.0,4.0,1325000.0,5300000.0,False,False,False,False
HB-4D0A4B,भक्तपुर झौखेल ७ (16 aana land Sell ),"Technerd Gadgets, Changunarayan-3, Bhaktapur",Bhaktapur,Technerd Gadgets,Above 20 Ft,2500000.0,16.0,2500000.0,40000000.0,False,False,False,False
HB-B313E9,LAND FOR SALE BHAKTAPUR SALLAGHARI KATUNJE SUWARNA,"Chundevi, Suryabinayak-5, Bhaktapur, Bagmati Pradesh",Bhaktapur,Chundevi,13-20 Ft,3500000.0,6.0,3500000.0,21000000.0,False,False,False,False
HB-625CD9,BHAISEPATI NAKKHUDOLE – 4 AANA LAND FOR SALE,"Bhaisepati, Kirtipur-6, Kathmandu",Kathmandu,Bhaisepati,,32500000.0,4.0,8125000.0,32500000.0,False,False,False,False
HB-F56763,BAGDOLE – 7 ANA LAND FOR SALE,"Bagdole-4, Home No.195, Lalitpur-4, Lalitpur",Lalitpur,Bagdole,Pitched Road,36400000.0,7.0,5200000.0,36400000.0,False,False,False,False
HB-257D52,2.5 Anna Land on Sale Naya Naikap,"Naikap, Chandragiri-14, Kathmandu",Kathmandu,Naikap,Gravel Road,3700000.0,2.5,1480000.0,3700000.0,False,False,False,False
HB-41CEDB,1 ropani land on demand from pepsicola !,"Pepsicola, Bafal Marg, Kathmandu-13, Kathmandu",Kathmandu,Pepsicola,Pitched Road,6000000.0,16.0,6000000.0,96000000.0,False,False,False,False
HB-180B6E,"34 Aana Land For Sale At Sankhu, Salinadi","salinadi road, Shankharapur, Kathmandu",Kathmandu,Shankharapur,13-20 Ft,1300000.0,34.0,1300000.0,44200000.0,False,False,False,False
HB-938167,Land And House For Sale Baneshwor,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,Above 20 Ft,105000000.0,10.0,10500000.0,105000000.0,False,False,False,False
HB-6BFA52,Sasto ma 3 ana 40lac only,"Police Sector, Matatirtha, Chandragiri-8, Kathmandu",Kathmandu,Police Sector,,4000000.0,3.0,1333333.3333333333,4000000.0,False,False,False,False
HB-AE4A83,"Plotted Land Sale with Purja, VIP Dhapakhel Height","Airawa Tol, Hattiban, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Airawa Tol,13-20 Ft,4000000.0,4.0,1000000.0,4000000.0,False,False,False,False
HB-089897,land for sale,"706 Tikhedebal Marg, Jambu Tole, Shovahiti, Jambu Marg, Lalitpur-14, Lalitpur, Bagmati Pradesh",Lalitpur,Jambu Tole,,5500000.0,6.0,5500000.0,33000000.0,False,False,False,False
HB-2A54EC,Land Sale Near Shital Height,"Orpach, Mahalaxmi, Mahalaxmi Municipality, Lalitpur",Lalitpur,Orpach,13-20 Ft,3990000.0,5.0,3990000.0,19950000.0,False,False,False,False
HB-FDD2D3,"Land for Sale in Kirtipur, Chugaun","Rarahill Futsal., Kirtipur-9, Kathmandu",Kathmandu,Rarahill Futsal.,Gravel Road,3600000.0,3.0,1200000.0,3600000.0,False,False,False,False
HB-DF78AA,Land On Sale At Chandol,"Switch On Chandol, Kathmandu-4, Kathmandu",Kathmandu,Switch On Chandol,Pitched Road,7000000.0,7.0,1000000.0,7000000.0,False,False,False,False
HB-EE8829,GOKARNA main road ma 8 anna jagga tu bikrima,"Bhandari Street, Gokarneshwor-4, Kathmandu, Bagmati Pradesh",Kathmandu,Bhandari Street,Above 20 Ft,4500000.0,8.0,4500000.0,36000000.0,False,False,False,False
HB-2A5271,Land On Sale At Tokha,"Tokha Polish Station, Tokha Road, Tokha-3, Kathmandu",Kathmandu,Tokha,Pitched Road,4500000.0,8.0,4500000.0,36000000.0,False,False,False,False
HB-FCC693,19.3 Aana Land For Sale In Budanilkantha,"Budanilkantha, Budhanilakantha-1, Kathmandu",Kathmandu,Budhanilkantha,,7000000.0,19.3,7000000.0,135100000.0,False,False,False,False
HB-2E86CF,24 Aana Land For Sale In Kirtipur,"Kirtipur, Ajaya Marga, Kirtipur-6, Kathmandu",Kathmandu,Kirtipur,,2300000.0,24.0,2300000.0,55200000.0,False,False,False,False
HB-ED0C51,land for sale sanepa lalitpur 10 aana,"Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Unknown,Above 20 Ft,8500000.0,10.0,8500000.0,85000000.0,False,False,False,False
HB-922D21,Land for sale prime location of Baluwatar,"Nepal House Resturent - नेपाल हाउस रेस्टुरेन्ट, बार र बेकरी, Shree Hari Marg, Kathmandu-4, Kathmandu",Kathmandu,नेपाल हाउस रेस्टुरेन्ट,Above 20 Ft,19000000.0,20.0,950000.0,19000000.0,False,False,False,False
HB-7DC97F,DALLU|CHAGEL,"Ganesh Temple, Dallu, Amar Chitrakar Marg, Kathmandu-15, Kathmandu",Kathmandu,Ganesh Temple,Pitched Road,6000000.0,12.5,6000000.0,75000000.0,False,False,False,False
HB-D6F0D8,Residential Land for Sale in Kirtipur Nagaun Area!,"Nagaun Dobato नगाँ दोबाटो, Kirtipur Ring Road, Kirtipur-9, Kathmandu",Kathmandu,Nagaun Dobato नगाँ दोबाटो,,5500000.0,5.25,1047619.0476190476,5500000.0,False,False,False,False
