url,source,district,property_id,title,property_type,property_face,road_type,negotiable,city_area,pricing_raw,purpose,property_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,neighborhood,landmark,hospital,airport,pharmacy,bhatbhateni,school,public_transport,police_station,pashupatinath,boudhanath,ward_office
https://lalpurjanepal.com.np/properties/land-for-sale-at-lubhu-5096,lalpurja,Lalitpur,5096,Property Details,Residential,North,Paved,Yes,"Lalitpur, Lubhu",33 Lakh Per Aana,Sale,3 Aana,13 Feet,F 25 Feet,2025 February 3,149,Mahalaxmi,08,5km,Lubhu,Donbosco,300m,5km,100m,400m,200m,100m,400m,9km,12km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-at-lubhu-5095,lalpurja,Lalitpur,5095,Property Details,Residential,West,Paved,Yes,"Lalitpur, Lubhu",33 Lakh Per Aana,Sale,3.5 Aana,Feet,F 25 Feet,2025 February 3,181,Mahalaxmi,08,5km,Lubhu,Donbosco,200m,5km,100m,600m,200m,100m,400m,9km,12km,600m
https://lalpurjanepal.com.np/properties/land-for-sale-at-lubhu-5094,lalpurja,Lalitpur,5094,Property Details,Residential,East,Paved,Yes,"Lalitpur, Lubhu",33 Lakh Per Aana,Sale,3 Sq. Ft.,13 Feet,F 28 Feet,2025 February 3,140,Mahalaxmi,08,5km,Lubhu,Donbosco,300m,9km,100m,400m,200m,100m,300m,12km,14km,600m
https://lalpurjanepal.com.np/properties/land-for-sale-at-lamatar-5083,lalpurja,Lalitpur,5083,Property Details,Residential,South,Paved,Yes,"Lalitpur, Lamatar",26 Lakh Per Aana,Sale,4 Aana,20 Feet,F 32 Feet,2025 February 3,329,Mahalaxmi,09,5km,Lamatar,Selfie dada,500m,11km,100m,1km,200m,50m,100m,14km,16km,400m
https://lalpurjanepal.com.np/properties/land-for-sale-at-bhaisepati-lalitpur-5080,lalpurja,Lalitpur,5080,Property Details,Residential,East,Soil Stabilized,Yes,"Lalitpur, Bhaisepati",32 Lakh Per Aana,Sale,4 Aana,20 Feet,F 35 Feet,2025 February 3,498,Lalitpur,25,3.7km,Bhaisepati,Waiwai Factory | Adarsha Saula Yuwak School,3.2km,12km,750m,5.5km,400m,300m,1.2km,14km,17km,1.4km
https://lalpurjanepal.com.np/properties/land-with-house-for-sale-at-dhobighat-lalitpur-5079,lalpurja,Lalitpur,5079,Property Details,Residential,West,Blacktopped,Yes,"Lalitpur, Dhobighat",80 Lakh Per Aana,Sale,9 Aana,16 Feet,F 68 Feet,2025 February 3,299,Lalitpur,03,300m,Dhobighat,Megha Hospital,Megha Hospital - 500m,9km,500m,Pulchowk - 2km,Ideal Model School - 650m,500m,1.5km,9km,11km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-sunakothi-lalitpur-5031,lalpurja,Lalitpur,5031,Property Details,Residential,North-East,Paved,Yes,"Lalitpur, Sunakothi",42 Lakh Per Aana,Sale,10.63 Aana,20 Feet,F 68 Feet | F 36 Feet | 32 Feet,2025 January 30,276,Lalitpur,26,2.5km,Sunakothi,ICIMOD | Civil Homes Dhapakhel |Paras Niwas,1.3km,8.7km,700m,2.5km,400m,500m,2.8km,10.7km,14km,1km
https://lalpurjanepal.com.np/properties/land-with-house-for-sale-at-tikhedewal-lalitpur-5027,lalpurja,Lalitpur,5027,Property Details,Semi-commercial,South-East,Blacktopped,Yes,"Lalitpur, Mahalaxmisthan",8 Crore 75 Lakh,Sale,10.25 Aana,20 Feet,F 43 Feet,2025 January 30,328,Lalitpur,14,400m,Mahalaxmisthan,Uma Maheswor Temple,Patan Hospital - 1.5km,7km,500m,Satdobato - 800m,Ullens School - 1km,120m,260m,10km,12km,260m
https://lalpurjanepal.com.np/properties/land-for-sale-at-dhapakhel-lalitpur-5023,lalpurja,Lalitpur,5023,Property Details,Semi-commercial,North-West,Blacktopped,Yes,"Lalitpur, Dhapakhel",62 Lakh Per Aana,Sale,11.5 Aana,13 Feet,F 89 Feet,2025 January 29,320,Lalitpur,23,2km,Dhapakhel,Sumeru Hospital,210m,9km,500m,Satdobato - 2.5km,Gems School - 350m,85m,1km,10km,13km,600m
https://lalpurjanepal.com.np/properties/land-for-sale-at-nakhipot-lalitpur-5000,lalpurja,Lalitpur,5000,Property Details,Residential,East,Gravelled,Yes,"Lalitpur, Nakhipot",60 Lakh Per Aana,Sale,10.38 Aana,26 Feet,F 40 Feet,2025 January 27,320,Lalitpur,14,900m,Nakhipot,Nakhipot | Kirat Yakthung Chumlung,1.8km,7.6km,90m,1km,500m,450m,1.7km,9km,12km,350m
https://lalpurjanepal.com.np/properties/land-for-sale-at-kupondole-lalitpur-4991,lalpurja,Lalitpur,4991,Property Details,Residential,Save Property,Blacktopped,Yes,"Lalitpur, Kupondole",1 Crore 5 Lakh Per Aana,Sale,8 Aana,10 Feet,F - 21 Feet,2025 January 26,417,Lalitpur,10,5km,Kupondole,The Chubby Chickenz,900m,6.5km,500m,300m,800m,700m,1km,5.5km,7.5km,900m
https://lalpurjanepal.com.np/properties/land-with-house-for-sale-at-dhapakhel-lalitpur-4986,lalpurja,Lalitpur,4986,Property Details,Semi-commercial,North-West,Blacktopped,Yes,"Lalitpur, Dhapakhel",8 Crore 50 Lakh,Sale,11 Aana,16 Feet,F 65 Feet,2025 January 25,193,Lalitpur,23,2km,Dhapakhel,Dhapakhel | Sumeru Hospital,Sumeru Hospital - 500m,8.5km,500m,Satdobato - 2km,Gems School - 500m,500m,1.5km,11km,14km,650m
https://lalpurjanepal.com.np/properties/land-for-sale-at-bhanimandal-lalitpur-4967,lalpurja,Lalitpur,4967,Property Details,Residential,West,Blacktopped,Yes,"Lalitpur, Bhanimandal",1 Crore 5 Lakh Per Aana,Sale,4.75 Aana,10 Feet,F 22 Feet,2025 January 24,467,Lalitpur,04,650m,Bhanimandal,Sweta Acharya Boutique,Alka Hospital - 1.5km,9km,500m,Pulchowk - 2km,Ideal Model School - 700m,150m,1.5km,8km,10km,1km
https://lalpurjanepal.com.np/properties/land-with-mansion-for-sale-at-kupondole-lalitpur-4966,lalpurja,Lalitpur,4966,Property Details,Semi-commercial,North-East,Blacktopped,Yes,"Lalitpur, Kupondole",85 Lakh Per Aana,Sale,2 Ropani,20 Feet,F 68 Feet,2025 January 24,241,Lalitpur,01,2km,Kupondole,Hanumanthan,Norvic Hospital - 1.4km,7km,500m,Pulchowk - 2km,St. Xavier's School - 2.5km,600m,600m,7km,9km,300m
https://lalpurjanepal.com.np/properties/land-for-sale-at-thecho-lalitpur-4931,lalpurja,Lalitpur,4931,Property Details,Residential,West,Soil Stabilized,Yes,"Lalitpur, Thecho",23 Lakh 50 Thousand,Sale,3.5 Aana,13 Feet,F 28 Feet,2025 January 22,471,Godawari,12,5.6km,Thecho,Thecho Health Post | Don Bosco,5.8km,12km,800m,5.6km,1.1km,800m,1.9km,14km,17km,850m
https://lalpurjanepal.com.np/properties/land-for-sale-at-chapagaun-lalitpur-4889,lalpurja,Lalitpur,4889,Property Details,Residential,West,Soil Stabilized,Yes,"Lalitpur, Chapagaun",18 Lakh Per Aana,Sale,19.25 Aana,13 Feet,F 34 Feet,2025 January 20,323,Godawari,11,9.6km,Chapagaun,Chapagaun Health Post | Salyan,5.3km,18km,550m,9.4km,750m,2.2km,2.2km,20km,23km,2.8km
https://lalpurjanepal.com.np/properties/land-for-sale-at-chhampi-lalitpur-4885,lalpurja,Lalitpur,4885,Property Details,Residential,North-East,Soil Stabilized,Yes,"Lalitpur, Lalitpur",7 Lakh Per Aana,Sale,6.25 Aana,Feet,F 39 Feet,2025 January 20,805,Godawari,04,11km,Lalitpur,Chhampi | Bhairab Mandir,3.5km,20km,700m,13km,550m,700m,2.1km,22km,25km,3.4km
https://lalpurjanepal.com.np/properties/land-for-sale-at-dhapakhel-lalitpur-4865,lalpurja,Lalitpur,4865,Property Details,Residential,North-East,Blacktopped,Yes,"Lalitpur, Dhapakhel",53 Lakh Per Aana,Sale,1.75 Ropani,16 Feet,F 68 Feet,2025 January 20,295,Lalitpur,23,1.2km,Dhapakhel,Classic Tower,Sumeru Hospital - 1km,8km,500m,Satdobato - 2km,Gems School - 1km,250m,1.5km,10km,13km,1.3km
https://lalpurjanepal.com.np/properties/land-for-sale-at-dhapakhel-lalitpur-4864,lalpurja,Lalitpur,4864,Property Details,Residential,South-West,Blacktopped,Yes,"Lalitpur, Dhapakhel",48 Lakh Per Aana,Sale,7 Aana,13 Feet,F 13 Feet,2025 January 20,452,Lalitpur,23,2.5km,Dhapakhel,Swiffles Chocolate Candy Store,Sumeru Hospital - 700m,9km,500m,Satdobato - 3km,Gems School - 800m,400m,2km,12km,15km,400m
https://lalpurjanepal.com.np/properties/land-for-sale-at-nayabasti-4847,lalpurja,Lalitpur,4847,Property Details,Residential,East,Soil Stabilized,Yes,"Lalitpur, Bhaisepati",12 Lakh 50 Thousand Per Aana,Sale,160 Aana,13 Feet,F 32 Feet,2025 January 18,353,Dakshinkali,07,4km,Bhaisepati,Naukotey Temple | Kopu Gaun,500m,23km,100m,600m,200m,200m,200m,25.5km,26km,19km
https://lalpurjanepal.com.np/properties/land-for-sale-at-nakhipot-lalitpur-4844,lalpurja,Lalitpur,4844,Property Details,Residential,South-West,Gravelled,Yes,"Lalitpur, Nakhipot",38 Lakh Per Aana,Sale,5 Aana,12 Feet,F 40 Feet,2025 January 18,601,Lalitpur,14,2km,Nakhipot,Kantipur Colony,Patan Hospital - 3km,9km,500m,Satdobato - 2km,Ullens School - 1.5km,300m,1.5km,11km,14km,1.5km
https://lalpurjanepal.com.np/properties/land-for-sale-at-nakhipot-lalitpur-4843,lalpurja,Lalitpur,4843,Property Details,Residential,East,Blacktopped,Yes,"Lalitpur, Nakhipot",38 Lakh Per Aana,Sale,2.25 Ropani,20 Feet,F 68 Feet,2025 January 18,290,Lalitpur,14,2km,Nakhipot,Kantipur Colony,Patan Hospital - 3km,9km,500m,Satdobato - 2km,Ullens School - 1.5km,300m,1.5km,11km,14km,1.5km
https://lalpurjanepal.com.np/properties/land-for-sale-at-bhaisepati-4833,lalpurja,Lalitpur,4833,Property Details,Semi-commercial,South,Gravelled,Yes,"Lalitpur, Bhaisepati",25 Lakh Per Aana,Sale,13 Aana,8 Feet,F 35 Feet,2025 January 17,366,Lalitpur,21,3km,Bhaisepati,Shikali Temple,1km,9km,600m,5km,500m,400m,3km,10km,7km,2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-tikathali-4832,lalpurja,Lalitpur,4832,Property Details,Residential,Save Property,Paved,Yes,"Lalitpur, Tikathali",32 Lakh Per Aana,Sale,4 Aana,Feet,F 32 Feet,2025 January 17,517,Lalitpur,05,100m,Tikathali,Pawan Prakriti School,100m,4km,100m,1km,50m,100m,200m,5km,9km,100m
https://lalpurjanepal.com.np/properties/land-for-sale-at-harisidhhi-4780,lalpurja,Lalitpur,4780,Property Details,Residential,North-East,Paved,Yes,"Lalitpur, Harisiddhi",32 Lakh Per Aana,Sale,3.5 Aana,13 Feet,F 78 | F 80 Feet,2025 January 15,220,Lalitpur,28,100m,Harisiddhi,Sasa Twa,200m,7km,50m,400m,200m,100m,400m,11km,14km,400m
https://lalpurjanepal.com.np/properties/land-for-sale-at-sunakothi-lalitpur-4776,lalpurja,Lalitpur,4776,Property Details,Residential,South-East,Gravelled,Yes,"Lalitpur, Sunakothi",42 Lakh Per Aana,Sale,4.13 Aana,13 Feet,F 31 Feet,2025 January 15,514,Lalitpur,27,4.4km,Sunakothi,Sunakothi Civil Homes,4.9km,11km,350m,4.3km,750m,400m,1km,13km,16km,1.1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-sunakothi-lalitpur-4774,lalpurja,Lalitpur,4774,Property Details,Residential,South,Paved,Yes,"Lalitpur, Sunakothi",40 Lakh Per Aana,Sale,4.5 Aana,13 Feet,F 51 Feet,2025 January 15,244,Lalitpur,27,3.9km,Sunakothi,Sunakothi Chautara | Civil Homes Sunakothi,4.4km,10km,400m,3.8km,800m,400m,2km,12km,15km,700m
https://lalpurjanepal.com.np/properties/land-for-sale-at-badegaun-lalitpur-4767,lalpurja,Lalitpur,4767,Property Details,Residential,North-West,Gravelled,Yes,"Lalitpur, Godawari",26 Lakh Per Aana,Sale,4.5 Ropani,16 Feet,F 68 Feet,2025 January 15,416,Godawari,03,6km,Godawari,Laligurans English Secondary School,Godawari Midcity Hospital - 2km,12km,500m,Siddhipur - 6km,Godawari Residential School - 1km,290m,290m,15km,17km,3km
https://lalpurjanepal.com.np/properties/land-for-sale-at-godawari-lalitpur-4753,lalpurja,Lalitpur,4753,Property Details,Residential,West,Soil Stabilized,Yes,"Lalitpur, Godawari",18 Lakh Per Aana,Sale,6 Aana,13 Feet,F 68 Feet,2025 January 14,251,Godawari,03,8km,Godawari,Fog Apartment,Godawari Midcity Hospital - 4km,13km,500m,Siddhipur - 4.5km,Godawari Residential School - 2.5km,1km,4km,15km,18km,3km
https://lalpurjanepal.com.np/properties/land-for-sale-at-satdobato-4746,lalpurja,Lalitpur,4746,Property Details,Commercial,East,Paved,Yes,"Lalitpur, Satdobato",90 Lakh Per Aana,Sale,11 Aana,20 Feet,F 32 Feet,2025 January 13,175,Lalitpur,15,100m,Satdobato,Swimming Pool,100m,2km,100m,1km,100m,50m,100m,5km,9km,200m
https://lalpurjanepal.com.np/properties/land-for-sale-at-jharuwarasi-godawari-4714,lalpurja,Lalitpur,4714,Property Details,Residential,East,Soil Stabilized,Yes,"Lalitpur, Jharuwarasi",26 Lakh Per Aana,Sale,11 Aana,10 Feet,F 57 Feet,2025 January 11,269,Godawari,05,7km,Jharuwarasi,Aashapuri Temple,Godawari Midcity Hospital - 4km,14km,500m,8km,Don Bosco Institute - 3km,800m,1km,16km,18km,750m
https://lalpurjanepal.com.np/properties/land-for-sale-at-chapagaun-godawari-4694,lalpurja,Lalitpur,4694,Property Details,Residential,West,Soil Stabilized,Yes,"Lalitpur, Godawari",13 Lakh Per Aana,Sale,4 Aana,20 Feet,F 30 Feet,2025 January 10,375,Godawari,10,10.1km,Godawari,Muldole Getaway,9.5km,17km,2.5km,10km,2.5km,2km,2.9km,19km,21km,2.5km
https://lalpurjanepal.com.np/properties/land-for-sale-at-gwarko-4649,lalpurja,Lalitpur,4649,Property Details,Residential,South-East,Paved,Yes,"Lalitpur, Gwarko",75 Lakh Per Aana,Sale,4 Aana,11 Feet,F 78 | F 80 Feet,2025 January 8,300,Lalitpur,300m,40m,Gwarko,B and B hospital,100m,3km,50m,400m,200m,50m,150m,9km,12km,300m
