url,source,district,property_id,title,property_type,property_face,road_type,negotiable,city_area,pricing_raw,purpose,property_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,neighborhood,landmark,hospital,airport,pharmacy,bhatbhateni,school,public_transport,police_station,pashupatinath,boudhanath,ward_office
https://lalpurjanepal.com.np/properties/land-for-sale-at-katunje-8224,lalpurja,Bhaktapur,8224,Property Details,Residential,West,Gravelled,Yes,"Bhaktapur, Katunje",30 Lakh Per Aana,Sale,5.25 Aana,13 Feet,F 32 Feet,2025 August 26,257,Suryabinayak,05,4km,Katunje,Katunje | Sushila Bhairab Mandir,3km,12km,500m,2.5km,500m,1.7km,1.7km,14km,18km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-lokanthali-8222,lalpurja,Bhaktapur,8222,Property Details,Semi-commercial,South-East,Gravelled,Yes,"Bhaktapur, Lokanthali",46 Lakh Per Aana,Sale,3.75 Aana,20 Feet,F 28 Feet,2025 August 26,336,Madhyapur Thimi,01,4km,Lokanthali,Lokanthali | Big Mart,500m,3km,500m,2km,100m,500m,1.7km,5km,6km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-at-duwakotbhaktapur-8204,lalpurja,Bhaktapur,8204,Property Details,Residential,West,Blacktopped,Yes,"Bhaktapur, Duwakot",30 Lakh Per Aana,Sale,5.75 Aana,20 Feet,F 28.6 | F 28 Feet,2025 August 25,188,Changunarayan,03,15km,Duwakot,Duwakot | NIC Asia Bank,3.1km,14km,200m,5.4km,100m,50m,200m,13km,9km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-ittapakebhaktapur-8203,lalpurja,Bhaktapur,8203,Property Details,Residential,East,Gravelled,Yes,"Bhaktapur, Sallaghari",45 Lakh Per Aana,Sale,4.5 Aana,26 Feet,F 24 Feet,2025 August 25,143,Bhaktapur,01,11km,Sallaghari,Bhaktapur | Bhaktapur Banquet,850m,11km,200m,2.6km,500m,50m,200m,13km,9km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-helmet-dadobhaktapur-8202,lalpurja,Bhaktapur,8202,Property Details,Residential,North,Blacktopped,Yes,"Bhaktapur, Kamalbinayak",31 Lakh Per Aana,Sale,3.5 Aana,20 Feet,F 24 Feet,2025 August 25,214,Changunarayan,07,12km,Kamalbinayak,Bhaktapur | Municipality Hall,2.2km,14km,500m,6.2km,1km,100m,2km,16km,9km,3km
https://lalpurjanepal.com.np/properties/land-for-sale-at-gundu-8193,lalpurja,Bhaktapur,8193,Property Details,Residential,South-West,Soil Stabilized,Yes,"Bhaktapur, Bode",27 Lakh Per Aana,Sale,5 Aana,13 Feet,F 36 | L 39 | B 26 | L 43 Feet,2025 August 24,168,Suryabinayak,04,4km,Bode,Gundu | Ganesh Mandir,1.5km,13km,500m,2.6km,500m,100m,1.7km,12km,14km,
https://lalpurjanepal.com.np/properties/semi-commercial-land-for-sale-at-lokanthali-8192,lalpurja,Bhaktapur,8192,Property Details,Semi-commercial,South-West,Blacktopped,Yes,"Bhaktapur, Lokanthali",65 Lakh Per Aana,Sale,5.5 Aana,13 Feet,F 31 | L 54 Feet,2025 August 24,134,Madhyapur Thimi,01,4km,Lokanthali,Bhaktapur | Lokanthali Chowk,100m,4.5km,100m,3km,200m,20m,1.7km,6km,10km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-kamalbinayakbhaktapur-8185,lalpurja,Bhaktapur,8185,Property Details,Residential,West,Blacktopped,Yes,"Bhaktapur, Kamalbinayak",60 Lakh Per Aana,Sale,127.16 Sq. Ft.,20 Feet,F 24 Feet,2025 August 24,200,Bhaktapur,10,15km,Kamalbinayak,Bhaktapur | Malpot Karyalaya,100m,14km,100m,5.5km,500m,50m,100m,16km,9km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-sudalbhaktapur-8184,lalpurja,Bhaktapur,8184,Property Details,Residential,South-West,Soil Stabilized,Yes,"Bhaktapur, Sudal",17 Lakh Per Aana,Sale,13 Aana,16 Feet,F 90 feet,2025 August 24,216,Changunarayan,08,22km,Sudal,Sudal | Aarakshan National Academy,5.3km,18km,1km,10km,1km,1km,1.5km,20km,9km,2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-duwakotbhaktapur-8160,lalpurja,Bhaktapur,8160,Property Details,Residential,South-East,Blacktopped,Yes,"Bhaktapur, Duwakot",34 Lakh Per Aana,Sale,4 Aana,26 Feet,F 30 Feet,2025 August 21,176,Changunarayan,02,17km,Duwakot,Duwakot | Nepal Engineering College,4.5km,11km,500m,7.2km,1km,100m,2km,7.7km,6.5km,2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-sudalbhaktapur-8151,lalpurja,Bhaktapur,8151,Property Details,Residential,North,Gravelled,Yes,"Bhaktapur, Sudal",20 Lakh Per Aana,Sale,3.25 Aana,20 Feet,F 25 Feet,2025 August 21,188,Changunarayan,08,20km,Sudal,Sudal | Thuli Bramhayani Temple,5.5km,19km,3km,10km,1km,200m,1km,21km,9km,3km
https://lalpurjanepal.com.np/properties/land-for-sale-at-rose-village-balkot-8090,lalpurja,Bhaktapur,8090,Property Details,Residential,North,Blacktopped,Yes,"Bhaktapur, Balkot",75 Lakh Per Aana,Sale,7 Aana,16 Feet,F 58 | L 41 Feet,2025 August 18,260,Suryabinayak,03,4km,Balkot,Balkot | Rose Village Housing,850m,5km,500m,1.8km,200m,300m,1.7km,7km,11km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-sipadol-viral-planning-8089,lalpurja,Bhaktapur,8089,Property Details,Residential,North-West,Blacktopped,Yes,"Bhaktapur, Sipadol",35 Lakh Per Aana,Sale,5.18 Aana,20 Feet,F 48 | L 31 Feet,2025 August 18,526,Suryabinayak,09,4km,Sipadol,Sipadol | Viral Planning,3km,14km,500m,6.5km,500m,500m,1.7km,16km,20km,800m
https://lalpurjanepal.com.np/properties/land-for-sale-at-suryabinayak-8088,lalpurja,Bhaktapur,8088,Property Details,Commercial,South-West,Blacktopped,Yes,"Bhaktapur, Suryabinayak",37 Lakh Per Aana,Sale,5 Aana,20 Feet,F 30 | L 48 Feet,2025 August 18,205,Suryabinayak,08,4km,Suryabinayak,Suryabinayak | Thapa Party Palace,3km,11km,500m,3.5km,300m,516m,1.7km,13km,17km,1.5km
https://lalpurjanepal.com.np/properties/land-for-sale-at-chyamasingbhaktapur-8056,lalpurja,Bhaktapur,8056,Property Details,Commercial,West,Soil Stabilized,Yes,"Bhaktapur, Chyamasingha",25 Lakh Per Aana,Sale,43.5 Aana,20 Feet,F 50 Feet,2025 August 14,239,Changunarayan,09,20km,Chyamasingha,Chyamasingha | Bramhayani Temple,500m,14km,500m,5.6km,500m,500m,1km,16km,9km,
