url,source,district,property_id,title,property_type,property_face,road_type,negotiable,city_area,pricing_raw,purpose,property_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,neighborhood,landmark,hospital,airport,pharmacy,bhatbhateni,school,public_transport,police_station,pashupatinath,boudhanath,ward_office
https://lalpurjanepal.com.np/properties/land-for-sale-at-kumarigal-5150,lalpurja,Kathmandu,5150,Property Details,Residential,South,Paved,Yes,"Kathmandu, Boudha",60 Lakh Per Aana,Sale,3.25 Aana,8 Feet,F55feet,2025 February 7,273,Kathmandu,07,1km,Boudha,Kumari Mandir,1km,3km,500m,1km,100m,200m,1.7km,2km,2km,
https://lalpurjanepal.com.np/properties/beautiful-land-for-sale-at-kirtipur-5136,lalpurja,Kathmandu,5136,Property Details,Commercial,North-East,Paved,Yes,"Kathmandu, Kirtipur",68 Lakh Per Aana,Sale,8 Aana,16 Feet,F 60 Feet,2025 February 6,213,kirtipur,02,400m,Kirtipur,Chadanichowk,2km,10km,300m,1km,200m,"50""m",400m,10km,12km,400m
https://lalpurjanepal.com.np/properties/land-for-sale-at-sangla-tarkeshwor-5133,lalpurja,Kathmandu,5133,Property Details,Commercial,East,Blacktopped,Yes,"Kathmandu, Tarkeshwor",40 Lakh Per Aana,Sale,14 Aana,32 Feet,F 46 Feet,2025 February 5,480,Tarkeshwor,06,4km,Tarkeshwor,Sangla Chowk,4km,14km,500m,4km,1km,100m,100m,15km,16km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-budhanilkantha-5131,lalpurja,Kathmandu,5131,Property Details,Residential,South-East,Blacktopped,Yes,"Kathmandu, Budhanilkantha",43 Lakh 50 Thousand Per Aana,Sale,5.56 Aana,13 Feet,F 30 Feet,2025 February 5,214,Budhanilkantha,04,2km,Budhanilkantha,Mathilo Pasikot,1km,7km,200m,2km,300m,800m,800m,6km,6km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-in-kalanki-5129,lalpurja,Kathmandu,5129,Property Details,Residential,South,Paved,Yes,"Kathmandu, Kalanki",48 Lakh Per Aana,Sale,3.1 Aana,13 Feet,F 55 Feet,2025 February 5,231,Nagarjun,10,500m,Kalanki,Salika Chowk,400m,5km,300m,2km,400m,500m,400m,10km,12km,600m
https://lalpurjanepal.com.np/properties/land-for-sale-at-budhanilkantha-5121,lalpurja,Kathmandu,5121,Property Details,Residential,South-West,Blacktopped,Yes,"Kathmandu, Budhanilkantha",35 Lakh Per Aana,Sale,7.5 Aana,13 Feet,F 50 Feet,2025 February 4,230,Budhanilkantha,07,1.5km,Budhanilkantha,Hattigauda | Okhaltar,800m,7km,200m,2km,800m,1km,1km,6km,6km,800m
https://lalpurjanepal.com.np/properties/land-for-sale-at-budhanilkantha-5120,lalpurja,Kathmandu,5120,Property Details,Residential,South,Blacktopped,Yes,"Kathmandu, Budhanilkantha",55 Lakh Per Aana,Sale,5 Aana,13 Feet,F 40 Feet,2025 February 4,201,Budhanilkantha,07,1.5m,Budhanilkantha,Hattigauda Chowk,500m,6km,100m,2km,200m,200m,500m,5km,5km,500m
https://lalpurjanepal.com.np/properties/east-facing-house-for-sale-at-hattidanda-kageshwori-manohara-kathmandu-5116,lalpurja,Kathmandu,5116,Property Details,Residential,South,Paved,Yes,"Kathmandu, Jorpati",45 Lakh Per Aana,Sale,38 Aana,13 Feet,F 27 Feet,2025 February 4,374,Gokarnashwor,05,3.2 km,Jorpati,Jorpati | Jambu Dada,2.4 km,3.2 km,300 m,2.8 km,300 m,300 m,150 km,2.8 km,2.5 km,800 m
https://lalpurjanepal.com.np/properties/semi-commercial-land-for-sale-at-sarswatinagar-kapan-kathmandu-5112,lalpurja,Kathmandu,5112,Property Details,Semi-commercial,South-East,Blacktopped,Yes,"Kathmandu, Kapan",95 Lakh Per Aana,Sale,7 Aana,20 Feet,55,2025 February 4,185,Kathmandu,06,400m,Kapan,Gopikrishana Hall,500m,3.5km,50m,2km,50m,100m,500m,2.7km,2.3km,500m
https://lalpurjanepal.com.np/properties/east-facing-land-for-sale-at-nayabasti-jorpati-kathmandu-5092,lalpurja,Kathmandu,5092,Property Details,Semi-commercial,East,Paved,Yes,"Kathmandu, Jorpati",60 Lakh Per Aana,Sale,3.56 Aana,20 Feet,F 25.9 Feet,2025 February 3,309,Gokarneshwor,06,2.1km,Jorpati,Nayabasti | Charles Darwin School,1.5km,2.5km,20m,2.7km,10m,250m,600m,1.9km,800m,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-kirtipur-5087,lalpurja,Kathmandu,5087,Property Details,Residential,South-East,Gravelled,Yes,"Kathmandu, Kirtipur",26 Lakh Per Aana,Sale,3.5 Aana,16 Feet,F 30 Feet,2025 February 3,1013,Kirtipur,04,400m,Kirtipur,Green Village School,3km,11km,300m,400m,400m,200m,300m,10km,12km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-at-satungual-5085,lalpurja,Kathmandu,5085,Property Details,Semi-commercial,North,Paved,Yes,"Kathmandu, Satungal",29 Lakh Per Aana,Sale,6 Aana,13 Feet,F 30 Feet,2025 February 3,234,Chandragiri,10,300m,Satungal,Bidutpradikaran,300m,10km,300m,400m,400m,300m,500m,10km,12km,200m
https://lalpurjanepal.com.np/properties/land-for-sale-at-indrayani-5074,lalpurja,Kathmandu,5074,Property Details,Residential,South-West,Soil Stabilized,Yes,"Kathmandu, Sankhu",20 Lakh Per Aana,Sale,4 Aana,16 Feet,F 28 Feet,2025 February 2,251,Shankarapur Municipality,09,7km,Sankhu,Sanagaun,1km,9km,500m,7km,500m,1km,500m,7km,5km,1km
