iter	Passed	Remaining
216	1105	3987
217	1109	3979
218	1113	3970
219	1117	3963
220	1122	3957
221	1127	3949
222	1131	3940
223	1136	3938
224	1141	3933
225	1147	3930
226	1152	3925
227	1158	3923
228	1163	3917
229	1168	3910
230	1173	3907
231	1179	3905
232	1184	3900
233	1189	3892
234	1194	3886
235	1198	3880
236	1205	3879
237	1212	3880
238	1218	3879
239	1224	3876
240	1229	3871
241	1234	3867
242	1238	3858
243	1244	3855
244	1249	3851
245	1255	3849
246	1261	3846
247	1267	3843
248	1273	3840
249	1279	3837
250	1284	3833
251	1290	3829
252	1295	3824
253	1302	3824
254	1308	3821
255	1313	3817
256	1320	3816
257	1324	3809
258	1330	3805
259	1335	3801
260	1341	3799
261	1346	3791
262	1351	3786
263	1355	3778
264	1362	3777
265	1366	3771
266	1371	3765
267	1375	3757
268	1380	3752
269	1386	3749
270	1392	3746
271	1398	3741
272	1402	3736
273	1407	3729
274	1413	3727
275	1418	3720
276	1423	3715
277	1429	3712
278	1434	3706
279	1439	3700
280	1444	3695
281	1451	3694
282	1457	3693
283	1462	3688
284	1468	3683
285	1473	3678
286	1478	3674
287	1482	3665
288	1488	3661
289	1493	3655
290	1498	3650
291	1505	3649
292	1511	3646
293	1517	3643
294	1522	3637
295	1526	3630
296	1531	3624
297	1537	3622
298	1542	3617
299	1548	3613
300	1554	3610
301	1560	3607
302	1565	3600
303	1571	3598
304	1577	3593
305	1581	3587
306	1586	3581
307	1592	3577
308	1596	3570
309	1601	3564
310	1607	3560
311	1613	3557
312	1619	3554
313	1623	3546
314	1629	3542
315	1633	3535
316	1638	3529
317	1643	3524
318	1649	3520
319	1653	3514
320	1658	3508
321	1663	3502
322	1669	3498
323	1673	3491
324	1678	3486
325	1682	3478
326	1687	3473
327	1693	3468
328	1698	3464
329	1703	3459
330	1708	3453
331	1713	3446
332	1717	3439
333	1721	3433
334	1726	3427
335	1731	3421
336	1737	3417
337	1742	3413
338	1748	3409
339	1753	3403
340	1758	3398
341	1762	3391
342	1768	3387
343	1773	3381
344	1778	3376
345	1783	3371
346	1788	3364
347	1791	3357
348	1796	3350
349	1801	3346
350	1805	3338
351	1810	3332
352	1816	3328
353	1820	3322
354	1824	3315
355	1829	3308
356	1833	3302
357	1838	3297
358	1844	3292
359	1849	3287
360	1854	3282
361	1859	3277
362	1864	3272
363	1870	3268
364	1874	3261
365	1878	3253
366	1882	3247
367	1887	3240
368	1890	3233
369	1894	3226
370	1899	3220
371	1904	3214
372	1907	3206
373	1911	3199
374	1916	3194
375	1920	3187
376	1924	3179
377	1927	3172
378	1932	3166
379	1936	3159
380	1940	3152
381	1945	3147
382	1951	3144
383	1958	3141
384	1963	3136
385	1967	3130
386	1971	3123
387	1976	3117
388	1981	3112
389	1985	3105
390	1990	3099
391	1995	3094
392	2000	3089
393	2004	3083
394	2009	3078
395	2015	3073
396	2019	3067
397	2025	3064
398	2030	3058
399	2035	3052
400	2039	3046
401	2043	3039
402	2047	3032
403	2051	3026
404	2055	3019
405	2059	3012
406	2062	3005
407	2067	2999
408	2071	2993
409	2076	2987
410	2080	2982
411	2084	2974
412	2087	2967
413	2091	2960
414	2095	2953
415	2098	2946
416	2102	2939
417	2107	2934
418	2111	2927
419	2115	2921
420	2120	2916
421	2125	2911
422	2130	2906
423	2135	2900
424	2139	2894
425	2143	2888
426	2147	2881
427	2150	2873
428	2155	2868
429	2159	2861
430	2162	2855
431	2167	2849
432	2171	2843
433	2174	2836
434	2178	2829
435	2181	2822
436	2186	2816
437	2190	2810
438	2193	2803
439	2197	2796
440	2202	2791
441	2205	2784
442	2209	2777
443	2212	2771
444	2217	2765
445	2220	2758
446	2224	2752
447	2228	2745
448	2232	2739
449	2237	2734
450	2241	2728
451	2246	2723
452	2252	2719
453	2256	2713
454	2262	2709
455	2269	2707
456	2274	2702
457	2279	2697
458	2283	2691
459	2287	2685
460	2291	2679
461	2295	2673
462	2299	2666
463	2302	2660
464	2306	2653
465	2310	2647
466	2314	2642
467	2318	2635
468	2326	2634
469	2332	2630
470	2337	2625
471	2341	2619
472	2345	2613
473	2349	2607
474	2354	2602
475	2359	2597
476	2363	2591
477	2368	2586
478	2373	2581
479	2377	2575
480	2382	2571
481	2386	2565
482	2391	2560
483	2398	2556
484	2405	2553
485	2410	2549
486	2413	2542
487	2418	2537
488	2423	2532
489	2426	2526
490	2432	2521
491	2436	2516
492	2440	2509
493	2445	2504
494	2448	2497
495	2453	2493
496	2458	2487
497	2463	2483
498	2468	2478
499	2473	2473
500	2477	2467
501	2483	2463
502	2488	2458
503	2494	2454
504	2499	2450
505	2506	2447
506	2512	2443
507	2518	2438
508	2524	2435
509	2529	2430
510	2537	2427
511	2542	2423
512	2547	2418
513	2554	2415
514	2558	2409
515	2562	2403
516	2568	2399
517	2573	2394
518	2577	2388
519	2583	2384
520	2589	2380
521	2594	2376
522	2601	2373
523	2606	2367
524	2612	2363
525	2619	2360
526	2625	2356
527	2631	2352
528	2637	2347
529	2642	2343
530	2649	2340
531	2655	2336
532	2661	2331
533	2667	2328
534	2672	2323
535	2679	2319
536	2684	2314
537	2690	2310
538	2696	2306
539	2702	2301
540	2707	2297
541	2713	2293
542	2719	2288
543	2724	2283
544	2730	2279
545	2736	2275
546	2742	2270
547	2747	2266
548	2753	2261
549	2760	2258
550	2766	2254
551	2772	2249
552	2778	2246
553	2782	2240
554	2789	2236
555	2794	2231
556	2799	2226
557	2806	2223
558	2812	2219
559	2819	2215
560	2825	2211
561	2832	2207
562	2837	2202
563	2842	2197
564	2847	2192
565	2853	2188
566	2858	2182
567	2865	2179
568	2871	2174
569	2876	2170
570	2881	2165
571	2887	2160
572	2892	2155
573	2898	2150
574	2903	2145
575	2910	2142
576	2916	2138
577	2921	2133
578	2928	2129
579	2933	2124
580	2938	2119
581	2943	2114
582	2948	2108
583	2953	2103
584	2957	2098
585	2962	2092
586	2967	2087
587	2972	2082
588	2977	2077
589	2983	2072
590	2986	2067
591	2992	2062
592	2997	2057
593	3003	2052
594	3007	2047
595	3013	2042
596	3018	2037
597	3022	2032
598	3027	2026
599	3031	2021
600	3036	2016
601	3041	2010
602	3045	2005
603	3050	2000
604	3055	1994
605	3061	1990
606	3067	1986
607	3073	1981
608	3077	1976
609	3082	1970
610	3086	1965
611	3092	1960
612	3096	1955
613	3100	1949
614	3106	1944
615	3111	1939
616	3116	1934
617	3122	1930
618	3128	1925
619	3133	1920
620	3138	1915
621	3143	1910
622	3148	1905
623	3153	1900
624	3157	1894
625	3162	1889
626	3168	1885
627	3173	1879
628	3178	1874
629	3184	1870
630	3188	1864
631	3192	1859
632	3197	1853
633	3201	1848
634	3206	1842
635	3210	1837
636	3216	1832
637	3220	1827
638	3225	1822
639	3230	1817
640	3235	1812
641	3241	1807
642	3246	1802
643	3250	1797
644	3254	1791
645	3259	1786
646	3265	1781
647	3269	1776
648	3274	1770
649	3279	1765
650	3284	1760
651	3289	1755
652	3294	1750
653	3299	1745
654	3305	1740
655	3310	1735
656	3314	1730
657	3320	1725
658	3324	1720
659	3329	1715
660	3334	1710
661	3338	1704
662	3343	1699
663	3348	1694
664	3352	1689
665	3357	1683
666	3362	1678
667	3367	1673
668	3371	1668
669	3375	1662
670	3380	1657
671	3385	1652
672	3389	1646
673	3395	1642
674	3400	1637
675	3405	1632
676	3410	1627
677	3414	1621
678	3418	1616
679	3422	1610
680	3426	1605
681	3430	1599
682	3436	1594
683	3439	1589
684	3444	1584
685	3448	1578
686	3453	1573
687	3459	1568
688	3464	1563
689	3470	1559
690	3476	1554
691	3480	1549
692	3485	1544
693	3490	1539
694	3495	1533
695	3501	1529
696	3505	1524
697	3511	1519
698	3517	1514
699	3521	1509
700	3526	1504
701	3530	1498
702	3535	1493
703	3541	1489
704	3546	1484
705	3551	1478
706	3556	1473
707	3561	1468
708	3566	1463
709	3571	1458
710	3576	1453
711	3580	1448
712	3585	1443
713	3590	1438
714	3595	1433
715	3600	1428
716	3606	1423
717	3611	1418
718	3617	1413
719	3622	1408
720	3626	1403
721	3631	1398
722	3636	1393
723	3640	1387
724	3644	1382
725	3649	1377
726	3654	1372
727	3659	1367
728	3663	1361
729	3667	1356
730	3672	1351
731	3677	1346
732	3683	1341
733	3687	1336
734	3692	1331
735	3697	1326
736	3702	1321
737	3707	1316
738	3711	1310
739	3716	1305
740	3722	1301
741	3726	1295
742	3732	1290
743	3737	1285
744	3741	1280
745	3747	1275
746	3751	1270
747	3756	1265
748	3761	1260
749	3767	1255
750	3772	1250
751	3779	1246
752	3790	1243
753	3800	1239
754	3808	1235
755	3816	1231
756	3822	1226
757	3827	1221
758	3832	1216
759	3837	1211
760	3840	1206
761	3844	1200
762	3848	1195
763	3853	1190
764	3859	1185
765	3864	1180
766	3869	1175
767	3873	1170
768	3878	1164
769	3883	1160
770	3888	1155
771	3893	1149
772	3897	1144
773	3902	1139
774	3907	1134
775	3912	1129
776	3916	1124
777	3920	1118
778	3923	1113
779	3928	1107
780	3934	1103
781	3939	1098
782	3944	1093
783	3950	1088
784	3955	1083
785	3961	1078
786	3965	1073
787	3970	1068
788	3976	1063
789	3981	1058
790	3985	1053
791	3990	1047
792	3996	1043
793	4001	1038
794	4005	1032
795	4010	1027
796	4014	1022
797	4018	1017
798	4023	1012
799	4027	1006
800	4033	1001
801	4037	996
802	4042	991
803	4047	986
804	4052	981
805	4057	976
806	4061	971
807	4066	966
808	4071	961
809	4075	955
810	4081	951
811	4086	946
812	4094	941
813	4099	936
814	4104	931
815	4109	926
816	4114	921
817	4119	916
818	4123	911
819	4129	906
820	4134	901
821	4139	896
822	4144	891
823	4150	886
824	4154	881
825	4160	876
826	4165	871
827	4171	866
828	4176	861
829	4181	856
830	4185	851
831	4190	846
832	4195	841
833	4199	835
834	4205	831
835	4209	825
836	4214	820
837	4219	815
838	4223	810
839	4227	805
840	4232	800
841	4236	794
842	4241	789
843	4245	784
844	4249	779
845	4254	774
846	4258	769
847	4263	764
848	4267	759
849	4272	753
850	4277	748
851	4281	743
852	4284	738
853	4289	733
854	4295	728
855	4298	723
856	4303	718
857	4308	713
858	4313	708
859	4317	702
860	4322	697
861	4327	692
862	4332	687
863	4336	682
864	4341	677
865	4345	672
866	4350	667
867	4355	662
868	4360	657
869	4364	652
870	4368	647
871	4372	641
872	4378	636
873	4382	631
874	4387	626
875	4390	621
876	4394	616
877	4398	611
878	4401	605
879	4405	600
880	4408	595
881	4414	590
882	4419	585
883	4424	580
884	4429	575
885	4433	570
886	4437	565
887	4442	560
888	4446	555
889	4450	550
890	4455	545
891	4459	539
892	4463	534
893	4467	529
894	4471	524
895	4476	519
896	4480	514
897	4485	509
898	4489	504
899	4494	499
900	4501	494
901	4505	489
902	4510	484
903	4516	479
904	4521	474
905	4525	469
906	4531	464
907	4537	459
908	4541	454
909	4546	449
910	4551	444
911	4555	439
912	4560	434
913	4565	429
914	4570	424
915	4576	419
916	4581	414
917	4587	409
918	4593	404
919	4597	399
920	4601	394
921	4606	389
922	4610	384
923	4615	379
924	4621	374
925	4627	369
926	4633	364
927	4637	359
928	4641	354
929	4644	349
930	4648	344
931	4652	339
932	4655	334
933	4659	329
934	4662	324
935	4668	319
936	4673	314
937	4680	309
938	4685	304
939	4688	299
940	4692	294
941	4695	289
942	4700	284
943	4703	279
944	4707	273
945	4710	268
946	4715	263
947	4719	258
948	4723	253
949	4727	248
950	4731	243
951	4734	238
952	4738	233
953	4742	228
954	4747	223
955	4752	218
956	4758	213
957	4763	208
958	4768	203
959	4773	198
960	4778	193
961	4783	188
962	4789	184
963	4794	179
964	4799	174
965	4806	169
966	4811	164
967	4818	159
968	4824	154
969	4831	149
970	4836	144
971	4840	139
972	4845	134
973	4850	129
974	4856	124
975	4861	119
976	4866	114
977	4871	109
978	4877	104
979	4882	99
980	4889	94
981	4894	89
982	4898	84
983	4902	79
984	4906	74
985	4910	69
986	4915	64
987	4919	59
988	4924	54
989	4928	49
990	4933	44
991	4939	39
992	4944	34
993	4949	29
994	4954	24
995	4960	19
996	4966	14
997	4970	9
998	4976	4
999	4982	0
