district,property_type,property_face,road_type,ward_no,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot,log_land,neighborhood_encoded,municipality_encoded,urban_centrality,amenity_access_score,plot_value_score,commercial_zone_score,neighborhood_x_district,municipality_x_ward,road_access_quality
1,1,5,0,4,3500000.0,5.5,12.0,30.0,1000.0,8000.0,500.0,6000.0,500.0,500.0,1000.0,2000.0,0.1315546732015944,0.0,1,1.8718021769015913,15.011580565045195,15.040420132235445,0.060281911442519945,0.6273223119867839,4.801077790938843,12.0,15.011580565045195,60.16168052894178,5.9989365619466835
1,0,2,0,2,3300000.0,14.0,36.0,60.0,1000.0,9000.0,1000.0,7000.0,1000.0,50.0,1000.0,5000.0,0.1174068144882187,36.0,1,2.70805020110221,14.888337580462094,15.040420132235445,0.05674568877300212,0.6885664299870033,9.778546979499763,0.0,14.888337580462094,30.08084026447089,7.721791776817536
1,1,6,0,4,4200000.0,4.0,13.0,28.0,800.0,7000.0,100.0,2500.0,500.0,50.0,800.0,2000.0,0.1315546732015944,0.0,1,1.6094379124341003,15.275640507079281,15.259942022423187,0.06077102406814365,0.7814426880327279,4.247398919369893,13.0,15.275640507079281,61.03976808969275,6.0063531596017325
1,1,0,1,11,4000000.0,4.0,13.0,34.0,400.0,8000.0,380.0,2000.0,350.0,600.0,800.0,5000.0,0.1174068144882187,0.0,0,1.6094379124341003,15.24117505591717,15.259942022423187,0.05712746542281154,0.6620153228254788,4.247398919369893,13.0,15.24117505591717,167.85936224665505,6.194405391104672
1,1,6,1,8,4500000.0,6.0,13.0,36.0,500.0,6000.0,250.0,400.0,650.0,250.0,400.0,2000.0,0.1315546732015944,0.0,1,1.9459101490553132,15.275640507079281,15.259942022423187,0.061345614575167004,0.6771772413192315,5.135368441637144,13.0,15.275640507079281,122.0795361793855,6.249975242259483
1,0,4,0,6,4000000.0,28.0,36.0,81.0,1000.0,7000.0,500.0,6000.0,300.0,50.0,500.0,5000.0,0.1174068144882187,36.0,0,3.367295829986474,14.66806214026414,15.21092495118319,0.05756654213502682,0.7351581625322859,12.15902882967036,0.0,14.66806214026414,91.26554970709914,8.017637159908478
1,1,5,0,8,4500000.0,4.0,13.0,28.0,500.0,4000.0,100.0,1000.0,200.0,200.0,800.0,1000.0,0.1447438839476537,0.0,1,1.6094379124341003,15.275640507079281,15.259942022423187,0.06577625616981095,0.7546618700413557,4.247398919369893,13.0,15.275640507079281,122.0795361793855,6.0063531596017325
1,1,2,1,6,4500000.0,4.5,20.0,28.0,700.0,4000.0,200.0,1500.0,200.0,200.0,800.0,1500.0,0.1367262063277868,0.0,1,1.7047480922384253,15.275640507079281,15.259942022423187,0.0640689425265836,0.7182983156387049,5.190143817486085,20.0,15.275640507079281,91.55965213453912,6.411818267709897
1,1,4,0,2,5000000.0,46.0,13.0,28.0,500.0,8000.0,100.0,2000.0,100.0,200.0,500.0,2000.0,0.1315546732015944,0.0,0,3.8501476017100584,15.275640507079281,15.259942022423187,0.060281911442519945,0.782779271030497,10.160760248393538,13.0,15.275640507079281,30.519884044846375,6.0063531596017325
1,1,6,0,6,6000000.0,11.7,32.0,40.0,1000.0,7000.0,500.0,5000.0,1000.0,500.0,500.0,4000.0,0.1205647308583029,0.0,1,2.5416019934645457,15.154206420354,15.079593478302563,0.05831547169951634,0.6112067199213942,8.886730588387064,32.0,15.154206420354,90.47756086981538,7.210079628170789
1,1,2,0,3,4200000.0,3.5,13.0,30.0,3000.0,8000.0,300.0,3000.0,100.0,300.0,1000.0,4000.0,0.1205647308583029,0.0,1,1.5040773967762742,14.955582680414684,15.22043658538603,0.05786494077135059,0.6920145011051337,3.9693464782710635,13.0,14.955582680414684,45.66130975615809,6.073044534100404
1,2,5,0,5,5500000.0,12.0,15.0,54.0,3000.0,5000.0,100.0,4000.0,150.0,200.0,200.0,250.0,0.1809806383324532,0.0,1,2.5649493574615367,15.275640507079281,15.259942022423187,0.07121063580186063,0.7294473036389342,7.1115496616140295,30.0,15.275640507079281,76.29971011211593,6.779921907472252
1,1,0,1,13,2600000.0,16.25,13.0,54.0,6000.0,7000.0,400.0,6000.0,600.0,200.0,6000.0,11000.0,0.1074605397806078,0.0,0,2.847812143477369,15.275640507079281,15.259942022423187,0.055067444665406334,0.6266272871701057,7.5155395106112906,13.0,15.275640507079281,198.37924629150143,6.646390514847729
1,1,4,0,10,5500000.0,9.0,13.0,46.0,400.0,6000.0,150.0,400.0,50.0,400.0,100.0,200.0,0.1885616643463903,0.0,0,2.302585092994046,15.24117505591717,15.259942022423187,0.07141333840723746,0.7873151127537354,6.076654066728768,13.0,15.24117505591717,152.59942022423186,6.489204931325316
1,2,5,1,5,3000000.0,3.75,22.0,29.0,3000.0,9000.0,500.0,6000.0,1000.0,500.0,1000.0,6000.0,0.1149467381513831,0.0,1,1.55814461804655,14.99382820858115,15.079593478302563,0.05616471694523931,0.5913582228882494,4.885553437466092,44.0,14.99382820858115,75.39796739151282,6.536691597591306
1,1,7,0,7,8000000.0,4.5,16.0,29.0,200.0,5000.0,100.0,1000.0,200.0,50.0,100.0,400.0,0.1668345737835949,0.0,0,1.7047480922384253,15.719212048981774,15.22043658538603,0.06891155427266794,0.8481371721723546,4.829915043184283,16.0,15.719212048981774,106.54305609770222,6.234410725718371
1,2,3,0,6,8000000.0,8.0,20.0,40.0,2000.0,5500.0,500.0,2000.0,400.0,400.0,1000.0,3000.0,0.1248953869145088,0.0,1,2.1972245773362196,15.58427381673093,15.712229222625739,0.060170694567051035,0.6260832967818277,6.689499526417485,40.0,15.58427381673093,94.27337533575444,6.758094504427731
1,1,1,0,4,3700000.0,5.18,13.0,31.0,300.0,8000.0,300.0,3000.0,500.0,300.0,500.0,3000.0,0.1248953869145088,0.0,0,1.8213182714695995,15.011580565045195,15.040420132235445,0.0588442195298682,0.6865195492956832,4.806563333884039,13.0,15.011580565045195,60.16168052894178,6.104793232414985
1,1,4,0,7,3800000.0,3.62,12.0,25.0,2000.0,7000.0,400.0,4000.0,500.0,150.0,600.0,5000.0,0.1174068144882187,0.0,0,1.5303947050936475,15.154206420354,15.079593478302563,0.05756654213502682,0.6585599100407361,3.925384915492489,12.0,15.154206420354,105.55715434811793,5.823045895483019
1,1,0,0,7,3500000.0,8.5,13.0,20.0,1000.0,7000.0,500.0,2000.0,500.0,500.0,1000.0,2000.0,0.1315546732015944,0.0,0,2.2512917986064953,15.320077834930247,15.259942022423187,0.06077102406814365,0.6273223119867839,5.941288122215189,13.0,15.320077834930247,106.81959415696231,5.683579767338681
1,1,5,0,5,3000000.0,3.0,13.0,25.0,3000.0,8000.0,500.0,7000.0,1000.0,500.0,500.0,7000.0,0.1129457481958604,0.0,1,1.3862943611198906,14.99382820858115,15.079593478302563,0.05605026111447288,0.5913582228882494,3.658510294717749,13.0,14.99382820858115,75.39796739151282,5.8971538676367405
