district,property_type,property_face,road_type,municipality,ward_no,neighborhood,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot
Kathmandu,Residential,South-East,Low Access,Kageshwori Manohara,1,Mulpani,3800000.0,5.0,20.0,36.0,400.0,5000.0,200.0,4500.0,400.0,200.0,1800.0,4500.0,0.11887701816768416,0.0,1
Kathmandu,Commercial,North-West,High Access,Kageshwori Manohara,1,Mulpani,4400000.0,4.35,20.0,40.0,2000.0,5500.0,300.0,5000.0,1200.0,200.0,2000.0,4500.0,0.11887701816768416,20.0,1
Kathmandu,Residential,North-East,High Access,Kathmandu,31,Baneshwor,8000000.0,5.75,13.0,35.0,500.0,1500.0,100.0,1000.0,100.0,100.0,100.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Residential,West,High Access,Kathmandu,31,Tinkune,8500000.0,5.0,13.0,15.0,100.0,1000.0,100.0,1000.0,50.0,100.0,100.0,100.0,0.21667906533553166,0.0,0
Kathmandu,Commercial,West,Low Access,Lalitpur,21,Balkhu,3500000.0,5.0,4.0,55.0,400.0,6000.0,400.0,300.0,200.0,50.0,50.0,100.0,0.21667906533553166,4.0,0
Kathmandu,Residential,East,High Access,Gokarneshwor,6,Jorpati,4300000.0,5.12,13.0,31.0,50.0,6600.0,300.0,4500.0,300.0,200.0,800.0,4800.0,0.11797211351507844,0.0,0
Kathmandu,Semi-commercial,North,High Access,Kathmandu,32,Pepsicola,6500000.0,5.5,20.0,32.0,1800.0,3400.0,400.0,3800.0,400.0,400.0,800.0,1600.0,0.13553103754126283,0.0,0
Kathmandu,Residential,South-East,High Access,Kageshwori Manohara,8,Gothatar,4300000.0,5.5,13.0,49.0,4000.0,3200.0,300.0,5000.0,200.0,150.0,2000.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Residential,West,High Access,Budhanilkantha,3,Budhanilkantha,8500000.0,8.5,40.0,50.0,1000.0,6000.0,100.0,500.0,200.0,50.0,200.0,100.0,0.21667906533553166,0.0,0
Kathmandu,Semi-commercial,South,High Access,Budhanilkantha,2,Bhangal,4300000.0,1.0,13.0,40.0,1000.0,8000.0,300.0,3000.0,600.0,600.0,600.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South-West,High Access,Chandragiri,13,Kalanki,3500000.0,24.0,20.0,35.0,500.0,10000.0,400.0,2000.0,200.0,100.0,1700.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,South-East,High Access,Chandragiri,12,Budget_Zone,2000000.0,8.06,16.0,38.0,2000.0,15000.0,1000.0,5000.0,100.0,200.0,1700.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Commercial,East,High Access,Kathmandu,16,High_Zone,7000000.0,8.58,13.0,59.0,1000.0,7000.0,100.0,2000.0,500.0,500.0,500.0,1000.0,0.1447438839476537,13.0,0
Kathmandu,Residential,East,High Access,Kirtipur,2,Kirtipur,5500000.0,8.0,13.0,38.0,1000.0,7000.0,100.0,1000.0,300.0,500.0,500.0,1000.0,0.1447438839476537,0.0,0
Kathmandu,Residential,South-East,High Access,Kirtipur,2,Kirtipur,5000000.0,4.0,16.0,25.0,500.0,12000.0,400.0,2000.0,200.0,100.0,1700.0,1500.0,0.13672620632778687,0.0,1
Kathmandu,Residential,North-East,Low Access,Kathmandu,13,High_Zone,6500000.0,5.25,13.0,20.0,500.0,10500.0,400.0,2000.0,200.0,200.0,1700.0,1500.0,0.13672620632778687,0.0,1
Kathmandu,Semi-commercial,West,High Access,Kathmandu,2,Gairidhara,8500000.0,24.75,13.0,55.0,1000.0,3000.0,500.0,1000.0,100.0,100.0,1700.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,East,High Access,Kathmandu,32,Koteshwor,7500000.0,2.75,11.0,30.0,1000.0,4000.0,100.0,500.0,100.0,100.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,South-East,Low Access,Budhanilkantha,3,Budhanilkantha,3500000.0,34.0,13.0,81.0,800.0,11000.0,200.0,3000.0,500.0,500.0,500.0,3000.0,0.12489538691450888,0.0,1
Kathmandu,Semi-commercial,East,High Access,Tokha,3,Tokha,4000000.0,16.0,32.0,52.0,1000.0,7000.0,500.0,2000.0,500.0,200.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Semi-commercial,North,High Access,Chandragiri,2,Chandragiri,2700000.0,1.0,20.0,80.0,2000.0,3000.0,300.0,7000.0,500.0,500.0,500.0,3000.0,0.12489538691450888,0.0,0
Kathmandu,Commercial,South-East,High Access,Kathmandu,32,Pepsicola,5500000.0,31.0,13.0,76.0,150.0,3000.0,300.0,2500.0,350.0,50.0,200.0,1000.0,0.1447438839476537,13.0,1
Kathmandu,Commercial,South-West,Low Access,Kathmandu,32,Pepsicola,6500000.0,5.0,20.0,40.0,2500.0,3500.0,400.0,3800.0,400.0,50.0,500.0,1700.0,0.13442718359379177,20.0,1
Kathmandu,Residential,South,High Access,Chandragiri,9,Naikap,4500000.0,10.0,13.0,40.0,2000.0,7000.0,400.0,400.0,500.0,300.0,500.0,600.0,0.1562843108887373,0.0,0
Kathmandu,Residential,East,High Access,Tarkeshwor,7,High_Zone,5500000.0,4.85,22.0,35.0,500.0,13000.0,100.0,300.0,500.0,50.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,North-West,High Access,Kathmandu,16,Balaju,6000000.0,5.56,16.0,27.0,500.0,10000.0,100.0,3000.0,100.0,50.0,100.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Semi-commercial,South,Low Access,Budhanilkantha,10,Kapan,6600000.0,6.0,12.0,34.0,500.0,6000.0,100.0,1000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South-East,Low Access,Kirtipur,4,Kirtipur,3000000.0,4.0,13.0,32.0,2000.0,10000.0,3000.0,4000.0,200.0,200.0,400.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Semi-commercial,North-East,High Access,Nagarjun,6,Sanobharyang,6000000.0,6.0,20.0,50.0,1000.0,9000.0,500.0,2000.0,500.0,500.0,1000.0,1000.0,0.1447438839476537,0.0,1
Kathmandu,Residential,South,High Access,Gokarneshwor,9,Gokarneshwor,4200000.0,3.5,13.0,28.0,1000.0,5000.0,500.0,5000.0,1000.0,1000.0,1000.0,5000.0,0.1174068144882187,0.0,0
Kathmandu,Semi-commercial,South,High Access,Budhanilkantha,11,Kapan,4000000.0,3.0,20.0,34.0,2000.0,5000.0,500.0,4000.0,500.0,1000.0,1500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,North-West,High Access,Chandragiri,1,Kalanki,6800000.0,4.0,32.0,27.0,500.0,12000.0,400.0,2000.0,200.0,50.0,1700.0,1500.0,0.13672620632778687,0.0,1
Kathmandu,Residential,South-East,High Access,Kathmandu,14,Kalanki,5200000.0,10.0,13.0,30.0,50.0,10000.0,50.0,2000.0,200.0,100.0,1700.0,100.0,0.21667906533553166,0.0,1
Kathmandu,Residential,East,Low Access,Budhanilkantha,4,Budhanilkantha,3000000.0,4.0,13.0,28.0,1000.0,8000.0,200.0,2000.0,500.0,1000.0,800.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,North-West,High Access,Chandragiri,14,Naikap,2200000.0,5.85,7.0,20.0,500.0,11500.0,400.0,2000.0,200.0,200.0,1700.0,1500.0,0.13672620632778687,0.0,1
Kathmandu,Semi-commercial,North-East,Low Access,Tokha,1,Tokha,1800000.0,15.0,32.0,64.0,3000.0,9000.0,500.0,4000.0,50.0,1000.0,1000.0,6000.0,0.11494673815138318,0.0,1
Kathmandu,Commercial,East,High Access,Tokha,3,Tokha,6000000.0,5.75,20.0,35.0,1000.0,7000.0,500.0,2000.0,500.0,200.0,500.0,4000.0,0.12056473085830295,20.0,0
Kathmandu,Residential,South-West,Low Access,Shankarapur,9,Sankhu,1500000.0,3.0,16.0,30.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Residential,East,High Access,Kageshwori Manohara,2,Kageshwari-Manohara,3300000.0,7.5,18.0,35.0,1000.0,7000.0,500.0,4000.0,1000.0,500.0,1000.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,East,High Access,Kathmandu,7,Premium_Zone,7000000.0,3.75,16.0,30.0,1000.0,3000.0,500.0,1000.0,500.0,500.0,500.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,South-East,Low Access,Tarkeshwor,1,Tarkeshwor,4000000.0,6.0,20.0,52.0,2000.0,6000.0,500.0,3000.0,500.0,200.0,1000.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Semi-commercial,North-East,High Access,Kathmandu,9,Sukedhara,7000000.0,6.0,20.0,55.0,1000.0,4000.0,500.0,1000.0,100.0,100.0,1700.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Commercial,West,High Access,Kathmandu,15,Swayambhu,8500000.0,20.0,18.0,55.0,1000.0,8000.0,500.0,1000.0,100.0,100.0,1700.0,4000.0,0.12056473085830295,18.0,0
Kathmandu,Residential,South-East,High Access,Budhanilkantha,4,Budhanilkantha,5500000.0,8.0,13.0,35.0,500.0,9000.0,200.0,3000.0,500.0,200.0,500.0,3000.0,0.12489538691450888,0.0,1
Kathmandu,Commercial,North-East,Low Access,Budhanilkantha,4,Budhanilkantha,2600000.0,8.0,13.0,30.0,2000.0,10000.0,500.0,3000.0,800.0,1000.0,500.0,2000.0,0.13155467320159442,13.0,1
Kathmandu,Residential,South-East,High Access,Nagarjun,3,Swayambhu,4800000.0,3.0,13.0,32.0,500.0,9000.0,400.0,2000.0,900.0,500.0,1700.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,South,Low Access,Budhanilkantha,11,Kapan,3000000.0,3.06,10.0,34.0,2000.0,5000.0,300.0,4000.0,500.0,1500.0,1500.0,1500.0,0.13672620632778687,0.0,0
Kathmandu,Residential,East,Low Access,Kageshwori Manohara,5,Kageshwari-Manohara,2500000.0,4.0,20.0,30.0,1000.0,10000.0,500.0,4000.0,500.0,500.0,500.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Residential,South-East,Low Access,Kageshwori Manohara,6,Sankhu,2200000.0,3.5,13.0,30.0,1000.0,10000.0,500.0,7000.0,500.0,500.0,500.0,7000.0,0.11294574819586044,0.0,1
Kathmandu,Residential,South,High Access,Ichangu Narayan,4,Swayambhu,5800000.0,3.68,13.0,27.0,1000.0,8200.0,500.0,5000.0,100.0,300.0,1700.0,600.0,0.1562843108887373,0.0,0
Kathmandu,Residential,South-West,Low Access,Tarkeshwor,2,Kavresthali,2000000.0,50.0,16.0,55.0,1000.0,14000.0,100.0,3000.0,100.0,50.0,100.0,7000.0,0.11294574819586044,0.0,1
Kathmandu,Residential,East,High Access,Kathmandu,7,Dhumbarahi,9000000.0,12.0,36.0,60.0,1000.0,5000.0,500.0,1000.0,500.0,500.0,500.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,West,Low Access,Budhanilkantha,6,Budhanilkantha,5000000.0,15.08,13.0,40.0,500.0,8000.0,100.0,3000.0,200.0,200.0,300.0,3000.0,0.12489538691450888,0.0,0
Kathmandu,Commercial,East,High Access,Budhanilkantha,10,Budhanilkantha,3000000.0,14.0,22.0,100.0,500.0,8000.0,200.0,2000.0,500.0,200.0,500.0,4000.0,0.12056473085830295,22.0,0
Kathmandu,Commercial,East,Low Access,Kageshwori Manohara,6,Mulpani,4800000.0,6.0,16.0,40.0,1000.0,7000.0,500.0,5000.0,500.0,500.0,500.0,6000.0,0.11494673815138318,16.0,0
Kathmandu,Residential,North,High Access,Kageshwori Manohara,6,High_Zone,5500000.0,7.93,26.0,58.0,1000.0,5000.0,500.0,3000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,East,High Access,Budhanilkantha,8,Budhanilkantha,3800000.0,6.0,13.0,30.0,800.0,7000.0,200.0,2000.0,500.0,500.0,500.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,East,Low Access,Budhanilkantha,8,Budhanilkantha,3000000.0,4.0,13.0,32.0,800.0,6000.0,200.0,2000.0,500.0,500.0,500.0,1500.0,0.13672620632778687,0.0,0
Kathmandu,Residential,East,High Access,Budhanilkantha,8,Budhanilkantha,5000000.0,3.8,13.0,50.0,200.0,6000.0,200.0,1000.0,500.0,500.0,500.0,100.0,0.21667906533553166,0.0,0
Kathmandu,Residential,South-East,High Access,Shankarapur,9,Kageshwari-Manohara,3000000.0,12.75,20.0,32.0,2000.0,10000.0,500.0,7000.0,1000.0,200.0,500.0,7000.0,0.11294574819586044,0.0,1
Kathmandu,Residential,South-East,Low Access,Unknown,4,Manmaiju,4200000.0,5.0,8.0,40.0,500.0,8000.0,900.0,300.0,200.0,100.0,500.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,North-West,Low Access,Ramkot,9,Ramkot,2600000.0,3.86,13.0,29.0,550.0,12000.0,500.0,2000.0,100.0,100.0,1700.0,4500.0,0.11887701816768416,0.0,1
Kathmandu,Residential,South-West,Low Access,Budhanilkantha,8,Budhanilkantha,3800000.0,3.0,13.0,30.0,800.0,7000.0,200.0,1500.0,800.0,800.0,800.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,East,High Access,Budhanilkantha,2,Budhanilkantha,3800000.0,9.8,13.0,50.0,1000.0,7000.0,200.0,2000.0,500.0,500.0,500.0,1000.0,0.1447438839476537,0.0,0
Kathmandu,Residential,South,Low Access,Budhanilkantha,8,Budhanilkantha,5500000.0,11.68,12.0,50.0,500.0,8000.0,500.0,2000.0,500.0,500.0,500.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,North-East,High Access,Kathmandu,16,Chamati,6500000.0,6.0,10.0,35.0,1000.0,7000.0,500.0,1000.0,500.0,500.0,500.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Semi-commercial,South-East,High Access,Kathmandu,13,Kuleshwor,8500000.0,7.0,16.0,44.0,1000.0,6000.0,100.0,2000.0,200.0,500.0,300.0,300.0,0.1752200244275466,0.0,1
Kathmandu,Residential,North-East,High Access,Kathmandu,12,Kapan,4500000.0,5.0,13.0,28.0,2000.0,5000.0,500.0,3000.0,500.0,100.0,500.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,North,Low Access,Kageshwori Manohara,1,Kageshwari-Manohara,1900000.0,6.0,13.0,32.0,3000.0,50.0,500.0,7000.0,1000.0,500.0,500.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Residential,South-East,High Access,Gokarneshwor,1,Gokarneshwor,3000000.0,6.0,13.0,37.0,1000.0,10000.0,500.0,5000.0,500.0,500.0,500.0,9000.0,0.10982866664979875,0.0,1
Kathmandu,Commercial,South-West,High Access,Kathmandu,13,Premium_Zone,9000000.0,18.0,20.0,60.0,1000.0,7000.0,100.0,2000.0,500.0,100.0,500.0,2000.0,0.13155467320159442,20.0,1
Kathmandu,Residential,South,High Access,Chandragiri,8,Budget_Zone,3600000.0,9.0,13.0,51.0,2000.0,10000.0,100.0,3000.0,400.0,100.0,200.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,West,High Access,Kathmandu,14,Kalanki,4700000.0,12.0,10.0,27.0,2500.0,10000.0,500.0,900.0,500.0,450.0,1700.0,450.0,0.16362682551476665,0.0,0
Kathmandu,Residential,East,High Access,Kirtipur,4,Kirtipur,3000000.0,6.0,16.0,38.0,1000.0,10000.0,500.0,2000.0,300.0,400.0,500.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,West,High Access,Kathmandu,7,Chabahil,7000000.0,3.125,13.0,55.0,1000.0,2000.0,500.0,1000.0,100.0,100.0,1700.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,West,High Access,Kathmandu,3,Premium_Zone,7000000.0,5.0,13.0,35.0,1000.0,7000.0,200.0,2000.0,500.0,500.0,500.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Commercial,South-West,High Access,Tarkeshwor,6,Tarkeshwor,4500000.0,15.0,26.0,50.0,2000.0,14000.0,1000.0,4000.0,1000.0,50.0,1000.0,4000.0,0.12056473085830295,26.0,1
Kathmandu,Residential,North,High Access,Tokha,10,Samakhusi,5700000.0,4.0,11.0,35.0,500.0,6000.0,100.0,1000.0,200.0,100.0,200.0,200.0,0.18856166434639035,0.0,0
Kathmandu,Commercial,South,High Access,Tokha,3,Tokha,7000000.0,5.5,58.0,35.0,200.0,7000.0,100.0,1000.0,500.0,50.0,50.0,3000.0,0.12489538691450888,58.0,0
Kathmandu,Residential,North-East,High Access,Tarkeshwor,7,High_Zone,5000000.0,6.0,20.0,32.0,200.0,7000.0,100.0,3000.0,200.0,200.0,200.0,3000.0,0.12489538691450888,0.0,1
Kathmandu,Residential,South,High Access,Kageshwori Manohara,8,Gothatar,3400000.0,4.5,20.0,38.0,3800.0,7000.0,500.0,4000.0,300.0,200.0,500.0,6000.0,0.11494673815138318,0.0,0
Kathmandu,Residential,North,High Access,Kathmandu,14,Bafal,6500000.0,5.0,13.0,22.0,1000.0,7000.0,200.0,1000.0,500.0,500.0,500.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,North-East,High Access,Budhanilkantha,13,Kapan,3500000.0,7.25,13.0,35.0,1000.0,5000.0,500.0,3000.0,500.0,500.0,500.0,3000.0,0.12489538691450888,0.0,1
Kathmandu,Commercial,South-East,High Access,Budhanilkantha,3,Budhanilkantha,5500000.0,4.0,13.0,40.0,500.0,7000.0,100.0,800.0,500.0,100.0,100.0,100.0,0.21667906533553166,13.0,1
Kathmandu,Residential,East,High Access,Gokarneshwor,6,Jorpati,5500000.0,10.0,12.0,58.0,500.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South,Low Access,Chandragiri,13,Kalanki,1500000.0,42.0,13.0,100.0,3000.0,10000.0,300.0,2000.0,300.0,300.0,400.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,South,High Access,Chandragiri,2,Budget_Zone,2700000.0,3.25,13.0,35.0,600.0,10000.0,300.0,400.0,400.0,400.0,300.0,300.0,0.1752200244275466,0.0,0
Kathmandu,Residential,North,High Access,Chandragiri,2,Budget_Zone,3000000.0,3.25,13.0,30.0,300.0,10000.0,300.0,4000.0,300.0,500.0,300.0,800.0,0.14956936854011055,0.0,0
Kathmandu,Residential,East,Low Access,Chandragiri,2,Budget_Zone,3000000.0,3.32,13.0,48.0,400.0,10000.0,300.0,4000.0,300.0,300.0,200.0,700.0,0.1526133225995339,0.0,0
Kathmandu,Residential,West,Low Access,Budhanilkantha,3,Budhanilkantha,3200000.0,7.5,3.0,30.0,800.0,6000.0,400.0,1000.0,500.0,500.0,500.0,800.0,0.14956936854011055,0.0,0
Kathmandu,Residential,West,High Access,Tokha,3,Tokha,3500000.0,6.0,20.0,45.0,2000.0,8000.0,1000.0,3000.0,500.0,500.0,1000.0,5000.0,0.1174068144882187,0.0,0
Kathmandu,Residential,South,Low Access,Kathmandu,32,Pepsicola,5500000.0,9.0,20.0,70.0,2000.0,3500.0,300.0,2500.0,400.0,300.0,900.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Semi-commercial,West,Low Access,Gokarneshwor,9,Gokarneshwor,3200000.0,4.25,22.0,35.0,2600.0,8400.0,500.0,6100.0,50.0,500.0,800.0,6200.0,0.11451519162699778,0.0,0
Kathmandu,Residential,North-West,High Access,Nagarjun,1,Raniban,4000000.0,6.0,16.0,24.0,1000.0,10000.0,100.0,3000.0,50.0,450.0,100.0,2500.0,0.12780457668621606,0.0,1
Kathmandu,Commercial,South-East,High Access,Budhanilkantha,4,Budhanilkantha,4200000.0,38.0,22.0,100.0,1000.0,8000.0,300.0,2000.0,500.0,500.0,500.0,3000.0,0.12489538691450888,22.0,1
Kathmandu,Commercial,North-West,High Access,Budhanilkantha,8,Budhanilkantha,4500000.0,3.0,26.0,30.0,1000.0,7000.0,100.0,2000.0,800.0,200.0,800.0,1500.0,0.13672620632778687,26.0,1
Kathmandu,Residential,South-West,Low Access,Budhanilkantha,4,Budhanilkantha,1500000.0,10.0,13.0,50.0,1000.0,7000.0,500.0,2000.0,800.0,1000.0,1000.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Commercial,East,High Access,Budhanilkantha,3,Budhanilkantha,6000000.0,3.0,13.0,30.0,100.0,6000.0,100.0,1000.0,200.0,100.0,200.0,800.0,0.14956936854011055,13.0,0
Kathmandu,Commercial,South-East,High Access,Budhanilkantha,8,Budhanilkantha,4000000.0,19.25,26.0,50.0,100.0,7000.0,200.0,1000.0,200.0,100.0,200.0,1000.0,0.1447438839476537,26.0,1
Kathmandu,Residential,North-East,High Access,Tarkeshwor,9,Tarkeshwor,4400000.0,3.0,10.0,28.0,1000.0,7000.0,500.0,2000.0,700.0,500.0,300.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,East,High Access,Tokha,2,Tokha,3500000.0,4.0,16.0,35.0,700.0,8000.0,500.0,2000.0,500.0,1000.0,1000.0,3000.0,0.12489538691450888,0.0,0
Kathmandu,Semi-commercial,South,High Access,Tarkeshwor,9,Tarkeshwor,5000000.0,4.1,16.0,28.0,1000.0,8000.0,500.0,3000.0,300.0,100.0,1000.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,North-East,High Access,Kageshwori Manohara,9,Kadaghari,4200000.0,5.87,10.0,31.0,2500.0,3600.0,400.0,2800.0,500.0,400.0,1000.0,3500.0,0.1225369473015127,0.0,1
Kathmandu,Residential,South-East,High Access,Budhanilkantha,4,Budhanilkantha,6000000.0,10.0,22.0,50.0,800.0,7000.0,200.0,50.0,100.0,100.0,500.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Residential,South,High Access,Nagarjun,5,Ramkot,3000000.0,22.0,16.0,29.0,500.0,13000.0,700.0,2000.0,100.0,100.0,1700.0,3500.0,0.1225369473015127,0.0,0
Kathmandu,Residential,South,High Access,Kageshwori Manohara,6,Mulpani,5000000.0,7.0,20.0,35.0,1000.0,6000.0,500.0,4000.0,1000.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South,Low Access,Kageshwori Manohara,1,Kageshwari-Manohara,2000000.0,5.0,16.0,36.0,1000.0,8000.0,500.0,5000.0,1000.0,500.0,500.0,7000.0,0.11294574819586044,0.0,0
Kathmandu,Residential,South-West,Low Access,Kageshwori Manohara,2,Kageshwari-Manohara,1500000.0,2.5,26.0,28.0,1000.0,9000.0,500.0,7000.0,1000.0,500.0,500.0,7000.0,0.11294574819586044,0.0,1
Kathmandu,Residential,East,Low Access,Chandragiri,8,Budget_Zone,3000000.0,4.0,13.0,29.0,3000.0,12000.0,300.0,400.0,500.0,500.0,400.0,400.0,0.16683457378359495,0.0,0
Kathmandu,Residential,North-East,High Access,Kathmandu,6,High_Zone,7000000.0,3.0,12.0,55.0,1000.0,4000.0,500.0,1000.0,100.0,100.0,1700.0,1000.0,0.1447438839476537,0.0,1
Kathmandu,Residential,South,High Access,Kathmandu,7,Boudha,6000000.0,3.25,8.0,55.0,1000.0,3000.0,500.0,1000.0,100.0,200.0,1700.0,1000.0,0.1447438839476537,0.0,0
Kathmandu,Commercial,North-East,High Access,Kirtipur,2,Kirtipur,6800000.0,8.0,16.0,60.0,2000.0,10000.0,300.0,1000.0,200.0,50.0,400.0,400.0,0.16683457378359495,16.0,1
Kathmandu,Commercial,East,High Access,Tarkeshwor,6,Tarkeshwor,4000000.0,14.0,32.0,46.0,4000.0,14000.0,500.0,4000.0,1000.0,100.0,100.0,4000.0,0.12056473085830295,32.0,0
Kathmandu,Residential,South-East,High Access,Budhanilkantha,4,Budhanilkantha,4300000.0,5.56,13.0,30.0,1000.0,7000.0,200.0,2000.0,300.0,800.0,800.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,South,High Access,Nagarjun,10,Kalanki,4800000.0,3.1,13.0,55.0,400.0,5000.0,300.0,2000.0,400.0,500.0,400.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,South-West,High Access,Budhanilkantha,7,Budhanilkantha,3500000.0,7.5,13.0,50.0,800.0,7000.0,200.0,2000.0,800.0,1000.0,1000.0,1500.0,0.13672620632778687,0.0,1
Kathmandu,Residential,South,High Access,Budhanilkantha,7,Budhanilkantha,5500000.0,5.0,13.0,40.0,500.0,6000.0,100.0,2000.0,200.0,200.0,500.0,50.0,0.25433477814404226,0.0,0
Kathmandu,Residential,South,High Access,Gokarneshwor,5,Jorpati,4500000.0,38.0,13.0,27.0,2400.0,3200.0,300.0,2800.0,300.0,300.0,600.0,3200.0,0.12389702930825783,0.0,0
Kathmandu,Semi-commercial,South-East,High Access,Kathmandu,6,Kapan,9500000.0,7.0,20.0,35.0,500.0,3500.0,50.0,2000.0,50.0,100.0,500.0,400.0,0.16683457378359495,0.0,1
Kathmandu,Semi-commercial,East,High Access,Gokarneshwor,6,Jorpati,6000000.0,3.56,20.0,25.0,1500.0,2500.0,50.0,2700.0,50.0,250.0,600.0,2100.0,0.13071607164552396,0.0,0
Kathmandu,Residential,South-East,Low Access,Kirtipur,4,Kirtipur,2600000.0,3.5,16.0,30.0,3000.0,11000.0,300.0,400.0,400.0,200.0,300.0,400.0,0.16683457378359495,0.0,1
Kathmandu,Semi-commercial,North,High Access,Chandragiri,10,Budget_Zone,2900000.0,6.0,13.0,30.0,300.0,10000.0,300.0,400.0,400.0,300.0,500.0,300.0,0.1752200244275466,0.0,0
Kathmandu,Residential,South-West,Low Access,Shankarapur,9,Sankhu,2000000.0,4.0,16.0,28.0,1000.0,9000.0,500.0,7000.0,500.0,1000.0,500.0,7000.0,0.11294574819586044,0.0,1
Kathmandu,Residential,East,Low Access,Kageshwori Manohara,6,Mulpani,3200000.0,4.0,13.0,28.0,1000.0,7000.0,500.0,6000.0,500.0,500.0,500.0,6000.0,0.11494673815138318,0.0,0
Kathmandu,Residential,East,Low Access,Kageshwori Manohara,6,Mulpani,3000000.0,4.0,15.0,28.0,1000.0,8000.0,500.0,5000.0,1000.0,500.0,500.0,7000.0,0.11294574819586044,0.0,0
Kathmandu,Residential,South-East,Low Access,Kageshwori Manohara,4,Kageshwari-Manohara,2000000.0,17.0,13.0,28.0,1000.0,7000.0,500.0,5000.0,500.0,500.0,500.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Residential,North,High Access,Kageshwori Manohara,5,Thali,3000000.0,3.25,16.0,28.0,1000.0,6000.0,500.0,5000.0,500.0,500.0,500.0,6000.0,0.11494673815138318,0.0,0
Kathmandu,Residential,North,High Access,Kageshwori Manohara,9,Gothatar,4100000.0,4.19,10.0,32.0,3000.0,3500.0,400.0,5000.0,350.0,400.0,2000.0,4300.0,0.11952282425569376,0.0,0
Kathmandu,Semi-commercial,South,High Access,Kirtipur,6,Kirtipur,3800000.0,3.1,13.0,30.0,3000.0,10000.0,200.0,3000.0,300.0,300.0,400.0,300.0,0.1752200244275466,0.0,0
Kathmandu,Residential,West,High Access,Tarkeshwor,7,Tarkeshwor,2500000.0,5.0,13.0,32.0,2000.0,13000.0,500.0,2000.0,1000.0,500.0,1000.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Semi-commercial,North,High Access,Tokha,8,Tokha,9000000.0,12.0,13.0,70.0,500.0,7000.0,200.0,100.0,100.0,50.0,300.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,South,Low Access,Budhanilkantha,6,Budhanilkantha,6000000.0,7.0,13.0,92.0,400.0,8000.0,200.0,1500.0,200.0,200.0,200.0,2000.0,0.13155467320159442,0.0,0
