district,property_type,property_face,road_type,municipality,ward_no,neighborhood,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot
Kathmandu,Residential,South,High Access,Budhanilkantha,4,Budhanilkantha,4500000.0,19.0,10.0,55.0,1000.0,7000.0,400.0,5000.0,400.0,400.0,1250.0,5000.0,0.1174068144882187,0.0,0
Kathmandu,Semi-commercial,West,High Access,Kathmandu,18,High_Zone,8000000.0,9.0,15.0,45.0,400.0,7000.0,500.0,5000.0,200.0,200.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,East,High Access,Tokha,3,Tokha,3800000.0,8.0,16.0,51.0,300.0,9000.0,300.0,2000.0,200.0,50.0,300.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South-West,High Access,Budhanilkantha,1,Budhanilkantha,6500000.0,5.81,16.0,46.0,4000.0,8000.0,200.0,5000.0,300.0,200.0,200.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Residential,East,High Access,Kageshwori Manohara,7,Mulpani,5500000.0,4.25,20.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Commercial,East,High Access,Budhanilkantha,8,Bhangal,5000000.0,10.87,26.0,34.0,500.0,7000.0,500.0,2500.0,300.0,50.0,250.0,3500.0,0.1225369473015127,26.0,0
Kathmandu,Residential,West,High Access,Kathmandu,7,Chabahil,8500000.0,8.0,15.0,28.0,300.0,7000.0,300.0,500.0,100.0,50.0,500.0,300.0,0.1752200244275466,0.0,0
Kathmandu,Commercial,West,High Access,Kageshwori Manohara,8,Gothatar,5500000.0,28.0,26.0,40.0,2000.0,4000.0,500.0,3800.0,300.0,150.0,1000.0,2500.0,0.12780457668621606,26.0,0
Kathmandu,Semi-commercial,North-West,High Access,Budhanilkantha,2,Chapali,5500000.0,1.0,26.0,54.0,500.0,7000.0,200.0,400.0,400.0,400.0,200.0,250.0,0.18098063833245323,0.0,1
Kathmandu,Residential,North-East,High Access,Budhanilkantha,8,Budhanilkantha,6500000.0,4.0,13.0,16.0,200.0,6000.0,100.0,150.0,200.0,150.0,100.0,150.0,0.19931118704250333,0.0,1
Kathmandu,Residential,East,High Access,Budhanilkantha,2,Budhanilkantha,4300000.0,8.0,11.0,44.0,200.0,9000.0,50.0,5000.0,50.0,100.0,200.0,5000.0,0.1174068144882187,0.0,0
